PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,PLAYER_HEIGHT,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,COLLEGE,COUNTRY,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,GP,PTS,REB,AST,NET_RATING,OREB_PCT,DREB_PCT,USG_PCT,TS_PCT,AST_PCT,SEASON_YEAR
1631260,AJ Green,1610612749,MIL,24.0,6-4,76,190,Northern Iowa,USA,Undrafted,Undrafted,Undrafted,3,9,2,3,42.1,0.0,0.074,0.115,0.605,0.13,2023-24
1631100,AJ Griffin,1610612737,ATL,20.0,6-6,78,220,Duke,USA,2022,1,16,6,19,5,2,-31.0,0.016,0.093,0.124,0.679,0.053,2023-24
203932,Aaron Gordon,1610612743,DEN,28.0,6-8,80,235,Arizona,USA,2014,1,4,9,121,64,34,16.2,0.077,0.144,0.181,0.578,0.149,2023-24
1628988,Aaron Holiday,1610612745,HOU,27.0,6-0,72,185,UCLA,USA,2018,1,23,6,31,9,7,9.7,0.009,0.083,0.135,0.567,0.113,2023-24
1630174,Aaron Nesmith,1610612754,IND,24.0,6-6,78,215,Vanderbilt,USA,2020,1,14,9,109,31,8,3.3,0.044,0.097,0.164,0.686,0.046,2023-24
1630598,Aaron Wiggins,1610612760,OKC,24.0,6-5,77,190,Maryland,USA,2021,2,55,7,29,10,3,7.2,0.026,0.081,0.144,0.61,0.055,2023-24
1629678,Admiral Schofield,1610612753,ORL,26.0,6-5,77,241,Tennessee,United Kingdom,2019,2,42,1,5,0,0,60.0,0.0,0.0,0.571,0.625,0.0,2023-24
201143,Al Horford,1610612738,BOS,37.0,6-9,81,240,Florida,Dominican Republic,2007,1,3,7,35,43,15,7.3,0.088,0.141,0.123,0.428,0.116,2023-24
202692,Alec Burks,1610612765,DET,32.0,6-5,77,214,Colorado,USA,2011,1,12,4,60,13,9,20.8,0.01,0.105,0.176,0.658,0.118,2023-24
1630197,Aleksej Pokusevski,1610612760,OKC,21.0,7-0,84,210,None,Serbia,2020,1,17,3,1,3,0,-58.1,0.0,0.188,0.19,0.102,0.0,2023-24
1627936,Alex Caruso,1610612741,CHI,29.0,6-5,77,186,Texas A&M,USA,Undrafted,Undrafted,Undrafted,9,70,35,22,4.9,0.06,0.101,0.116,0.717,0.146,2023-24
1641788,Alex Fudge,1610612747,LAL,20.0,6-8,80,200,Florida,USA,Undrafted,Undrafted,Undrafted,1,0,0,0,-59.5,0.0,0.0,0.125,0.0,0.0,2023-24
203458,Alex Len,1610612758,SAC,30.0,7-0,84,250,Maryland,Ukraine,2013,1,5,5,13,16,2,16.8,0.163,0.243,0.118,0.716,0.077,2023-24
1630578,Alperen Sengun,1610612745,HOU,21.0,6-11,83,243,None,Turkey,2021,1,16,8,152,66,49,13.7,0.081,0.189,0.241,0.637,0.312,2023-24
1641708,Amen Thompson,1610612745,HOU,20.0,6-7,79,200,None,USA,2023,1,4,4,25,11,6,-14.9,0.014,0.169,0.208,0.49,0.136,2023-24
1629599,Amir Coffey,1610612746,LAC,26.0,6-7,79,210,Minnesota,USA,Undrafted,Undrafted,Undrafted,5,8,3,2,10.3,0.0,0.081,0.132,0.41,0.061,2023-24
203083,Andre Drummond,1610612741,CHI,30.0,6-11,83,279,Connecticut,USA,2012,1,9,9,55,43,7,5.5,0.147,0.202,0.188,0.576,0.088,2023-24
1641748,Andre Jackson Jr.,1610612749,MIL,21.0,6-6,78,209,Connecticut,USA,2023,2,36,4,2,5,4,34.8,0.067,0.19,0.061,0.5,0.19,2023-24
1629614,Andrew Nembhard,1610612754,IND,23.0,6-4,76,191,Gonzaga,Canada,2022,2,31,9,77,18,39,6.7,0.016,0.082,0.187,0.552,0.258,2023-24
203952,Andrew Wiggins,1610612744,GSW,28.0,6-7,79,197,Kansas,Canada,2014,1,1,9,97,32,6,-8.7,0.067,0.068,0.22,0.445,0.038,2023-24
1629014,Anfernee Simons,1610612757,POR,24.0,6-3,75,193,None,USA,2018,1,24,1,18,2,4,-43.4,0.03,0.045,0.225,0.571,0.235,2023-24
1641710,Anthony Black,1610612753,ORL,19.0,6-7,79,200,Arkansas,USA,2023,1,6,6,42,15,8,12.5,0.055,0.082,0.107,0.805,0.099,2023-24
203076,Anthony Davis,1610612747,LAL,30.0,6-10,82,253,Kentucky,USA,2012,1,1,8,185,95,27,-6.7,0.087,0.211,0.234,0.615,0.158,2023-24
1630162,Anthony Edwards,1610612750,MIN,22.0,6-4,76,225,Georgia,USA,2020,1,1,8,223,50,42,17.6,0.026,0.131,0.317,0.6,0.236,2023-24
1630264,Anthony Gill,1610612764,WAS,31.0,6-8,80,230,Virginia,USA,Undrafted,Undrafted,Undrafted,5,18,7,3,58.4,0.097,0.098,0.211,0.545,0.094,2023-24
1629717,Armoni Brooks,1610612751,BKN,25.0,6-3,75,195,Houston,USA,2019,,,3,17,6,0,46.8,0.038,0.104,0.157,0.708,0.0,2023-24
1641709,Ausar Thompson,1610612765,DET,20.0,6-6,78,205,None,USA,2023,1,5,10,114,100,37,-6.5,0.117,0.182,0.182,0.471,0.162,2023-24
1630559,Austin Reaves,1610612747,LAL,25.0,6-5,77,197,Oklahoma,USA,Undrafted,Undrafted,Undrafted,9,120,36,39,-13.1,0.034,0.084,0.196,0.536,0.2,2023-24
1630245,Ayo Dosunmu,1610612741,CHI,23.0,6-5,77,200,Illinois,USA,2021,2,38,7,35,10,6,9.5,0.041,0.069,0.164,0.606,0.113,2023-24
1628389,Bam Adebayo,1610612748,MIA,26.0,6-9,81,255,Kentucky,USA,2017,1,14,7,159,66,24,3.0,0.063,0.219,0.292,0.58,0.174,2023-24
1641767,Ben Sheppard,1610612754,IND,22.0,6-6,78,190,Belmont,USA,2023,1,26,3,13,4,2,-5.8,0.029,0.083,0.146,0.542,0.069,2023-24
1627732,Ben Simmons,1610612751,BKN,27.0,6-10,82,240,Louisiana State,Australia,2016,1,1,6,39,65,40,-7.1,0.081,0.239,0.118,0.516,0.26,2023-24
1631097,Bennedict Mathurin,1610612754,IND,21.0,6-5,77,210,Arizona,Canada,2022,1,6,9,125,40,24,2.6,0.067,0.103,0.225,0.537,0.136,2023-24
1641731,Bilal Coulibaly,1610612764,WAS,19.0,6-8,80,195,None,France,2023,1,7,8,52,23,12,5.1,0.016,0.106,0.124,0.567,0.075,2023-24
202687,Bismack Biyombo,1610612763,MEM,31.0,6-8,80,255,None,DRC,2011,1,7,4,32,36,4,-2.8,0.2,0.195,0.127,0.656,0.06,2023-24
1631104,Blake Wesley,1610612759,SAS,20.0,6-3,75,185,Notre Dame,USA,2022,1,25,3,7,2,3,-42.7,0.037,0.077,0.227,0.394,0.5,2023-24
