"tidyplayer","tidyamericanodds","prop","tidyawayteam","tidyhometeam","tidygamedatetime","site","sport","timestamp","tidyou","tidyexact_shot","tidyshot_points","game"
"Giannis Antetokounmpo",250,"first player to score","MIL","ORL",2023-11-11 19:00:00,"betrivers","nba",2023-11-11 12:25:50,NA,NA,NA,"MIL @ ORL"
"Khris Middleton",600,"first player to score","MIL","ORL",2023-11-11 19:00:00,"betrivers","nba",2023-11-11 12:25:50,NA,NA,NA,"MIL @ ORL"
"Paolo Banchero",600,"first player to score","MIL","ORL",2023-11-11 19:00:00,"betrivers","nba",2023-11-11 12:25:50,NA,NA,NA,"MIL @ ORL"
"Brook Lopez",800,"first player to score","MIL","ORL",2023-11-11 19:00:00,"betrivers","nba",2023-11-11 12:25:50,NA,NA,NA,"MIL @ ORL"
"Franz Wagner",900,"first player to score","MIL","ORL",2023-11-11 19:00:00,"betrivers","nba",2023-11-11 12:25:50,NA,NA,NA,"MIL @ ORL"
"Malik Beasley",1000,"first player to score","MIL","ORL",2023-11-11 19:00:00,"betrivers","nba",2023-11-11 12:25:50,NA,NA,NA,"MIL @ ORL"
"Goga Bitadze",1000,"first player to score","MIL","ORL",2023-11-11 19:00:00,"betrivers","nba",2023-11-11 12:25:50,NA,NA,NA,"MIL @ ORL"
"Jalen Suggs",1200,"first player to score","MIL","ORL",2023-11-11 19:00:00,"betrivers","nba",2023-11-11 12:25:50,NA,NA,NA,"MIL @ ORL"
"Cameron Payne",1200,"first player to score","MIL","ORL",2023-11-11 19:00:00,"betrivers","nba",2023-11-11 12:25:50,NA,NA,NA,"MIL @ ORL"
"Markelle Fultz",1400,"first player to score","MIL","ORL",2023-11-11 19:00:00,"betrivers","nba",2023-11-11 12:25:50,NA,NA,NA,"MIL @ ORL"
"Jaylen Brown",500,"first player to score","TOR","BOS",2023-11-11 20:00:00,"betrivers","nba",2023-11-11 12:25:50,NA,NA,NA,"TOR @ BOS"
"Jayson Tatum",500,"first player to score","TOR","BOS",2023-11-11 20:00:00,"betrivers","nba",2023-11-11 12:25:50,NA,NA,NA,"TOR @ BOS"
"Pascal Siakam",600,"first player to score","TOR","BOS",2023-11-11 20:00:00,"betrivers","nba",2023-11-11 12:25:50,NA,NA,NA,"TOR @ BOS"
"Kristaps Porzingis",600,"first player to score","TOR","BOS",2023-11-11 20:00:00,"betrivers","nba",2023-11-11 12:25:50,NA,NA,NA,"TOR @ BOS"
"Jrue Holiday",700,"first player to score","TOR","BOS",2023-11-11 20:00:00,"betrivers","nba",2023-11-11 12:25:50,NA,NA,NA,"TOR @ BOS"
"Dennis Schroder",900,"first player to score","TOR","BOS",2023-11-11 20:00:00,"betrivers","nba",2023-11-11 12:25:50,NA,NA,NA,"TOR @ BOS"
"Scottie Barnes",1000,"first player to score","TOR","BOS",2023-11-11 20:00:00,"betrivers","nba",2023-11-11 12:25:50,NA,NA,NA,"TOR @ BOS"
"Derrick White",1000,"first player to score","TOR","BOS",2023-11-11 20:00:00,"betrivers","nba",2023-11-11 12:25:50,NA,NA,NA,"TOR @ BOS"
"Jakob Poeltl",1200,"first player to score","TOR","BOS",2023-11-11 20:00:00,"betrivers","nba",2023-11-11 12:25:50,NA,NA,NA,"TOR @ BOS"
"OG Anunoby",1200,"first player to score","TOR","BOS",2023-11-11 20:00:00,"betrivers","nba",2023-11-11 12:25:50,NA,NA,NA,"TOR @ BOS"
"Donovan Mitchell",450,"first player to score","CLE","GSW",2023-11-11 21:30:00,"betrivers","nba",2023-11-11 12:25:50,NA,NA,NA,"CLE @ GSW"
"Darius Garland",600,"first player to score","CLE","GSW",2023-11-11 21:30:00,"betrivers","nba",2023-11-11 12:25:50,NA,NA,NA,"CLE @ GSW"
"Stephen Curry",600,"first player to score","CLE","GSW",2023-11-11 21:30:00,"betrivers","nba",2023-11-11 12:25:50,NA,NA,NA,"CLE @ GSW"
"Jarrett Allen",700,"first player to score","CLE","GSW",2023-11-11 21:30:00,"betrivers","nba",2023-11-11 12:25:50,NA,NA,NA,"CLE @ GSW"
"Klay Thompson",700,"first player to score","CLE","GSW",2023-11-11 21:30:00,"betrivers","nba",2023-11-11 12:25:50,NA,NA,NA,"CLE @ GSW"
"Evan Mobley",800,"first player to score","CLE","GSW",2023-11-11 21:30:00,"betrivers","nba",2023-11-11 12:25:50,NA,NA,NA,"CLE @ GSW"
