"prop","tidyplayer","tidyshot_points","tidyamericanodds","tidyawayteam","tidyhometeam","tidygamedatetime","site","sport","timestamp","game"
"fpts shot points","Giannis Antetokounmpo","two_point",450,"MIL","ORL",2023-11-11 19:00:00,"draftkings","nba",2023-11-11 12:26:32,"MIL @ ORL"
"fpts shot points","Goga Bitadze","two_point",800,"MIL","ORL",2023-11-11 19:00:00,"draftkings","nba",2023-11-11 12:26:32,"MIL @ ORL"
"fpts shot points","Paolo Banchero","two_point",850,"MIL","ORL",2023-11-11 19:00:00,"draftkings","nba",2023-11-11 12:26:32,"MIL @ ORL"
"fpts shot points","Franz Wagner","two_point",900,"MIL","ORL",2023-11-11 19:00:00,"draftkings","nba",2023-11-11 12:26:32,"MIL @ ORL"
"fpts shot points","Markelle Fultz","two_point",1000,"MIL","ORL",2023-11-11 19:00:00,"draftkings","nba",2023-11-11 12:26:32,"MIL @ ORL"
"fpts shot points","Damian Lillard","two_point",1100,"MIL","ORL",2023-11-11 19:00:00,"draftkings","nba",2023-11-11 12:26:32,"MIL @ ORL"
"fpts shot points","Khris Middleton","two_point",1100,"MIL","ORL",2023-11-11 19:00:00,"draftkings","nba",2023-11-11 12:26:32,"MIL @ ORL"
"fpts shot points","Brook Lopez","two_point",1100,"MIL","ORL",2023-11-11 19:00:00,"draftkings","nba",2023-11-11 12:26:32,"MIL @ ORL"
"fpts shot points","Jalen Suggs","two_point",1300,"MIL","ORL",2023-11-11 19:00:00,"draftkings","nba",2023-11-11 12:26:32,"MIL @ ORL"
"fpts shot points","Malik Beasley","three_point",1600,"MIL","ORL",2023-11-11 19:00:00,"draftkings","nba",2023-11-11 12:26:32,"MIL @ ORL"
"fpts shot points","Damian Lillard","three_point",1700,"MIL","ORL",2023-11-11 19:00:00,"draftkings","nba",2023-11-11 12:26:32,"MIL @ ORL"
"fpts shot points","Brook Lopez","three_point",2000,"MIL","ORL",2023-11-11 19:00:00,"draftkings","nba",2023-11-11 12:26:32,"MIL @ ORL"
"fpts shot points","Khris Middleton","three_point",2200,"MIL","ORL",2023-11-11 19:00:00,"draftkings","nba",2023-11-11 12:26:32,"MIL @ ORL"
"fpts shot points","Jalen Suggs","three_point",2200,"MIL","ORL",2023-11-11 19:00:00,"draftkings","nba",2023-11-11 12:26:32,"MIL @ ORL"
"fpts shot points","Malik Beasley","two_point",2500,"MIL","ORL",2023-11-11 19:00:00,"draftkings","nba",2023-11-11 12:26:32,"MIL @ ORL"
"fpts shot points","Franz Wagner","three_point",2500,"MIL","ORL",2023-11-11 19:00:00,"draftkings","nba",2023-11-11 12:26:32,"MIL @ ORL"
"fpts shot points","Paolo Banchero","three_point",3500,"MIL","ORL",2023-11-11 19:00:00,"draftkings","nba",2023-11-11 12:26:32,"MIL @ ORL"
"fpts shot points","Giannis Antetokounmpo","three_point",6500,"MIL","ORL",2023-11-11 19:00:00,"draftkings","nba",2023-11-11 12:26:32,"MIL @ ORL"
"fpts shot points","Markelle Fultz","three_point",8000,"MIL","ORL",2023-11-11 19:00:00,"draftkings","nba",2023-11-11 12:26:32,"MIL @ ORL"
"fpts shot points","Goga Bitadze","three_point",10000,"MIL","ORL",2023-11-11 19:00:00,"draftkings","nba",2023-11-11 12:26:32,"MIL @ ORL"
"fpts shot points","Kristaps Porzingis","two_point",750,"TOR","BOS",2023-11-11 20:00:00,"draftkings","nba",2023-11-11 12:26:32,"TOR @ BOS"
"fpts shot points","Scottie Barnes","two_point",800,"TOR","BOS",2023-11-11 20:00:00,"draftkings","nba",2023-11-11 12:26:32,"TOR @ BOS"
"fpts shot points","Jaylen Brown","two_point",850,"TOR","BOS",2023-11-11 20:00:00,"draftkings","nba",2023-11-11 12:26:32,"TOR @ BOS"
"fpts shot points","Jakob Poeltl","two_point",850,"TOR","BOS",2023-11-11 20:00:00,"draftkings","nba",2023-11-11 12:26:32,"TOR @ BOS"
"fpts shot points","Pascal Siakam","two_point",850,"TOR","BOS",2023-11-11 20:00:00,"draftkings","nba",2023-11-11 12:26:32,"TOR @ BOS"
"fpts shot points","Jayson Tatum","two_point",900,"TOR","BOS",2023-11-11 20:00:00,"draftkings","nba",2023-11-11 12:26:32,"TOR @ BOS"
"fpts shot points","Jrue Holiday","two_point",1200,"TOR","BOS",2023-11-11 20:00:00,"draftkings","nba",2023-11-11 12:26:32,"TOR @ BOS"
"fpts shot points","Dennis Schroder","two_point",1200,"TOR","BOS",2023-11-11 20:00:00,"draftkings","nba",2023-11-11 12:26:32,"TOR @ BOS"
"fpts shot points","OG Anunoby","two_point",1400,"TOR","BOS",2023-11-11 20:00:00,"draftkings","nba",2023-11-11 12:26:32,"TOR @ BOS"
"fpts shot points","OG Anunoby","three_point",1600,"TOR","BOS",2023-11-11 20:00:00,"draftkings","nba",2023-11-11 12:26:32,"TOR @ BOS"
"fpts shot points","Derrick White","two_point",1700,"TOR","BOS",2023-11-11 20:00:00,"draftkings","nba",2023-11-11 12:26:32,"TOR @ BOS"
"fpts shot points","Derrick White","three_point",1900,"TOR","BOS",2023-11-11 20:00:00,"draftkings","nba",2023-11-11 12:26:32,"TOR @ BOS"
