"prop","tidyplayer","tidyamericanodds","tidyawayteam","tidyhometeam","tidygamedatetime","site","sport","timestamp","tidyou","tidyexact_shot","game"
"fpts by team","Giannis Antetokounmpo",200,"MIL","ORL",2023-11-11 19:00:00,"draftkings","nba",2023-11-11 12:26:18,NA,NA,"MIL @ ORL"
"fpts by team","Damian Lillard",340,"MIL","ORL",2023-11-11 19:00:00,"draftkings","nba",2023-11-11 12:26:18,NA,NA,"MIL @ ORL"
"fpts by team","Brook Lopez",350,"MIL","ORL",2023-11-11 19:00:00,"draftkings","nba",2023-11-11 12:26:18,NA,NA,"MIL @ ORL"
"fpts by team","Khris Middleton",370,"MIL","ORL",2023-11-11 19:00:00,"draftkings","nba",2023-11-11 12:26:18,NA,NA,"MIL @ ORL"
"fpts by team","Malik Beasley",550,"MIL","ORL",2023-11-11 19:00:00,"draftkings","nba",2023-11-11 12:26:18,NA,NA,"MIL @ ORL"
"fpts by team","Franz Wagner",300,"MIL","ORL",2023-11-11 19:00:00,"draftkings","nba",2023-11-11 12:26:18,NA,NA,"MIL @ ORL"
"fpts by team","Paolo Banchero",310,"MIL","ORL",2023-11-11 19:00:00,"draftkings","nba",2023-11-11 12:26:18,NA,NA,"MIL @ ORL"
"fpts by team","Markelle Fultz",320,"MIL","ORL",2023-11-11 19:00:00,"draftkings","nba",2023-11-11 12:26:18,NA,NA,"MIL @ ORL"
"fpts by team","Goga Bitadze",350,"MIL","ORL",2023-11-11 19:00:00,"draftkings","nba",2023-11-11 12:26:18,NA,NA,"MIL @ ORL"
"fpts by team","Jalen Suggs",400,"MIL","ORL",2023-11-11 19:00:00,"draftkings","nba",2023-11-11 12:26:18,NA,NA,"MIL @ ORL"
"fpts by team","Kristaps Porzingis",260,"TOR","BOS",2023-11-11 20:00:00,"draftkings","nba",2023-11-11 12:26:18,NA,NA,"TOR @ BOS"
"fpts by team","Jayson Tatum",300,"TOR","BOS",2023-11-11 20:00:00,"draftkings","nba",2023-11-11 12:26:18,NA,NA,"TOR @ BOS"
"fpts by team","Jaylen Brown",310,"TOR","BOS",2023-11-11 20:00:00,"draftkings","nba",2023-11-11 12:26:18,NA,NA,"TOR @ BOS"
"fpts by team","Jrue Holiday",400,"TOR","BOS",2023-11-11 20:00:00,"draftkings","nba",2023-11-11 12:26:18,NA,NA,"TOR @ BOS"
"fpts by team","Derrick White",450,"TOR","BOS",2023-11-11 20:00:00,"draftkings","nba",2023-11-11 12:26:18,NA,NA,"TOR @ BOS"
"fpts by team","Scottie Barnes",280,"TOR","BOS",2023-11-11 20:00:00,"draftkings","nba",2023-11-11 12:26:18,NA,NA,"TOR @ BOS"
"fpts by team","Jakob Poeltl",320,"TOR","BOS",2023-11-11 20:00:00,"draftkings","nba",2023-11-11 12:26:18,NA,NA,"TOR @ BOS"
"fpts by team","Pascal Siakam",320,"TOR","BOS",2023-11-11 20:00:00,"draftkings","nba",2023-11-11 12:26:18,NA,NA,"TOR @ BOS"
"fpts by team","OG Anunoby",370,"TOR","BOS",2023-11-11 20:00:00,"draftkings","nba",2023-11-11 12:26:18,NA,NA,"TOR @ BOS"
"fpts by team","Dennis Schroder",400,"TOR","BOS",2023-11-11 20:00:00,"draftkings","nba",2023-11-11 12:26:18,NA,NA,"TOR @ BOS"
"fpts by team","Donovan Mitchell",270,"CLE","GSW",2023-11-11 21:30:00,"draftkings","nba",2023-11-11 12:26:18,NA,NA,"CLE @ GSW"
"fpts by team","Evan Mobley",290,"CLE","GSW",2023-11-11 21:30:00,"draftkings","nba",2023-11-11 12:26:18,NA,NA,"CLE @ GSW"
"fpts by team","Jarrett Allen",320,"CLE","GSW",2023-11-11 21:30:00,"draftkings","nba",2023-11-11 12:26:18,NA,NA,"CLE @ GSW"
"fpts by team","Darius Garland",350,"CLE","GSW",2023-11-11 21:30:00,"draftkings","nba",2023-11-11 12:26:18,NA,NA,"CLE @ GSW"
"fpts by team","Max Strus",500,"CLE","GSW",2023-11-11 21:30:00,"draftkings","nba",2023-11-11 12:26:18,NA,NA,"CLE @ GSW"
"fpts by team","Stephen Curry",270,"CLE","GSW",2023-11-11 21:30:00,"draftkings","nba",2023-11-11 12:26:18,NA,NA,"CLE @ GSW"
"fpts by team","Klay Thompson",300,"CLE","GSW",2023-11-11 21:30:00,"draftkings","nba",2023-11-11 12:26:18,NA,NA,"CLE @ GSW"
"fpts by team","Andrew Wiggins",300,"CLE","GSW",2023-11-11 21:30:00,"draftkings","nba",2023-11-11 12:26:18,NA,NA,"CLE @ GSW"
"fpts by team","Draymond Green",400,"CLE","GSW",2023-11-11 21:30:00,"draftkings","nba",2023-11-11 12:26:18,NA,NA,"CLE @ GSW"
"fpts by team","Kevon Looney",450,"CLE","GSW",2023-11-11 21:30:00,"draftkings","nba",2023-11-11 12:26:18,NA,NA,"CLE @ GSW"
"first player to score by team","Pascal Siakam",200,"TOR","BOS",2023-11-11 20:00:00,"fanduel","nba",2023-11-11 12:26:20,NA,NA,"TOR @ BOS"
"first player to score by team","Jayson Tatum",270,"TOR","BOS",2023-11-11 20:00:00,"fanduel","nba",2023-11-11 12:26:20,NA,NA,"TOR @ BOS"
"first player to score by team","Kristaps Porzingis",280,"TOR","BOS",2023-11-11 20:00:00,"fanduel","nba",2023-11-11 12:26:20,NA,NA,"TOR @ BOS"
"first player to score by team","Jaylen Brown",280,"TOR","BOS",2023-11-11 20:00:00,"fanduel","nba",2023-11-11 12:26:20,NA,NA,"TOR @ BOS"
"first player to score by team","Dennis Schroder",340,"TOR","BOS",2023-11-11 20:00:00,"fanduel","nba",2023-11-11 12:26:20,NA,NA,"TOR @ BOS"
"first player to score by team","Scottie Barnes",360,"TOR","BOS",2023-11-11 20:00:00,"fanduel","nba",2023-11-11 12:26:20,NA,NA,"TOR @ BOS"
"first player to score by team","Jrue Holiday",360,"TOR","BOS",2023-11-11 20:00:00,"fanduel","nba",2023-11-11 12:26:20,NA,NA,"TOR @ BOS"
"first player to score by team","Jakob Poeltl",450,"TOR","BOS",2023-11-11 20:00:00,"fanduel","nba",2023-11-11 12:26:20,NA,NA,"TOR @ BOS"
