"tidyteam","tidyplayer","tidyamericanodds","quarter","prop","tidyawayteam","tidyhometeam","tidygamedatetime","site","sport","timestamp","game"
"MIL","team",-166,"1Q","first team to score","MIL","ORL",2023-11-11 19:00:00,"csr","nba",2023-11-11 12:26:46,"MIL @ ORL"
"ORL","team",120,"1Q","first team to score","MIL","ORL",2023-11-11 19:00:00,"csr","nba",2023-11-11 12:26:46,"MIL @ ORL"
"TOR","team",106,"1Q","first team to score","TOR","BOS",2023-11-11 20:00:00,"csr","nba",2023-11-11 12:26:46,"TOR @ BOS"
"BOS","team",-145,"1Q","first team to score","TOR","BOS",2023-11-11 20:00:00,"csr","nba",2023-11-11 12:26:46,"TOR @ BOS"
"MIA","team",-131,"1Q","first team to score","MIA","ATL",2023-11-11 20:30:00,"csr","nba",2023-11-11 12:26:46,"MIA @ ATL"
"ATL","team",-104,"1Q","first team to score","MIA","ATL",2023-11-11 20:30:00,"csr","nba",2023-11-11 12:26:46,"MIA @ ATL"
"CLE","team",-135,"1Q","first team to score","CLE","GSW",2023-11-11 21:30:00,"csr","nba",2023-11-11 12:26:46,"CLE @ GSW"
"GSW","team",-101,"1Q","first team to score","CLE","GSW",2023-11-11 21:30:00,"csr","nba",2023-11-11 12:26:46,"CLE @ GSW"
"MIL","team",-165,"1Q","first team to score","MIL","ORL",2023-11-11 19:00:00,"draftkings","nba",2023-11-11 12:26:50,"MIL @ ORL"
"ORL","team",125,"1Q","first team to score","MIL","ORL",2023-11-11 19:00:00,"draftkings","nba",2023-11-11 12:26:50,"MIL @ ORL"
"TOR","team",115,"1Q","first team to score","TOR","BOS",2023-11-11 20:00:00,"draftkings","nba",2023-11-11 12:26:50,"TOR @ BOS"
"BOS","team",-155,"1Q","first team to score","TOR","BOS",2023-11-11 20:00:00,"draftkings","nba",2023-11-11 12:26:50,"TOR @ BOS"
"MIA","team",-135,"1Q","first team to score","MIA","ATL",2023-11-11 20:30:00,"draftkings","nba",2023-11-11 12:26:50,"MIA @ ATL"
"ATL","team",105,"1Q","first team to score","MIA","ATL",2023-11-11 20:30:00,"draftkings","nba",2023-11-11 12:26:50,"MIA @ ATL"
"CLE","team",-135,"1Q","first team to score","CLE","GSW",2023-11-11 21:30:00,"draftkings","nba",2023-11-11 12:26:50,"CLE @ GSW"
"GSW","team",100,"1Q","first team to score","CLE","GSW",2023-11-11 21:30:00,"draftkings","nba",2023-11-11 12:26:50,"CLE @ GSW"
