"game_date","game","player_name","team_abbreviation","prob_points","line_points","prob_fgm","line_fgm","br_prob","br_line","br_edge","br_kelly","br_units","bs_prob","bs_line","bs_edge","bs_kelly","bs_units","csr_prob","csr_line","csr_edge","csr_kelly","csr_units","dk_prob","dk_line","dk_edge","dk_kelly","dk_units","fd_prob","fd_line","fd_edge","fd_kelly","fd_units","mgm_prob","mgm_line","mgm_edge","mgm_kelly","mgm_units","pb_prob","pb_line","pb_edge","pb_kelly","pb_units","run_timestamp_utc"
2023-11-11,"MIL @ ORL","Damian Lillard","MIL",0.1164,759,0.1174,752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.125,700,-0.0086,-0.0049,-0.4907,0.125,700,-0.0076,-0.0044,-0.4351,NA,NA,NA,NA,NA,0.1333,650,-0.0159,-0.0092,-0.9201,0.1176,750,-3e-04,-1e-04,-0.0148,2023-11-11 18:27:34
2023-11-11,"MIL @ ORL","Malik Beasley","MIL",0.0873,1045,0.0889,1025,0.0909,1000,-0.002,-0.0011,-0.1125,NA,NA,NA,NA,NA,0.1,900,-0.0127,-0.007,-0.703,0.1,900,-0.0111,-0.0062,-0.6187,0.0909,1000,-0.0036,-0.002,-0.196,0.1,900,-0.0111,-0.0062,-0.6187,0.0833,1100,0.0055,0.003,0.3016,2023-11-11 18:27:34
2023-11-11,"MIL @ ORL","Khris Middleton","MIL",0.1091,816,0.1101,808,0.1429,600,-0.0328,-0.0191,-1.9114,NA,NA,NA,NA,NA,0.1538,550,-0.0447,-0.0264,-2.6416,0.1538,550,-0.0438,-0.0259,-2.5855,0.1429,600,-0.0337,-0.0197,-1.9667,0.129,675,-0.0189,-0.0109,-1.0874,0.1333,650,-0.0232,-0.0134,-1.3409,2023-11-11 18:27:34
2023-11-11,"MIL @ ORL","Giannis Antetokounmpo","MIL",0.1689,492,0.1529,554,0.2857,250,-0.1328,-0.0929,-9.2943,NA,NA,NA,NA,NA,0.2083,380,-0.0394,-0.0249,-2.4874,0.2,400,-0.0471,-0.0294,-2.9413,0.2703,270,-0.1013,-0.0694,-6.9423,0.1667,500,-0.0137,-0.0082,-0.8237,0.1905,425,-0.0375,-0.0232,-2.3185,2023-11-11 18:27:34
2023-11-11,"MIL @ ORL","Brook Lopez","MIL",0.1079,827,0.1083,824,0.1111,800,-0.0028,-0.0016,-0.1601,NA,NA,NA,NA,NA,0.1176,750,-0.0098,-0.0055,-0.553,0.1176,750,-0.0094,-0.0053,-0.5316,0.1111,800,-0.0032,-0.0018,-0.1813,0.125,700,-0.0167,-0.0096,-0.9563,0.1053,850,0.003,0.0017,0.1678,2023-11-11 18:27:34
2023-11-11,"MIL @ ORL","Markelle Fultz","ORL",0.0732,1267,0.0775,1190,0.0667,1400,0.0108,0.0058,0.5808,NA,NA,NA,NA,NA,0.0909,1000,-0.0177,-0.0098,-0.976,0.0909,1000,-0.0134,-0.0074,-0.737,0.0667,1400,0.0065,0.0035,0.3481,0.1143,775,-0.0368,-0.0208,-2.0761,0.0769,1200,6e-04,3e-04,0.0317,2023-11-11 18:27:34
2023-11-11,"MIL @ ORL","Jalen Suggs","ORL",0.0711,1307,0.0731,1269,0.0769,1200,-0.0039,-0.0021,-0.2087,NA,NA,NA,NA,NA,0.1,900,-0.0289,-0.0161,-1.6081,0.1053,850,-0.0322,-0.018,-1.7991,0.0714,1300,-4e-04,-2e-04,-0.0202,0.087,1050,-0.0139,-0.0076,-0.7605,0.0909,1000,-0.0178,-0.0098,-0.9812,2023-11-11 18:27:34
2023-11-11,"MIL @ ORL","Franz Wagner","ORL",0.0772,1195,0.0796,1157,0.1,900,-0.0204,-0.0113,-1.1345,NA,NA,NA,NA,NA,0.1,900,-0.0228,-0.0127,-1.2656,0.1053,850,-0.0257,-0.0144,-1.4353,0.0952,950,-0.018,-0.01,-0.9958,0.1379,625,-0.0584,-0.0338,-3.3844,0.0909,1000,-0.0113,-0.0062,-0.6231,2023-11-11 18:27:34
2023-11-11,"MIL @ ORL","Paolo Banchero","ORL",0.0888,1026,0.0895,1018,0.1429,600,-0.0534,-0.0311,-3.1136,NA,NA,NA,NA,NA,0.129,675,-0.0402,-0.0231,-2.3096,0.125,700,-0.0355,-0.0203,-2.0296,0.1333,650,-0.0445,-0.0257,-2.5692,0.125,700,-0.0355,-0.0203,-2.0296,0.125,700,-0.0355,-0.0203,-2.0296,2023-11-11 18:27:34
2023-11-11,"MIL @ ORL","Goga Bitadze","ORL",0.1,900,0.1028,873,0.0909,1000,0.0119,0.0065,0.6549,NA,NA,NA,NA,NA,0.125,700,-0.025,-0.0143,-1.4272,0.1333,650,-0.0305,-0.0176,-1.7606,0.0952,950,0.0048,0.0026,0.2645,0.0833,1100,0.0195,0.0106,1.0627,0.1176,750,-0.0148,-0.0084,-0.8404,2023-11-11 18:27:34
2023-11-11,"TOR @ BOS","Dennis Schroder","TOR",0.0718,1293,0.0722,1285,0.1,900,-0.0278,-0.0154,-1.5445,NA,NA,NA,NA,NA,0.0909,1000,-0.0191,-0.0105,-1.0526,0.0909,1000,-0.0187,-0.0103,-1.0291,0.1,900,-0.0282,-0.0157,-1.5683,0.08,1150,-0.0078,-0.0042,-0.424,0.0833,1100,-0.0111,-0.0061,-0.6073,2023-11-11 18:27:34
2023-11-11,NA,"O.G. Anunoby","TOR",0.0446,2141,0.049,1942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-11-11 18:27:34
2023-11-11,"TOR @ BOS","Scottie Barnes","TOR",0.0964,937,0.1011,889,0.0909,1000,0.0102,0.0056,0.5616,NA,NA,NA,NA,NA,0.1053,850,-0.0089,-0.005,-0.4955,0.1111,800,-0.01,-0.0056,-0.562,0.0833,1100,0.0131,0.0071,0.7126,0.125,700,-0.0239,-0.0136,-1.3646,0.1111,800,-0.01,-0.0056,-0.562,2023-11-11 18:27:34
2023-11-11,"TOR @ BOS","Pascal Siakam","TOR",0.1094,814,0.1153,767,0.1429,600,-0.0275,-0.0161,-1.6051,NA,NA,NA,NA,NA,0.1333,650,-0.0239,-0.0138,-1.3793,0.1429,600,-0.0275,-0.0161,-1.6051,0.1333,650,-0.0239,-0.0138,-1.3793,0.129,675,-0.0137,-0.0079,-0.7859,0.1429,600,-0.0275,-0.0161,-1.6051,2023-11-11 18:27:34
2023-11-11,"TOR @ BOS","Jakob Poeltl","TOR",0.0985,915,0.0956,946,0.0769,1200,0.0187,0.0101,1.0109,NA,NA,NA,NA,NA,0.1053,850,-0.0068,-0.0038,-0.3781,0.1111,800,-0.0155,-0.0087,-0.8733,0.0769,1200,0.0216,0.0117,1.1686,0.1053,850,-0.0097,-0.0054,-0.5408,0.1053,850,-0.0097,-0.0054,-0.5408,2023-11-11 18:27:34
2023-11-11,"TOR @ BOS","Jrue Holiday","BOS",0.0939,965,0.0933,971,0.125,700,-0.0317,-0.0181,-1.8089,NA,NA,NA,NA,NA,0.125,700,-0.0311,-0.0178,-1.7792,0.1,900,-0.0067,-0.0037,-0.3697,0.1333,650,-0.0395,-0.0228,-2.2771,0.1176,750,-0.0243,-0.0138,-1.3771,0.0769,1200,0.0164,0.0089,0.8895,2023-11-11 18:27:34
2023-11-11,"TOR @ BOS","Derrick White","BOS",0.0817,1124,0.0817,1124,0.0909,1000,-0.0092,-0.0051,-0.5066,NA,NA,NA,NA,NA,0.0769,1200,0.0048,0.0026,0.2604,0.0833,1100,-0.0016,-9e-04,-0.0891,0.0833,1100,-0.0016,-9e-04,-0.0874,0.087,1050,-0.0053,-0.0029,-0.2879,0.0769,1200,0.0048,0.0026,0.2587,2023-11-11 18:27:34
2023-11-11,"TOR @ BOS","Jaylen Brown","BOS",0.127,688,0.1257,695,0.1667,500,-0.0409,-0.0246,-2.4569,NA,NA,NA,NA,NA,0.1538,550,-0.0269,-0.0159,-1.5885,0.1333,650,-0.0076,-0.0044,-0.4393,0.1538,550,-0.0269,-0.0159,-1.5885,0.1667,500,-0.0409,-0.0246,-2.4569,0.125,700,7e-04,4e-04,0.0411,2023-11-11 18:27:34
2023-11-11,"TOR @ BOS","Jayson Tatum","BOS",0.128,681,0.119,741,0.1667,500,-0.0477,-0.0286,-2.8618,NA,NA,NA,NA,NA,0.16,525,-0.032,-0.0191,-1.906,0.1538,550,-0.0349,-0.0206,-2.0609,0.1667,500,-0.0387,-0.0232,-2.3213,0.1333,650,-0.0144,-0.0083,-0.8287,0.1429,600,-0.0239,-0.0139,-1.3934,2023-11-11 18:27:34
2023-11-11,"TOR @ BOS","Kristaps Porzingis","BOS",0.1488,572,0.1471,580,0.1429,600,0.0042,0.0025,0.2451,NA,NA,NA,NA,NA,0.2105,375,-0.0618,-0.0391,-3.912,0.2174,360,-0.0703,-0.0449,-4.4935,0.1538,550,-0.0051,-0.003,-0.3007,0.1538,550,-0.0068,-0.004,-0.4011,0.2,400,-0.0529,-0.0331,-3.3089,2023-11-11 18:27:34
2023-11-11,"MIA @ ATL","Kyle Lowry","MIA",0.076,1215,0.0753,1228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0909,1000,-0.0149,-0.0082,-0.8186,0.0833,1100,-0.008,-0.0044,-0.4381,0.0833,1100,-0.0073,-0.004,-0.3986,0.0833,1100,-0.008,-0.0044,-0.4381,NA,NA,NA,NA,NA,2023-11-11 18:27:34
2023-11-11,"MIA @ ATL","Duncan Robinson","MIA",0.0873,1046,0.0838,1093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1111,800,-0.0238,-0.0134,-1.3408,0.1111,800,-0.0273,-0.0154,-1.5357,0.1333,650,-0.0461,-0.0266,-2.6572,0.1176,750,-0.0338,-0.0192,-1.9174,NA,NA,NA,NA,NA,2023-11-11 18:27:34
2023-11-11,"MIA @ ATL","Jaime Jaquez Jr.","MIA",0.0741,1249,0.0718,1292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,900,-0.0259,-0.0144,-1.4375,NA,NA,NA,NA,NA,0.0769,1200,-0.0028,-0.0015,-0.1516,0.0769,1200,-0.0051,-0.0028,-0.2758,NA,NA,NA,NA,NA,2023-11-11 18:27:34
2023-11-11,"MIA @ ATL","Haywood Highsmith","MIA",0.0923,983,0.0972,929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0833,1100,0.009,0.0049,0.4904,0.0909,1000,0.0063,0.0035,0.3453,0.0769,1200,0.0154,0.0083,0.8342,0.0909,1000,0.0063,0.0035,0.3453,NA,NA,NA,NA,NA,2023-11-11 18:27:34
2023-11-11,"MIA @ ATL","Bam Adebayo","MIA",0.1693,491,0.1742,474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2632,280,-0.0938,-0.0637,-6.3675,0.2439,310,-0.0697,-0.0461,-4.6101,0.2083,380,-0.039,-0.0246,-2.4639,0.2222,350,-0.048,-0.0309,-3.0879,NA,NA,NA,NA,NA,2023-11-11 18:27:34
2023-11-11,"MIA @ ATL","Trae Young","ATL",0.112,793,0.1163,760,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1379,625,-0.0259,-0.015,-1.5022,0.1333,650,-0.017,-0.0098,-0.9803,0.1429,600,-0.0308,-0.018,-1.7982,0.1333,650,-0.017,-0.0098,-0.9803,NA,NA,NA,NA,NA,2023-11-11 18:27:34
2023-11-11,"MIA @ ATL","Dejounte Murray","ATL",0.1021,880,0.1065,839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1053,850,-0.0032,-0.0018,-0.178,0.1111,800,-0.0046,-0.0026,-0.257,0.1333,650,-0.0313,-0.018,-1.8032,0.1333,650,-0.0268,-0.0155,-1.5456,NA,NA,NA,NA,NA,2023-11-11 18:27:34
2023-11-11,"MIA @ ATL","De'Andre Hunter","ATL",0.0923,984,0.0966,935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1176,750,-0.0254,-0.0144,-1.4369,0.1176,750,-0.021,-0.0119,-1.1907,0.1111,800,-0.0188,-0.0106,-1.0587,0.1111,800,-0.0145,-0.0081,-0.8143,NA,NA,NA,NA,NA,2023-11-11 18:27:34
2023-11-11,"MIA @ ATL","Jalen Johnson","ATL",0.1026,875,0.0952,950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1176,750,-0.0151,-0.0085,-0.8549,0.1176,750,-0.0224,-0.0127,-1.2693,0.0952,950,0.0073,0.004,0.4047,0.1053,850,-0.01,-0.0056,-0.5596,NA,NA,NA,NA,NA,2023-11-11 18:27:34
2023-11-11,"MIA @ ATL","Clint Capela","ATL",0.092,987,0.0829,1106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.129,675,-0.0371,-0.0213,-2.1275,0.125,700,-0.0421,-0.024,-2.4049,0.0909,1000,0.0011,6e-04,0.0585,0.125,700,-0.0421,-0.024,-2.4049,NA,NA,NA,NA,NA,2023-11-11 18:27:34
2023-11-11,"CLE @ GSW","Darius Garland","CLE",0.1004,896,0.1003,897,0.1429,600,-0.0426,-0.0248,-2.4842,NA,NA,NA,NA,NA,0.1053,850,-0.0048,-0.0027,-0.2696,0.1053,850,-0.005,-0.0028,-0.279,0.1333,650,-0.0329,-0.019,-1.8977,0.1333,650,-0.0331,-0.0191,-1.9075,0.087,1050,0.0133,0.0073,0.7291,2023-11-11 18:27:34
2023-11-11,"CLE @ GSW","Donovan Mitchell","CLE",0.1343,644,0.1413,608,0.1818,450,-0.0405,-0.0248,-2.4762,NA,NA,NA,NA,NA,0.1923,420,-0.058,-0.0359,-3.5884,0.1818,450,-0.0405,-0.0248,-2.4762,0.1786,460,-0.0442,-0.0269,-2.6923,0.1538,550,-0.0125,-0.0074,-0.7415,0.1818,450,-0.0405,-0.0248,-2.4762,2023-11-11 18:27:34
2023-11-11,"CLE @ GSW","Max Strus","CLE",0.0779,1184,0.0769,1201,0.0769,1200,0,0,-0.0021,NA,NA,NA,NA,NA,0.0769,1200,0.001,5e-04,0.0524,0.0833,1100,-0.0064,-0.0035,-0.3517,0.0769,1200,0.001,5e-04,0.0524,0.08,1150,-0.0031,-0.0017,-0.1693,0.0714,1300,0.0055,0.0029,0.2938,2023-11-11 18:27:34
2023-11-11,"CLE @ GSW","Evan Mobley","CLE",0.1102,807,0.1071,834,0.1111,800,-0.004,-0.0023,-0.2252,NA,NA,NA,NA,NA,0.1333,650,-0.0231,-0.0133,-1.3347,0.1333,650,-0.0262,-0.0151,-1.513,0.1053,850,0.0049,0.0028,0.2758,0.1111,800,-0.004,-0.0023,-0.2252,0.1176,750,-0.0105,-0.006,-0.5972,2023-11-11 18:27:34
2023-11-11,"CLE @ GSW","Jarrett Allen","CLE",0.0963,938,0.0941,963,0.125,700,-0.0309,-0.0177,-1.7672,NA,NA,NA,NA,NA,0.1333,650,-0.037,-0.0213,-2.134,0.1333,650,-0.0393,-0.0226,-2.2649,0.1176,750,-0.0213,-0.0121,-1.2072,0.1333,650,-0.0393,-0.0226,-2.2649,0.125,700,-0.0309,-0.0177,-1.7672,2023-11-11 18:27:34
2023-11-11,"CLE @ GSW","Stephen Curry","GSW",0.101,890,0.0975,925,0.1429,600,-0.0453,-0.0264,-2.6449,NA,NA,NA,NA,NA,0.1429,600,-0.0418,-0.0244,-2.439,0.125,700,-0.0275,-0.0157,-1.5705,0.125,700,-0.024,-0.0137,-1.3689,0.1379,625,-0.0404,-0.0234,-2.3441,0.125,700,-0.0275,-0.0157,-1.5705,2023-11-11 18:27:34
2023-11-11,"CLE @ GSW","Klay Thompson","GSW",0.1027,873,0.1103,807,0.125,700,-0.0147,-0.0084,-0.8425,NA,NA,NA,NA,NA,0.1333,650,-0.0306,-0.0177,-1.7651,0.1333,650,-0.0231,-0.0133,-1.3313,0.125,700,-0.0223,-0.0127,-1.2721,0.1333,650,-0.0231,-0.0133,-1.3313,0.1333,650,-0.0231,-0.0133,-1.3313,2023-11-11 18:27:34
2023-11-11,"CLE @ GSW","Andrew Wiggins","GSW",0.1085,822,0.1167,757,0.1111,800,0.0055,0.0031,0.3121,NA,NA,NA,NA,NA,0.1429,600,-0.0344,-0.02,-2.004,0.1429,600,-0.0262,-0.0153,-1.5282,0.1111,800,-0.0026,-0.0015,-0.1467,0.125,700,-0.0083,-0.0048,-0.4766,0.1333,650,-0.0167,-0.0096,-0.9619,2023-11-11 18:27:34
2023-11-11,"CLE @ GSW","Draymond Green","GSW",0.0758,1220,0.074,1251,0.0909,1000,-0.0169,-0.0093,-0.9276,NA,NA,NA,NA,NA,0.0769,1200,-0.0012,-6e-04,-0.0635,0.0833,1100,-0.0093,-0.0051,-0.5067,0.0952,950,-0.0195,-0.0108,-1.077,0.0909,1000,-0.0169,-0.0093,-0.9276,0.0667,1400,0.0074,0.004,0.3952,2023-11-11 18:27:34
2023-11-11,"CLE @ GSW","Kevon Looney","GSW",0.0927,978,0.0819,1121,0.0909,1000,-0.009,-0.005,-0.4962,NA,NA,NA,NA,NA,0.1176,750,-0.0249,-0.0141,-1.4109,0.1176,750,-0.0358,-0.0203,-2.0264,0.0909,1000,0.0018,0.001,0.1012,0.1111,800,-0.0292,-0.0164,-1.6438,0.1053,850,-0.0234,-0.0131,-1.3063,2023-11-11 18:27:34
