"game_date","game","player_name","team_abbreviation","shot_type","shot_player","prob_points","line_points","prob_fgm","line_fgm","br_prob","br_line","br_edge","br_kelly","br_units","bs_prob","bs_line","bs_edge","bs_kelly","bs_units","csr_prob","csr_line","csr_edge","csr_kelly","csr_units","dk_prob","dk_line","dk_edge","dk_kelly","dk_units","fd_prob","fd_line","fd_edge","fd_kelly","fd_units","mgm_prob","mgm_line","mgm_edge","mgm_kelly","mgm_units","pb_prob","pb_line","pb_edge","pb_kelly","pb_units","run_timestamp_utc"
2023-11-11,"MIL @ ORL","Brook Lopez","MIL","dunk","Brook Lopez_dunk",0.0115,8595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0164,6000,-0.0049,-0.0025,-0.2487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-11-11 18:27:34
2023-11-11,"MIL @ ORL","Brook Lopez","MIL","free_throw","Brook Lopez_free_throw",0.0087,11396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0083,12000,4e-04,2e-04,0.0219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-11-11 18:27:34
2023-11-11,"MIL @ ORL","Brook Lopez","MIL","layup","Brook Lopez_layup",0.0272,3579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0222,4400,0.005,0.0025,0.2534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-11-11 18:27:34
2023-11-11,"MIL @ ORL","Brook Lopez","MIL","other_fg","Brook Lopez_other_fg",0.0365,2637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0333,2900,0.0032,0.0017,0.1657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-11-11 18:27:34
2023-11-11,"MIL @ ORL","Brook Lopez","MIL","three_point","Brook Lopez_three_point",0.024,4071,0.0271,3594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0476,2000,-0.0206,-0.0108,-1.0789,0.0526,1800,-0.0287,-0.0151,-1.5125,0.0476,2000,-0.0206,-0.0108,-1.0789,NA,NA,NA,NA,NA,2023-11-11 18:27:34
2023-11-11,"MIL @ ORL","Damian Lillard","MIL","dunk","Damian Lillard_dunk",0.0039,25785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-11-11 18:27:34
2023-11-11,"MIL @ ORL","Damian Lillard","MIL","free_throw","Damian Lillard_free_throw",0.0147,6706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-11-11 18:27:34
2023-11-11,"MIL @ ORL","Damian Lillard","MIL","layup","Damian Lillard_layup",0.0253,3852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-11-11 18:27:34
2023-11-11,"MIL @ ORL","Damian Lillard","MIL","other_fg","Damian Lillard_other_fg",0.0209,4682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-11-11 18:27:34
2023-11-11,"MIL @ ORL","Damian Lillard","MIL","three_point","Damian Lillard_three_point",0.0516,1836,0.0579,1626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0556,1700,0.0024,0.0013,0.1253,NA,NA,NA,NA,NA,0.0526,1800,0.0053,0.0028,0.2792,NA,NA,NA,NA,NA,2023-11-11 18:27:34
2023-11-11,"MIL @ ORL","Khris Middleton","MIL","dunk","Khris Middleton_dunk",0.0042,23886,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004,25000,2e-04,1e-04,0.0093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-11-11 18:27:34
2023-11-11,"MIL @ ORL","Khris Middleton","MIL","free_throw","Khris Middleton_free_throw",0.0102,9746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0141,7000,-0.0039,-0.002,-0.1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-11-11 18:27:34
2023-11-11,"MIL @ ORL","Khris Middleton","MIL","layup","Khris Middleton_layup",0.0209,4678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0294,3300,-0.0085,-0.0044,-0.4371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-11-11 18:27:34
2023-11-11,"MIL @ ORL","Khris Middleton","MIL","other_fg","Khris Middleton_other_fg",0.0429,2233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0769,1200,-0.0341,-0.0185,-1.8452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-11-11 18:27:34
2023-11-11,"MIL @ ORL","Khris Middleton","MIL","three_point","Khris Middleton_three_point",0.031,3122,0.0355,2718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0435,2200,-0.008,-0.0042,-0.418,0.0435,2200,-0.0124,-0.0065,-0.6505,0.0435,2200,-0.008,-0.0042,-0.418,NA,NA,NA,NA,NA,2023-11-11 18:27:34
2023-11-11,"MIL @ ORL","Giannis Antetokounmpo","MIL","dunk","Giannis Antetokounmpo_dunk",0.0358,2693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0588,1600,-0.023,-0.0122,-1.223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-11-11 18:27:34
2023-11-11,"MIL @ ORL","Giannis Antetokounmpo","MIL","free_throw","Giannis Antetokounmpo_free_throw",0.0313,3096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0435,2200,-0.0122,-0.0064,-0.6373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-11-11 18:27:34
2023-11-11,"MIL @ ORL","Giannis Antetokounmpo","MIL","layup","Giannis Antetokounmpo_layup",0.0551,1715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.125,700,-0.0699,-0.0399,-3.9947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-11-11 18:27:34
2023-11-11,"MIL @ ORL","Giannis Antetokounmpo","MIL","other_fg","Giannis Antetokounmpo_other_fg",0.0345,2799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0588,1600,-0.0243,-0.0129,-1.2924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-11-11 18:27:34
2023-11-11,"MIL @ ORL","Giannis Antetokounmpo","MIL","three_point","Giannis Antetokounmpo_three_point",0.0123,8049,0.0133,7409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0152,6500,-0.0018,-9e-04,-0.0931,0.0083,12000,0.004,0.002,0.202,0.0123,8000,0.001,5e-04,0.0492,NA,NA,NA,NA,NA,2023-11-11 18:27:34
2023-11-11,"MIL @ ORL","Malik Beasley","MIL","dunk","Malik Beasley_dunk",0.0037,26709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0055,18000,-0.0018,-9e-04,-0.0902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-11-11 18:27:34
2023-11-11,"MIL @ ORL","Malik Beasley","MIL","free_throw","Malik Beasley_free_throw",0.0055,17996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0052,19000,3e-04,1e-04,0.0146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-11-11 18:27:34
2023-11-11,"MIL @ ORL","Malik Beasley","MIL","layup","Malik Beasley_layup",0.0153,6430,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0179,5500,-0.0025,-0.0013,-0.1294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-11-11 18:27:34
2023-11-11,"MIL @ ORL","Malik Beasley","MIL","other_fg","Malik Beasley_other_fg",0.0129,7681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0217,4500,-0.0089,-0.0045,-0.4543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-11-11 18:27:34
2023-11-11,"MIL @ ORL","Malik Beasley","MIL","three_point","Malik Beasley_three_point",0.0499,1903,0.0499,1903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0588,1600,-0.0089,-0.0047,-0.4728,0.0526,1800,-0.0027,-0.0014,-0.1429,0.0667,1400,-0.0167,-0.009,-0.897,NA,NA,NA,NA,NA,2023-11-11 18:27:34
2023-11-11,"MIL @ ORL","Markelle Fultz","ORL","dunk","Markelle Fultz_dunk",0.0046,21731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0058,17000,-0.0013,-6e-04,-0.0637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-11-11 18:27:34
2023-11-11,"MIL @ ORL","Markelle Fultz","ORL","free_throw","Markelle Fultz_free_throw",0.0062,15919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0055,18000,7e-04,4e-04,0.0361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-11-11 18:27:34
2023-11-11,"MIL @ ORL","Markelle Fultz","ORL","layup","Markelle Fultz_layup",0.0221,4427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0312,3100,-0.0092,-0.0047,-0.4727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-11-11 18:27:34
2023-11-11,"MIL @ ORL","Markelle Fultz","ORL","other_fg","Markelle Fultz_other_fg",0.031,3124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0312,3100,-2e-04,-1e-04,-0.0119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-11-11 18:27:34
2023-11-11,"MIL @ ORL","Markelle Fultz","ORL","three_point","Markelle Fultz_three_point",0.0092,10732,0.0109,9076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0123,8000,-0.0014,-7e-04,-0.0733,0.0083,12000,0.001,5e-04,0.0488,0.0278,3500,-0.0169,-0.0087,-0.8681,NA,NA,NA,NA,NA,2023-11-11 18:27:34
2023-11-11,"MIL @ ORL","Goga Bitadze","ORL","dunk","Goga Bitadze_dunk",0.0116,8484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0256,3800,-0.014,-0.0072,-0.718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-11-11 18:27:34
2023-11-11,"MIL @ ORL","Goga Bitadze","ORL","free_throw","Goga Bitadze_free_throw",0.0091,10889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0152,6500,-0.0061,-0.0031,-0.3072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-11-11 18:27:34
2023-11-11,"MIL @ ORL","Goga Bitadze","ORL","layup","Goga Bitadze_layup",0.0416,2306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0455,2100,-0.0039,-0.002,-0.2042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-11-11 18:27:34
2023-11-11,"MIL @ ORL","Goga Bitadze","ORL","other_fg","Goga Bitadze_other_fg",0.0254,3829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0238,4100,0.0016,8e-04,0.084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-11-11 18:27:34
2023-11-11,"MIL @ ORL","Goga Bitadze","ORL","three_point","Goga Bitadze_three_point",0.0123,8050,0.0145,6795,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0099,10000,0.0046,0.0023,0.2324,0.0104,9500,0.0019,9e-04,0.0936,0.0123,8000,0.0022,0.0011,0.1092,NA,NA,NA,NA,NA,2023-11-11 18:27:34
