"game_date","game","player_name","team_abbreviation","prob_points","line_points","prob_fgm","line_fgm","br_prob","br_line","br_edge","br_kelly","br_units","bs_prob","bs_line","bs_edge","bs_kelly","bs_units","csr_prob","csr_line","csr_edge","csr_kelly","csr_units","dk_prob","dk_line","dk_edge","dk_kelly","dk_units","fd_prob","fd_line","fd_edge","fd_kelly","fd_units","mgm_prob","mgm_line","mgm_edge","mgm_kelly","mgm_units","pb_prob","pb_line","pb_edge","pb_kelly","pb_units","run_timestamp_utc"
2023-11-11,"MIL @ ORL","Damian Lillard","MIL",0.1974,407,0.2032,392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2273,340,-0.024,-0.0155,-1.5544,NA,NA,NA,NA,NA,0.2353,325,-0.032,-0.021,-2.0952,NA,NA,NA,NA,NA,2023-11-11 18:27:34
2023-11-11,"MIL @ ORL","Malik Beasley","MIL",0.1481,575,0.1539,550,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1538,550,0,0,0.0011,0.1429,600,0.0053,0.0031,0.3064,0.1739,475,-0.02,-0.0121,-1.2135,NA,NA,NA,NA,NA,2023-11-11 18:27:34
2023-11-11,"MIL @ ORL","Khris Middleton","MIL",0.1851,440,0.1906,425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2128,370,-0.0221,-0.0141,-1.4066,0.2381,320,-0.053,-0.0348,-3.4798,0.2222,350,-0.0316,-0.0203,-2.0316,NA,NA,NA,NA,NA,2023-11-11 18:27:34
2023-11-11,"MIL @ ORL","Giannis Antetokounmpo","MIL",0.2865,249,0.2648,278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3333,200,-0.0685,-0.0514,-5.1394,0.4444,125,-0.158,-0.1422,-14.2166,0.2632,280,0.0017,0.0011,0.112,NA,NA,NA,NA,NA,2023-11-11 18:27:34
2023-11-11,"MIL @ ORL","Brook Lopez","MIL",0.1829,447,0.1875,433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2222,350,-0.0348,-0.0223,-2.2348,0.1818,450,0.0011,7e-04,0.0686,0.2353,325,-0.0478,-0.0313,-3.1277,NA,NA,NA,NA,NA,2023-11-11 18:27:34
2023-11-11,"MIL @ ORL","Markelle Fultz","ORL",0.1783,461,0.1835,445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2381,320,-0.0546,-0.0358,-3.5847,0.1538,550,0.0245,0.0145,1.4471,0.2353,325,-0.0518,-0.0339,-3.3884,NA,NA,NA,NA,NA,2023-11-11 18:27:34
2023-11-11,"MIL @ ORL","Jalen Suggs","ORL",0.1732,477,0.173,478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,400,-0.027,-0.0169,-1.6898,0.1818,450,-0.0086,-0.0053,-0.5271,0.1818,450,-0.0089,-0.0054,-0.5411,NA,NA,NA,NA,NA,2023-11-11 18:27:34
2023-11-11,"MIL @ ORL","Franz Wagner","ORL",0.1882,431,0.1884,431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,300,-0.0616,-0.0411,-4.1085,0.2273,340,-0.0391,-0.0253,-2.5269,0.2778,260,-0.0894,-0.0619,-6.1896,NA,NA,NA,NA,NA,2023-11-11 18:27:34
2023-11-11,"MIL @ ORL","Paolo Banchero","ORL",0.2164,362,0.2118,372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2439,310,-0.0321,-0.0212,-2.122,0.3333,200,-0.1169,-0.0877,-8.7665,0.2564,290,-0.0446,-0.03,-2.9987,NA,NA,NA,NA,NA,2023-11-11 18:27:34
2023-11-11,"MIL @ ORL","Goga Bitadze","ORL",0.2438,310,0.2434,311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2222,350,0.0212,0.0136,1.3601,0.2381,320,0.0057,0.0037,0.3748,0.1739,475,0.0695,0.042,4.2045,NA,NA,NA,NA,NA,2023-11-11 18:27:34
2023-11-11,"TOR @ BOS","Dennis Schroder","TOR",0.1706,486,0.1667,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,400,-0.0333,-0.0208,-2.0837,0.2273,340,-0.0567,-0.0367,-3.6672,0.1667,500,0,0,-4e-04,NA,NA,NA,NA,NA,2023-11-11 18:27:34
2023-11-11,NA,"O.G. Anunoby","TOR",0.106,843,0.113,785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-11-11 18:27:34
2023-11-11,"TOR @ BOS","Scottie Barnes","TOR",0.2291,336,0.2334,328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2632,280,-0.0297,-0.0202,-2.0179,0.2174,360,0.0117,0.0075,0.7501,0.2564,290,-0.023,-0.0155,-1.5459,NA,NA,NA,NA,NA,2023-11-11 18:27:34
2023-11-11,"TOR @ BOS","Pascal Siakam","TOR",0.2601,284,0.2663,276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2381,320,0.0282,0.0185,1.8477,0.3333,200,-0.0732,-0.0549,-5.4925,0.2632,280,0.0031,0.0021,0.2098,NA,NA,NA,NA,NA,2023-11-11 18:27:34
2023-11-11,"TOR @ BOS","Jakob Poeltl","TOR",0.2341,327,0.2206,353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2381,320,-0.0175,-0.0115,-1.1452,0.1818,450,0.0523,0.032,3.1964,0.2222,350,-0.0016,-0.001,-0.1014,NA,NA,NA,NA,NA,2023-11-11 18:27:34
2023-11-11,"TOR @ BOS","Jrue Holiday","BOS",0.162,517,0.1647,507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,400,-0.0353,-0.0221,-2.2069,0.2174,360,-0.0554,-0.0354,-3.5369,0.2,400,-0.0353,-0.0221,-2.2069,NA,NA,NA,NA,NA,2023-11-11 18:27:34
2023-11-11,"TOR @ BOS","Derrick White","BOS",0.1411,609,0.1441,594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1818,450,-0.0377,-0.023,-2.3024,0.125,700,0.0161,0.0092,0.9192,0.1538,550,-0.0097,-0.0057,-0.5734,NA,NA,NA,NA,NA,2023-11-11 18:27:34
2023-11-11,"TOR @ BOS","Jaylen Brown","BOS",0.2192,356,0.2218,351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2439,310,-0.0221,-0.0146,-1.4611,0.2632,280,-0.044,-0.0298,-2.9849,0.2857,250,-0.0639,-0.0447,-4.4734,NA,NA,NA,NA,NA,2023-11-11 18:27:34
2023-11-11,"TOR @ BOS","Jayson Tatum","BOS",0.2209,353,0.2099,376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,300,-0.0401,-0.0267,-2.6733,0.2703,270,-0.0493,-0.0338,-3.3813,0.2353,325,-0.0254,-0.0166,-1.6603,NA,NA,NA,NA,NA,2023-11-11 18:27:34
2023-11-11,"TOR @ BOS","Kristaps Porzingis","BOS",0.2568,289,0.2595,285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2778,260,-0.0183,-0.0127,-1.2683,0.2632,280,-0.0064,-0.0043,-0.432,0.2632,280,-0.0037,-0.0025,-0.2511,NA,NA,NA,NA,NA,2023-11-11 18:27:34
2023-11-11,"MIA @ ATL","Kyle Lowry","MIA",0.1523,556,0.1499,567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1695,490,-0.0172,-0.0103,-1.0329,0.1667,500,-0.0168,-0.0101,-1.0056,NA,NA,NA,NA,NA,2023-11-11 18:27:34
2023-11-11,"MIA @ ATL","Duncan Robinson","MIA",0.1749,472,0.1668,499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2703,270,-0.0954,-0.0654,-6.5363,0.2222,350,-0.0554,-0.0356,-3.5598,NA,NA,NA,NA,NA,2023-11-11 18:27:34
2023-11-11,"MIA @ ATL","Jaime Jaquez Jr.","MIA",0.1485,573,0.143,599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1538,550,-0.0053,-0.0031,-0.3144,0.1538,550,-0.0108,-0.0064,-0.641,NA,NA,NA,NA,NA,2023-11-11 18:27:34
