"player","team_abbrev","starts","shots","percentage"
"Aaron Gordon","DEN",13,1,0.0769230769230769
"Aaron Wiggins","OKC",1,1,1
"Akoldah Gak","CNS",2,1,0.5
"Al Horford","BOS",4,1,0.25
"Alec Burks","DET",2,1,0.5
"Alperen Sengun","HOU",13,4,0.307692307692308
"Amen Thompson","HOU",1,0,0
"Andre Drummond","CHI",1,0,0
"Andrew Nembhard","IND",1,1,1
"Andrew Wiggins","GSW",14,2,0.142857142857143
"Anfernee Simons","POR",4,1,0.25
"Anthony Black","ORL",3,0,0
"Anthony Davis","LAL",13,5,0.384615384615385
"Anthony Edwards","MIN",11,0,0
"Anthony Lamb","NZB",1,1,1
"Ashton Hagans","MRA",1,0,0
"Ausar Thompson","DET",14,1,0.0714285714285714
"Austin Reaves","LAL",11,4,0.363636363636364
"Ayo Dosunmu","CHI",2,1,0.5
"Bam Adebayo","MIA",11,5,0.454545454545455
"Ben Simmons","BKN",10,5,0.5
"Bennedict Mathurin","IND",13,2,0.153846153846154
"Bilal Coulibaly","WAS",5,0,0
"Bismack Biyombo","MEM",3,1,0.333333333333333
"Bobby Portis","MIL",2,1,0.5
"Bobi Klintman","CNS",1,1,1
"Bogdan Bogdanovic","ATL",3,2,0.666666666666667
"Bones Hyland","LAC",4,0,0
"Bradley Beal","PHX",4,3,0.75
"Brandin Podziemski","GSW",1,0,0
"Brandon Ingram","NOP",10,3,0.3
"Brandon Miller","CHA",5,0,0
"Brook Lopez","MIL",12,4,0.333333333333333
"Bruce Brown","IND",13,0,0
"Bruno Caboclo","MRA",3,0,0
"Bruno Fernando","ATL",1,0,0
"Bul Kuol","CNS",2,0,0
"CJ McCollum","NOP",10,1,0.1
"Cade Cunningham","DET",13,3,0.230769230769231
"Caleb Houstan","ORL",1,0,0
"Caleb Martin","MIA",1,0,0
"Cam Reddish","LAL",3,0,0
"Cam Thomas","BKN",10,2,0.2
"Cam Whitmore","HOU",1,0,0
"Cameron Johnson","BKN",2,0,0
"Cameron Payne","MIL",2,0,0
"Caris LeVert","CLE",4,0,0
"Cason Wallace","OKC",3,0,0
"Cedi Osman","SAS",2,0,0
"Charles Bassey","SAS",1,0,0
"Chet Holmgren","OKC",13,4,0.307692307692308
"Chimezie Metu","PHX",1,0,0
"Chris Boucher","TOR",2,0,0
"Chris Duarte","SAC",1,0,0
"Chris Paul","GSW",5,1,0.2
"Christian Wood","LAL",2,0,0
"Chuma Okeke","ORL",1,0,0
"Clint Capela","ATL",11,0,0
"Coby White","CHI",14,2,0.142857142857143
"Collin Sexton","UTA",3,1,0.333333333333333
"D'Angelo Russell","LAL",15,1,0.0666666666666667
"Dakarai Tucker","MRA",3,0,0
"Dalano Banton","BOS",1,0,0
"Damian Jones","CLE",2,1,0.5
"Damian Lillard","MIL",10,1,0.1
"Daniel Gafford","WAS",10,3,0.3
"Daniel Theis","IND",1,1,1
"Dante Exum","DAL",1,1,1
"Dario Saric","GSW",1,0,0
"Darius Garland","CLE",6,1,0.166666666666667
"David Roddy","MEM",3,0,0
"Davion Mitchell","SAC",4,1,0.25
"De'Aaron Fox","SAC",7,2,0.285714285714286
"De'Andre Hunter","ATL",10,3,0.3
"De'Anthony Melton","PHI",10,1,0.1
"DeAndre Jordan","DEN",1,0,0
"DeMar DeRozan","CHI",13,0,0
"Dean Wade","CLE",5,0,0
"Deandre Ayton","POR",10,2,0.2
"Dejounte Murray","ATL",12,4,0.333333333333333
"Deni Avdija","WAS",10,2,0.2
"Dennis Schroder","TOR",12,2,0.166666666666667
"Dereck Lively II","DAL",11,2,0.181818181818182
"Derrick Jones Jr.","DAL",11,4,0.363636363636364
"Derrick Rose","MEM",3,1,0.333333333333333
"Derrick White","BOS",10,0,0
"Desmond Bane","MEM",13,3,0.230769230769231
"Devin Booker","PHX",5,1,0.2
"Devin Vassell","SAS",10,3,0.3
"Didi Louzada","FLA",1,0,0
"Dillon Brooks","HOU",12,3,0.25
"Domantas Sabonis","SAC",12,4,0.333333333333333
"Donovan Mitchell","CLE",10,3,0.3
"Donte DiVincenzo","NYK",1,0,0
"Dorian Finney-Smith","BKN",10,1,0.1
"Draymond Green","GSW",6,2,0.333333333333333
"Drew Eubanks","PHX",1,0,0
"Dru Smith","MIA",1,0,0
"Duncan Robinson","MIA",2,1,0.5
"Duop Reath","POR",1,0,0
"Dwayne Bacon","MRA",3,2,0.666666666666667
"Dwight Powell","DAL",1,0,0
"Dyson Daniels","NOP",2,0,0
"Dzanan Musa","RMD",1,0,0
"Eric Gordon","PHX",7,2,0.285714285714286
"Evan Mobley","CLE",11,2,0.181818181818182
"Facundo Campazzo","RMD",1,0,0
"Franco Balbi","FLA",1,0,0
"Franz Wagner","ORL",11,0,0
"Fred VanVleet","HOU",12,1,0.0833333333333333
"Gabe Vincent","LAL",2,1,0.5
"Gabriel Jau","FLA",1,0,0
"Gary Harris","ORL",1,0,0
"Gary Trent Jr.","TOR",1,0,0
"Georges Niang","CLE",1,0,0
"Giannis Antetokounmpo","MIL",11,5,0.454545454545455
"Goga Bitadze","ORL",4,3,0.75
"Gordon Hayward","CHA",10,0,0
"Grant Williams","DAL",13,1,0.0769230769230769
"Grayson Allen","PHX",12,1,0.0833333333333333
"Guerschon Yabusele","RMD",1,0,0
"Gui Deodato","FLA",1,0,0
"Harrison Barnes","SAC",13,0,0
"Harry Giles III","BKN",1,0,0
"Haywood Highsmith","MIA",6,0,0
"Herbert Jones","NOP",11,1,0.0909090909090909
"Hunter Tyson","DEN",1,0,0
"Isaac Okoro","CLE",6,2,0.333333333333333
"Isaiah Stewart","DET",14,4,0.285714285714286
"Ivica Zubac","LAC",12,4,0.333333333333333
"JaVale McGee","SAC",1,0,0
"Jabari Smith Jr.","HOU",13,2,0.153846153846154
"Jabari Walker","POR",1,0,0
"Jacob Gilyard","MEM",2,0,0
"Jaden Hardy","DAL",1,0,0
"Jaden Ivey","DET",1,1,1
"Jaden McDaniels","MIN",7,3,0.428571428571429
"Jae Crowder","MIL",5,0,0
"Jae'Sean Tate","HOU",1,1,1
"Jaime Jaquez Jr.","MIA",2,0,0
"Jakob Poeltl","TOR",10,0,0
"Jalen Brunson","NYK",11,4,0.363636363636364
"Jalen Duren","DET",11,3,0.272727272727273
"Jalen Green","HOU",11,2,0.181818181818182
"Jalen Johnson","ATL",8,1,0.125
"Jalen Suggs","ORL",11,2,0.181818181818182
"Jalen Williams","OKC",13,4,0.307692307692308
"Jamal Cain","MIA",2,0,0
"Jamal Murray","DEN",11,2,0.181818181818182
"James Harden","LAC",3,0,0
"Jaren Jackson Jr.","MEM",13,3,0.230769230769231
"Jarred Vanderbilt","LAL",1,0,0
"Jarrett Allen","CLE",3,1,0.333333333333333
"Jaxson Hayes","LAL",1,0,0
"Jaylen Brown","BOS",11,2,0.181818181818182
"Jaylin Williams","OKC",1,0,0
"Jayson Tatum","BOS",11,0,0
"Jerami Grant","POR",11,3,0.272727272727273
"Jeremiah Robinson-Earl","NOP",1,0,0
"Jeremy Sochan","SAS",13,4,0.307692307692308
"Jericho Sims","NYK",1,0,0
"Jett Howard","ORL",1,0,0
"Jimmy Butler","MIA",7,2,0.285714285714286
"Joel Embiid","PHI",9,3,0.333333333333333
"John Collins","UTA",14,1,0.0714285714285714
"Jonas Valanciunas","NOP",13,4,0.307692307692308
