"game_date","matchup","player_name","team_abbreviation","event","shot_type","prob","line"
2023-11-11,"MIL @ ORL","Brook Lopez","MIL","points","dunk",0.0115006274330408,8595
2023-11-11,"MIL @ ORL","Brook Lopez","MIL","points","free_throw",0.00869901733416446,11396
2023-11-11,"MIL @ ORL","Brook Lopez","MIL","points","layup",0.0271783580644375,3579
2023-11-11,"MIL @ ORL","Brook Lopez","MIL","points","other_fg",0.0365361523404074,2637
2023-11-11,"MIL @ ORL","Brook Lopez","MIL","points","three_point",0.0239734835239878,4071
2023-11-11,"MIL @ ORL","Damian Lillard","MIL","points","dunk",0.00386325479910061,25785
2023-11-11,"MIL @ ORL","Damian Lillard","MIL","points","free_throw",0.0146938259539903,6706
2023-11-11,"MIL @ ORL","Damian Lillard","MIL","points","layup",0.0253047927142463,3852
2023-11-11,"MIL @ ORL","Damian Lillard","MIL","points","other_fg",0.0209113676811281,4682
2023-11-11,"MIL @ ORL","Damian Lillard","MIL","points","three_point",0.0516403323431605,1836
2023-11-11,"MIL @ ORL","Khris Middleton","MIL","points","dunk",0.00416904596226882,23886
2023-11-11,"MIL @ ORL","Khris Middleton","MIL","points","free_throw",0.0101561277492986,9746
2023-11-11,"MIL @ ORL","Khris Middleton","MIL","points","layup",0.020927462481569,4678
2023-11-11,"MIL @ ORL","Khris Middleton","MIL","points","other_fg",0.0428569696334185,2233
2023-11-11,"MIL @ ORL","Khris Middleton","MIL","points","three_point",0.0310332048047452,3122
2023-11-11,"MIL @ ORL","Giannis Antetokounmpo","MIL","points","dunk",0.0358021164120913,2693
2023-11-11,"MIL @ ORL","Giannis Antetokounmpo","MIL","points","free_throw",0.031287078584384,3096
2023-11-11,"MIL @ ORL","Giannis Antetokounmpo","MIL","points","layup",0.0550924946464794,1715
2023-11-11,"MIL @ ORL","Giannis Antetokounmpo","MIL","points","other_fg",0.0344964463808755,2799
2023-11-11,"MIL @ ORL","Giannis Antetokounmpo","MIL","points","three_point",0.0122717514734915,8049
2023-11-11,"MIL @ ORL","Malik Beasley","MIL","points","dunk",0.00373005313502035,26709
2023-11-11,"MIL @ ORL","Malik Beasley","MIL","points","free_throw",0.00552620502641228,17996
2023-11-11,"MIL @ ORL","Malik Beasley","MIL","points","layup",0.0153145924023156,6430
2023-11-11,"MIL @ ORL","Malik Beasley","MIL","points","other_fg",0.0128515685788873,7681
2023-11-11,"MIL @ ORL","Malik Beasley","MIL","points","three_point",0.0499233487364539,1903
2023-11-11,"ORL vs. MIL","Markelle Fultz","ORL","points","dunk",0.00458063853620052,21731
2023-11-11,"ORL vs. MIL","Markelle Fultz","ORL","points","free_throw",0.00624240962926663,15919
2023-11-11,"ORL vs. MIL","Markelle Fultz","ORL","points","layup",0.022090541086048,4427
2023-11-11,"ORL vs. MIL","Markelle Fultz","ORL","points","other_fg",0.0310184818600412,3124
2023-11-11,"ORL vs. MIL","Markelle Fultz","ORL","points","three_point",0.00923158009018199,10732
2023-11-11,"ORL vs. MIL","Goga Bitadze","ORL","points","dunk",0.0116495983678595,8484
2023-11-11,"ORL vs. MIL","Goga Bitadze","ORL","points","free_throw",0.00910036302318475,10889
2023-11-11,"ORL vs. MIL","Goga Bitadze","ORL","points","layup",0.0415557722633185,2306
2023-11-11,"ORL vs. MIL","Goga Bitadze","ORL","points","other_fg",0.0254487778883794,3829
2023-11-11,"ORL vs. MIL","Goga Bitadze","ORL","points","three_point",0.012269462982748,8050
2023-11-11,"ORL vs. MIL","Franz Wagner","ORL","points","dunk",0.00437845801902374,22739
2023-11-11,"ORL vs. MIL","Franz Wagner","ORL","points","free_throw",0.00780978151042767,12704
2023-11-11,"ORL vs. MIL","Franz Wagner","ORL","points","layup",0.0237647980112202,4108
2023-11-11,"ORL vs. MIL","Franz Wagner","ORL","points","other_fg",0.0217029360559179,4508
2023-11-11,"ORL vs. MIL","Franz Wagner","ORL","points","three_point",0.0195631969723331,5012
2023-11-11,"ORL vs. MIL","Jalen Suggs","ORL","points","dunk",0.00384322027348923,25920
2023-11-11,"ORL vs. MIL","Jalen Suggs","ORL","points","free_throw",0.00644094576667482,15426
2023-11-11,"ORL vs. MIL","Jalen Suggs","ORL","points","layup",0.0176331558817942,5571
2023-11-11,"ORL vs. MIL","Jalen Suggs","ORL","points","other_fg",0.0160032675333906,6149
2023-11-11,"ORL vs. MIL","Jalen Suggs","ORL","points","three_point",0.0271332624243798,3586
2023-11-11,"ORL vs. MIL","Paolo Banchero","ORL","points","dunk",0.00536708633737574,18532
2023-11-11,"ORL vs. MIL","Paolo Banchero","ORL","points","free_throw",0.0119105232111508,8296
2023-11-11,"ORL vs. MIL","Paolo Banchero","ORL","points","layup",0.0303098529343798,3199
2023-11-11,"ORL vs. MIL","Paolo Banchero","ORL","points","other_fg",0.0283691171731016,3425
2023-11-11,"ORL vs. MIL","Paolo Banchero","ORL","points","three_point",0.0128430939727377,7686
2023-11-11,"BOS vs. TOR","Jrue Holiday","BOS","points","dunk",0.00392258870319512,25393
2023-11-11,"BOS vs. TOR","Jrue Holiday","BOS","points","free_throw",0.007059178051433,14066
2023-11-11,"BOS vs. TOR","Jrue Holiday","BOS","points","layup",0.0209092437172291,4683
2023-11-11,"BOS vs. TOR","Jrue Holiday","BOS","points","other_fg",0.0268293564490943,3627
2023-11-11,"BOS vs. TOR","Jrue Holiday","BOS","points","three_point",0.0351439694712461,2745
2023-11-11,"TOR @ BOS","Dennis Schroder","TOR","points","dunk",0.00310726081387127,32083
2023-11-11,"TOR @ BOS","Dennis Schroder","TOR","points","free_throw",0.00685604098806434,14486
2023-11-11,"TOR @ BOS","Dennis Schroder","TOR","points","layup",0.0178892295061709,5490
2023-11-11,"TOR @ BOS","Dennis Schroder","TOR","points","other_fg",0.0237574123170828,4109
2023-11-11,"TOR @ BOS","Dennis Schroder","TOR","points","three_point",0.0201610915808727,4860
2023-11-11,"BOS vs. TOR","Kristaps Porzingis","BOS","points","dunk",0.0134628993548709,7328
2023-11-11,"BOS vs. TOR","Kristaps Porzingis","BOS","points","free_throw",0.0154093950656549,6390
2023-11-11,"BOS vs. TOR","Kristaps Porzingis","BOS","points","layup",0.0275692996660172,3527
2023-11-11,"BOS vs. TOR","Kristaps Porzingis","BOS","points","other_fg",0.0586447009458764,1605
2023-11-11,"BOS vs. TOR","Kristaps Porzingis","BOS","points","three_point",0.0336717525878024,2870
