"game_date","matchup","player_name","team_abbreviation","event","prob","line"
2023-11-11,"MIL @ ORL","Damian Lillard","MIL","points",0.197398238232597,407
2023-11-11,"MIL @ ORL","Malik Beasley","MIL","points",0.148109023537929,575
2023-11-11,"MIL @ ORL","Khris Middleton","MIL","points",0.185069471610391,440
2023-11-11,"MIL @ ORL","Giannis Antetokounmpo","MIL","points",0.286482144145896,249
2023-11-11,"MIL @ ORL","Brook Lopez","MIL","points",0.182941122473187,447
2023-11-11,"ORL vs. MIL","Markelle Fultz","ORL","points",0.178334699490097,461
2023-11-11,"ORL vs. MIL","Jalen Suggs","ORL","points",0.173192112674172,477
2023-11-11,"ORL vs. MIL","Franz Wagner","ORL","points",0.188219933697844,431
2023-11-11,"ORL vs. MIL","Paolo Banchero","ORL","points",0.216447140776714,362
2023-11-11,"ORL vs. MIL","Goga Bitadze","ORL","points",0.243806113361174,310
2023-11-11,"TOR @ BOS","Dennis Schroder","TOR","points",0.170597532653376,486
2023-11-11,"TOR @ BOS","O.G. Anunoby","TOR","points",0.106047475597464,843
2023-11-11,"TOR @ BOS","Scottie Barnes","TOR","points",0.229132116303256,336
2023-11-11,"TOR @ BOS","Pascal Siakam","TOR","points",0.260099526587047,284
2023-11-11,"TOR @ BOS","Jakob Poeltl","TOR","points",0.234123348858857,327
2023-11-11,"BOS vs. TOR","Jrue Holiday","BOS","points",0.162031687920461,517
2023-11-11,"BOS vs. TOR","Derrick White","BOS","points",0.141085967394875,609
2023-11-11,"BOS vs. TOR","Jaylen Brown","BOS","points",0.219169896312369,356
2023-11-11,"BOS vs. TOR","Jayson Tatum","BOS","points",0.220921440476133,353
2023-11-11,"BOS vs. TOR","Kristaps Porzingis","BOS","points",0.256791007896162,289
2023-11-11,"MIA @ ATL","Kyle Lowry","MIA","points",0.152334231315071,556
2023-11-11,"MIA @ ATL","Duncan Robinson","MIA","points",0.174875204583279,472
2023-11-11,"MIA @ ATL","Jaime Jaquez Jr.","MIA","points",0.148525694864461,573
