"game_date","matchup","team_abbreviation","quarter","event","prob","line"
2023-11-11,"ATL vs. MIA","ATL","1Q","fgm",0.497681699429342,101
2023-11-11,"ATL vs. MIA","ATL","1Q","points",0.500931395185235,-100
2023-11-11,"BOS vs. TOR","BOS","1Q","fgm",0.56679099515775,-131
2023-11-11,"BOS vs. TOR","BOS","1Q","points",0.57929617099511,-138
2023-11-11,"CLE @ GSW","CLE","1Q","fgm",0.519635654352663,-108
2023-11-11,"CLE @ GSW","CLE","1Q","points",0.519214682169028,-108
2023-11-11,"MIL @ ORL","MIL","1Q","fgm",0.577544068835355,-137
2023-11-11,"MIL @ ORL","MIL","1Q","points",0.589739678195375,-144
2023-11-11,"GSW vs. CLE","GSW","1Q","fgm",0.480364345647337,108
2023-11-11,"GSW vs. CLE","GSW","1Q","points",0.480785317830972,108
2023-11-11,"MIA @ ATL","MIA","1Q","fgm",0.502318300570658,-101
2023-11-11,"MIA @ ATL","MIA","1Q","points",0.499068604814765,100
2023-11-11,"ORL vs. MIL","ORL","1Q","fgm",0.422455931164645,137
2023-11-11,"ORL vs. MIL","ORL","1Q","points",0.410260321804625,144
2023-11-11,"TOR @ BOS","TOR","1Q","fgm",0.43320900484225,131
2023-11-11,"TOR @ BOS","TOR","1Q","points",0.42070382900489,138
