"season_year","season_type","game_date","game_id","player_id","player_name","team_id","team_abbreviation","matchup","starter","event","shot_type","fpts_team","fpts_team_prob_glmnet","fpts_team_prob_earth","model","fpts_team_prob"
"2023-24","Regular Season",2023-11-11,"0022300173","203081","Damian Lillard","1610612749","MIL","MIL @ ORL",TRUE,"points","overall",NA,0.219639314168084,0.209692250818582,"points",0.214665782493333
"2023-24","Regular Season",2023-11-11,"0022300173","1627736","Malik Beasley","1610612749","MIL","MIL @ ORL",TRUE,"points","overall",NA,0.161677493458292,0.16045242742408,"points",0.161064960441186
"2023-24","Regular Season",2023-11-11,"0022300173","203114","Khris Middleton","1610612749","MIL","MIL @ ORL",TRUE,"points","overall",NA,0.209697507769661,0.192819589592274,"points",0.201258548680967
"2023-24","Regular Season",2023-11-11,"0022300173","203507","Giannis Antetokounmpo","1610612749","MIL","MIL @ ORL",TRUE,"points","overall",NA,0.301070323569505,0.322014402961669,"points",0.311542363265587
"2023-24","Regular Season",2023-11-11,"0022300173","201572","Brook Lopez","1610612749","MIL","MIL @ ORL",TRUE,"points","overall",NA,0.193067654249958,0.204820387279993,"points",0.198944020764976
"2023-24","Regular Season",2023-11-11,"0022300173","1628365","Markelle Fultz","1610612753","ORL","ORL vs. MIL",TRUE,"points","overall",NA,0.195746141195188,0.174418851018414,"points",0.185082496106801
"2023-24","Regular Season",2023-11-11,"0022300173","1630591","Jalen Suggs","1610612753","ORL","ORL vs. MIL",TRUE,"points","overall",NA,0.175697646017687,0.183793003994886,"points",0.179745325006287
"2023-24","Regular Season",2023-11-11,"0022300173","1630532","Franz Wagner","1610612753","ORL","ORL vs. MIL",TRUE,"points","overall",NA,0.188958329971803,0.201725202122162,"points",0.195341766046982
"2023-24","Regular Season",2023-11-11,"0022300173","1631094","Paolo Banchero","1610612753","ORL","ORL vs. MIL",TRUE,"points","overall",NA,0.215745149777565,0.233528908548462,"points",0.224637029163014
"2023-24","Regular Season",2023-11-11,"0022300173","1629048","Goga Bitadze","1610612753","ORL","ORL vs. MIL",TRUE,"points","overall",NA,0.249713626683796,0.256348784680958,"points",0.253031205682377
