"game_date","game","player_name","team_abbreviation","prob_points","line_points","prob_fgm","line_fgm","br_prob","br_line","br_edge","br_kelly","br_units","bs_prob","bs_line","bs_edge","bs_kelly","bs_units","csr_prob","csr_line","csr_edge","csr_kelly","csr_units","dk_prob","dk_line","dk_edge","dk_kelly","dk_units","fd_prob","fd_line","fd_edge","fd_kelly","fd_units","mgm_prob","mgm_line","mgm_edge","mgm_kelly","mgm_units","pb_prob","pb_line","pb_edge","pb_kelly","pb_units","run_timestamp_utc"
2023-11-11,"MIL @ ORL","Markelle Fultz","ORL",0.1783,461,0.1835,445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2381,320,-0.0546,-0.0358,-3.5847,0.1538,550,0.0245,0.0145,1.4471,0.2353,325,-0.0518,-0.0339,-3.3884,NA,NA,NA,NA,NA,2023-11-11 18:27:34
2023-11-11,"MIL @ ORL","Goga Bitadze","ORL",0.2438,310,0.2434,311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2222,350,0.0212,0.0136,1.3601,0.2381,320,0.0057,0.0037,0.3748,0.1739,475,0.0695,0.042,4.2045,NA,NA,NA,NA,NA,2023-11-11 18:27:34
2023-11-11,"TOR @ BOS","Scottie Barnes","TOR",0.2291,336,0.2334,328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2632,280,-0.0297,-0.0202,-2.0179,0.2174,360,0.0117,0.0075,0.7501,0.2564,290,-0.023,-0.0155,-1.5459,NA,NA,NA,NA,NA,2023-11-11 18:27:34
2023-11-11,"TOR @ BOS","Pascal Siakam","TOR",0.2601,284,0.2663,276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2381,320,0.0282,0.0185,1.8477,0.3333,200,-0.0732,-0.0549,-5.4925,0.2632,280,0.0031,0.0021,0.2098,NA,NA,NA,NA,NA,2023-11-11 18:27:34
2023-11-11,"TOR @ BOS","Jakob Poeltl","TOR",0.2341,327,0.2206,353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2381,320,-0.0175,-0.0115,-1.1452,0.1818,450,0.0523,0.032,3.1964,0.2222,350,-0.0016,-0.001,-0.1014,NA,NA,NA,NA,NA,2023-11-11 18:27:34
2023-11-11,"TOR @ BOS","Derrick White","BOS",0.1411,609,0.1441,594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1818,450,-0.0377,-0.023,-2.3024,0.125,700,0.0161,0.0092,0.9192,0.1538,550,-0.0097,-0.0057,-0.5734,NA,NA,NA,NA,NA,2023-11-11 18:27:34
2023-11-11,"MIA @ ATL","Haywood Highsmith","MIA",0.185,441,0.1935,417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1538,550,0.0311,0.0184,1.8404,0.1739,475,0.0196,0.0118,1.1842,NA,NA,NA,NA,NA,2023-11-11 18:27:34
2023-11-11,"MIA @ ATL","Jalen Johnson","ATL",0.2047,388,0.1914,423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1818,450,0.0229,0.014,1.4008,0.1818,450,0.0096,0.0058,0.5846,NA,NA,NA,NA,NA,2023-11-11 18:27:34
2023-11-11,"MIA @ ATL","Clint Capela","ATL",0.1836,445,0.1666,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1695,490,0.0141,0.0085,0.8496,0.25,300,-0.0834,-0.0556,-5.5599,NA,NA,NA,NA,NA,2023-11-11 18:27:34
2023-11-11,"CLE @ GSW","Evan Mobley","CLE",0.2122,371,0.2061,385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2564,290,-0.0503,-0.0338,-3.3815,0.1818,450,0.0304,0.0186,1.8592,0.2,400,0.0061,0.0038,0.3826,NA,NA,NA,NA,NA,2023-11-11 18:27:34
2023-11-11,"CLE @ GSW","Kevon Looney","GSW",0.1929,418,0.1705,487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1818,450,-0.0113,-0.0069,-0.6935,0.1818,450,0.0111,0.0068,0.678,0.2105,375,-0.0401,-0.0254,-2.5369,NA,NA,NA,NA,NA,2023-11-11 18:27:34
