"date","book","game","prop_type","bet_level_1","bet_level_2","bet_level_3","bet_location","bet_status","prob_model","line_model","prob_book","line_book","edge","kelly","units","run_timestamp_utc","timestamp_id","play","result","units_bet","units_net"
2023-10-24,"Draft Kings","LAL @ DEN","FPTS","First FGM","Player","Game","Home/Away","Favorite/Underdog",0.0732,1266,0.0714,1300,0.0018,9e-04,0.0943,2023-10-24 23:21:00,1,"Kentavious Caldwell-Pope","Loss",0.0943,-0.0943
2023-10-24,"FanDuel","LAL @ DEN","FPTS","First Points","Player","Game","Home/Away","Favorite/Underdog",0.0867,1053,0.0556,1700,0.0312,0.0165,1.6496,2023-10-24 23:21:00,1,"Taurean Prince","Loss",1.6496,-1.6496
2023-10-24,"MGM","LAL @ DEN","FPTS Exact","First FGM","Player","Exact","Home/Away","Favorite/Underdog",0.0513,1848,0.0385,2500,0.0129,0.0067,0.6691,2023-10-24 23:21:00,1,"Austin Reaves_two_point","Loss",0.6691,-0.6691
2023-10-24,"FanDuel","LAL @ DEN","FPTS Exact","First Points","Player","Exact","Home/Away","Favorite/Underdog",0.0041,24456,0.004,25000,1e-04,0,0.0044,2023-10-24 23:21:00,1,"Kentavious Caldwell-Pope_dunk","Loss",0.0044,-0.0044
2023-10-24,"FanDuel","LAL @ DEN","FPTS Exact","First Points","Player","Exact","Home/Away","Favorite/Underdog",0.0208,4707,0.02,4900,8e-04,4e-04,0.0409,2023-10-24 23:21:00,1,"Kentavious Caldwell-Pope_other_fg","Loss",0.0409,-0.0409
2023-10-24,"Draft Kings","LAL @ DEN","FPTS Exact","First FGM","Player","Exact","Home/Away","Favorite/Underdog",0.0458,2081,0.0385,2500,0.0074,0.0038,0.3841,2023-10-24 23:21:00,1,"Kentavious Caldwell-Pope_two_point","Loss",0.3841,-0.3841
2023-10-24,"FanDuel","LAL @ DEN","FPTS Exact","First Points","Player","Exact","Home/Away","Favorite/Underdog",0.0261,3733,0.0196,5000,0.0065,0.0033,0.3304,2023-10-24 23:21:00,1,"LeBron James_three_point","Loss",0.3304,-0.3304
2023-10-24,"FanDuel","LAL @ DEN","FPTS Exact","First Points","Player","Exact","Home/Away","Favorite/Underdog",0.0188,5212,0.0179,5500,0.001,5e-04,0.0494,2023-10-24 23:21:00,1,"Michael Porter Jr._layup","Loss",0.0494,-0.0494
2023-10-24,"FanDuel","LAL @ DEN","FPTS Exact","First Points","Player","Exact","Home/Away","Favorite/Underdog",0.0044,22434,0.004,25000,5e-04,2e-04,0.0228,2023-10-24 23:21:00,1,"Taurean Prince_dunk","Loss",0.0228,-0.0228
2023-10-24,"FanDuel","LAL @ DEN","FPTS Exact","First Points","Player","Exact","Home/Away","Favorite/Underdog",0.0069,14396,0.0062,16000,7e-04,3e-04,0.0346,2023-10-24 23:21:00,1,"Taurean Prince_free_throw","Loss",0.0346,-0.0346
2023-10-24,"FanDuel","LAL @ DEN","FPTS Exact","First Points","Player","Exact","Home/Away","Favorite/Underdog",0.0198,4946,0.0164,6000,0.0034,0.0017,0.174,2023-10-24 23:21:00,1,"Taurean Prince_layup","Loss",0.174,-0.174
2023-10-24,"FanDuel","LAL @ DEN","FPTS Exact","First Points","Player","Exact","Home/Away","Favorite/Underdog",0.0211,4633,0.0141,7000,0.007,0.0036,0.3572,2023-10-24 23:21:00,1,"Taurean Prince_other_fg","Loss",0.3572,-0.3572
2023-10-24,"FanDuel","LAL @ DEN","FPTS Exact","First Points","Player","Exact","Home/Away","Favorite/Underdog",0.0344,2804,0.0256,3800,0.0088,0.0045,0.4512,2023-10-24 23:21:00,1,"Taurean Prince_three_point","Loss",0.4512,-0.4512
2023-10-24,"MGM","LAL @ DEN","FPTS Exact","First FGM","Player","Exact","Home/Away","Favorite/Underdog",0.0528,1795,0.0435,2200,0.0093,0.0049,0.4854,2023-10-24 23:21:00,1,"Taurean Prince_two_point","Loss",0.4854,-0.4854
2023-10-24,"Draft Kings","LAL @ DEN","FPTS Team","First FGM","Player","Team","Home/Away","Favorite/Underdog",0.15,567,0.1333,650,0.0167,0.0096,0.9629,2023-10-24 23:21:00,1,"Kentavious Caldwell-Pope","Loss",0.9629,-0.9629
2023-10-24,"MGM","LAL @ DEN","FPTS Team","First FGM","Player","Team","Home/Away","Favorite/Underdog",0.1863,437,0.1818,450,0.0044,0.0027,0.271,2023-10-24 23:21:00,1,"Michael Porter Jr.","Loss",0.271,-0.271
2023-10-24,"FanDuel","LAL @ DEN","FPTS Team","First Points","Player","Team","Home/Away","Favorite/Underdog",0.1711,484,0.1053,850,0.0659,0.0368,3.6817,2023-10-24 23:21:00,1,"Taurean Prince","Loss",3.6817,-3.6817
2023-10-24,"PointsBet","LAL @ DEN","FTTS","First Points","Team","Quarter","Home/Away","Favorite/Underdog",0.4933,103,0.4651,115,0.0282,0.0264,1.3188,2023-10-24 23:21:00,1,"1Q_DEN","Loss",1.3188,-1.3188
2023-10-24,"MGM","LAL @ DEN","Win Tip","Win Tip","Player","Game","Home/Away","Favorite/Underdog",0.5778,-137,0.5455,-120,0.0323,0.0356,1.7782,2023-10-24 23:21:00,1,"Anthony Davis","Win",1.7782,1.48183333333333
2023-10-24,"FanDuel","PHX @ GSW","FPTS","First Points","Player","Game","Home/Away","Favorite/Underdog",0.0691,1348,0.0526,1800,0.0164,0.0087,0.8679,2023-10-24 23:21:00,1,"Chris Paul","Loss",0.8679,-0.8679
2023-10-24,"MGM","PHX @ GSW","FPTS","First FGM","Player","Game","Home/Away","Favorite/Underdog",0.0779,1184,0.0625,1500,0.0154,0.0082,0.8209,2023-10-24 23:21:00,1,"Grayson Allen","Loss",0.8209,-0.8209
2023-10-24,"MGM","PHX @ GSW","FPTS","First FGM","Player","Game","Home/Away","Favorite/Underdog",0.078,1182,0.0625,1500,0.0155,0.0083,0.8256,2023-10-25 00:51:27,2,"Grayson Allen","Loss",0.00470000000000004,-0.00470000000000004
