"game_date","game","quarter","team_abbreviation","quarter_team","run_timestamp_utc","site","prob","line","edge","kelly","units","prob_model","line_model"
2023-10-24,"LAL @ DEN","1Q","DEN","1Q_DEN",2023-10-24 23:21:00,"dk",0.4878,105,0,0,-6e-04,0.4878,105
2023-10-24,"LAL @ DEN","1Q","DEN","1Q_DEN",2023-10-24 23:21:00,"pb",0.4651,115,0.0282,0.0264,1.3188,0.4933,103
2023-10-24,"PHX @ GSW","1Q","GSW","1Q_GSW",2023-10-24 23:21:00,"dk",0.4444,125,0.0071,0.0064,0.3203,0.4516,121
2023-10-24,"PHX @ GSW","1Q","GSW","1Q_GSW",2023-10-24 23:21:00,"pb",0.4082,145,0.0435,0.0368,1.8394,0.4517,121
2023-10-24,"LAL @ DEN","1Q","LAL","1Q_LAL",2023-10-24 23:21:00,"dk",0.5745,-135,-0.0623,-0.0732,-3.6578,0.5122,-105
2023-10-24,"LAL @ DEN","1Q","LAL","1Q_LAL",2023-10-24 23:21:00,"pb",0.6,-149.9925,-0.0933,-0.1166,-5.8324,0.5067,-103
2023-10-24,"PHX @ GSW","1Q","PHX","1Q_PHX",2023-10-24 23:21:00,"dk",0.6226,-165,-0.0742,-0.0983,-4.916,0.5484,-121
2023-10-24,"PHX @ GSW","1Q","PHX","1Q_PHX",2023-10-24 23:21:00,"pb",0.6551,-189.9696,-0.1068,-0.1549,-7.7455,0.5483,-121
2023-10-24,"PHX @ GSW","1Q","GSW","1Q_GSW",2023-10-25 00:51:27,"dk",0.4444,125,0.0065,0.0059,0.2929,0.451,122
2023-10-24,"PHX @ GSW","1Q","GSW","1Q_GSW",2023-10-25 00:51:27,"pb",0.4348,130,0.016,0.0142,0.7091,0.4508,122
2023-10-24,"PHX @ GSW","1Q","PHX","1Q_PHX",2023-10-25 00:51:27,"dk",0.6226,-165,-0.0736,-0.0975,-4.8756,0.549,-122
2023-10-24,"PHX @ GSW","1Q","PHX","1Q_PHX",2023-10-25 00:51:27,"pb",0.6296,-169.9813,-0.0804,-0.1086,-5.4279,0.5492,-122
2023-10-25,"ATL @ CHA","1Q","ATL","1Q_ATL",2023-10-25 20:46:03,"dk",0.5238,-110,-0.0255,-0.0268,-1.3377,0.4983,101
2023-10-25,"ATL @ CHA","1Q","ATL","1Q_ATL",2023-10-25 20:46:03,"pb",0.4762,110,0.024,0.0229,1.1475,0.5002,-100
2023-10-25,"BOS @ NYK","1Q","BOS","1Q_BOS",2023-10-25 20:46:03,"dk",0.5652,-130,-0.0286,-0.0329,-1.6468,0.5366,-116
2023-10-25,"BOS @ NYK","1Q","BOS","1Q_BOS",2023-10-25 20:46:03,"pb",0.5454,-119.9904,-0.0024,-0.0027,-0.1331,0.543,-119
2023-10-25,"CLE @ BKN","1Q","CLE","1Q_CLE",2023-10-25 20:46:03,"dk",0.5349,-115,-0.064,-0.0688,-3.4393,0.4709,112
2023-10-25,"CLE @ BKN","1Q","CLE","1Q_CLE",2023-10-25 20:46:03,"pb",0.5454,-119.9904,-0.0765,-0.0842,-4.2078,0.4689,113
2023-10-25,"NOP @ MEM","1Q","NOP","1Q_NOP",2023-10-25 20:46:03,"dk",0.5122,-105,-0.059,-0.0604,-3.022,0.4532,121
