"game_date","game","shot_type","team_abbreviation","shot_team","run_timestamp_utc","site","prob","line","edge","kelly","units","prob_model","line_model"
2023-10-24,"LAL @ DEN","three_point","DEN","DEN_three_point",2023-10-24 23:21:00,"dk",0.1739,475,-0.0422,-0.0255,-1.2773,0.1317,659
2023-10-24,"LAL @ DEN","three_point","LAL","LAL_three_point",2023-10-24 23:21:00,"dk",0.1818,450,-0.0441,-0.0269,-1.3469,0.1377,626
2023-10-24,"PHX @ GSW","three_point","GSW","GSW_three_point",2023-10-24 23:21:00,"dk",0.1905,425,-0.0436,-0.027,-1.348,0.1468,581
2023-10-24,"PHX @ GSW","three_point","PHX","PHX_three_point",2023-10-24 23:21:00,"dk",0.1739,475,-0.034,-0.0206,-1.0287,0.1399,615
2023-10-24,"LAL @ DEN","two_point","DEN","DEN_two_point",2023-10-24 23:21:00,"dk",0.3846,160,-0.0285,-0.0232,-1.159,0.3561,181
2023-10-24,"LAL @ DEN","two_point","LAL","LAL_two_point",2023-10-24 23:21:00,"dk",0.4348,130,-0.0603,-0.0534,-2.6676,0.3745,167
2023-10-24,"PHX @ GSW","two_point","GSW","GSW_two_point",2023-10-24 23:21:00,"dk",0.3279,205,-0.0231,-0.0172,-0.8605,0.3047,228
2023-10-24,"PHX @ GSW","two_point","PHX","PHX_two_point",2023-10-24 23:21:00,"dk",0.4878,105,-0.0793,-0.0774,-3.8701,0.4085,145
2023-10-24,"LAL @ DEN","three_point","Game","Game_three_point",2023-10-24 23:21:00,"dk",0.3077,225,-0.0382,-0.0276,-1.3812,0.2694,271
2023-10-24,"PHX @ GSW","three_point","Game","Game_three_point",2023-10-24 23:21:00,"dk",0.303,230,-0.0163,-0.0117,-0.584,0.2867,249
2023-10-24,"LAL @ DEN","two_point","Game","Game_two_point",2023-10-24 23:21:00,"dk",0.7619,-320,-0.0313,-0.0658,-3.2916,0.7306,-271
2023-10-24,"PHX @ GSW","two_point","Game","Game_two_point",2023-10-24 23:21:00,"dk",0.7674,-330,-0.0542,-0.1165,-5.8255,0.7133,-249
2023-10-24,"PHX @ GSW","three_point","Game","Game_three_point",2023-10-25 00:51:27,"dk",0.303,230,-0.0163,-0.0117,-0.5855,0.2867,249
2023-10-24,"PHX @ GSW","two_point","Game","Game_two_point",2023-10-25 00:51:27,"dk",0.7674,-330,-0.0541,-0.1164,-5.8209,0.7133,-249
2023-10-25,"ATL @ CHA","three_point","ATL","ATL_three_point",2023-10-25 20:46:03,"dk",0.1538,550,-0.0199,-0.0118,-0.5877,0.134,647
2023-10-25,"ATL @ CHA","three_point","CHA","CHA_three_point",2023-10-25 20:46:03,"dk",0.1739,475,-0.0288,-0.0174,-0.8718,0.1451,589
2023-10-25,"WAS @ IND","three_point","IND","IND_three_point",2023-10-25 20:46:03,"dk",0.1538,550,0.0051,0.003,0.1501,0.1589,529
2023-10-25,"WAS @ IND","three_point","WAS","WAS_three_point",2023-10-25 20:46:03,"dk",0.1739,475,-0.0372,-0.0225,-1.1245,0.1368,631
2023-10-25,"BOS @ NYK","three_point","BOS","BOS_three_point",2023-10-25 20:46:03,"dk",0.2,400,-0.0304,-0.019,-0.9489,0.1696,490
2023-10-25,"BOS @ NYK","three_point","NYK","NYK_three_point",2023-10-25 20:46:03,"dk",0.1905,425,-0.0549,-0.0339,-1.6953,0.1356,638
2023-10-25,"HOU @ ORL","three_point","HOU","HOU_three_point",2023-10-25 20:46:03,"dk",0.1667,500,-0.0441,-0.0265,-1.3233,0.1226,716
2023-10-25,"HOU @ ORL","three_point","ORL","ORL_three_point",2023-10-25 20:46:03,"dk",0.1739,475,-0.0291,-0.0176,-0.8809,0.1448,591
2023-10-25,"CLE @ BKN","three_point","CLE","CLE_three_point",2023-10-25 20:46:03,"dk",0.1667,500,-0.0059,-0.0035,-0.1762,0.1608,522
2023-10-25,"CLE @ BKN","three_point","BKN","BKN_three_point",2023-10-25 20:46:03,"dk",0.1739,475,-0.0562,-0.034,-1.7015,0.1177,750
2023-10-25,"DET @ MIA","three_point","MIA","MIA_three_point",2023-10-25 20:46:03,"dk",0.1739,475,-0.0348,-0.0211,-1.0533,0.1391,619
2023-10-25,"DET @ MIA","three_point","DET","DET_three_point",2023-10-25 20:46:03,"dk",0.1538,550,-0.0415,-0.0245,-1.2272,0.1123,790
2023-10-25,"MIN @ TOR","three_point","MIN","MIN_three_point",2023-10-25 20:46:03,"dk",0.1818,450,-0.0319,-0.0195,-0.9733,0.15,567
2023-10-25,"MIN @ TOR","three_point","TOR","TOR_three_point",2023-10-25 20:46:03,"dk",0.1333,650,-0.036,-0.0208,-1.0386,0.0973,927
2023-10-25,"OKC @ CHI","three_point","CHI","CHI_three_point",2023-10-25 20:46:03,"dk",0.1538,550,-0.0424,-0.025,-1.2523,0.1115,797
2023-10-25,"OKC @ CHI","three_point","OKC","OKC_three_point",2023-10-25 20:46:03,"dk",0.1818,450,-0.0754,-0.0461,-2.3027,0.1065,839
2023-10-25,"NOP @ MEM","three_point","NOP","NOP_three_point",2023-10-25 20:46:03,"dk",0.1429,600,-0.076,-0.0443,-2.2175,0.0668,1396
2023-10-25,"NOP @ MEM","three_point","MEM","MEM_three_point",2023-10-25 20:46:03,"dk",0.2,400,-0.0367,-0.0229,-1.1467,0.1633,512
2023-10-25,"SAC @ UTA","three_point","SAC","SAC_three_point",2023-10-25 20:46:03,"dk",0.1667,500,-0.0296,-0.0178,-0.8878,0.1371,630
2023-10-25,"SAC @ UTA","three_point","UTA","UTA_three_point",2023-10-25 20:46:03,"dk",0.1905,425,-0.0386,-0.0238,-1.191,0.1519,558
2023-10-25,"DAL @ SAS","three_point","DAL","DAL_three_point",2023-10-25 20:46:03,"dk",0.1818,450,-0.0475,-0.029,-1.4524,0.1343,645
2023-10-25,"DAL @ SAS","three_point","SAS","SAS_three_point",2023-10-25 20:46:03,"dk",0.1538,550,-0.0044,-0.0026,-0.1301,0.1494,569
