"game_date","game","player_name","run_timestamp_utc","site","prob","line","edge","kelly","units","prob_model","line_model"
2023-10-24,"LAL @ DEN","Nikola Jokic",2023-10-24 23:21:00,"mgm",0.5238,-110,-0.1016,-0.1067,-5.3338,0.4222,137
2023-10-24,"PHX @ GSW","Kevon Looney",2023-10-24 23:21:00,"mgm",0.3333,200,-0.009,-0.0068,-0.3375,0.3243,208
2023-10-24,"LAL @ DEN","Anthony Davis",2023-10-24 23:21:00,"mgm",0.5455,-120,0.0323,0.0356,1.7782,0.5778,-137
2023-10-24,"PHX @ GSW","Jusuf Nurkic",2023-10-24 23:21:00,"mgm",0.7333,-275,-0.0577,-0.1081,-5.4062,0.6757,-208
2023-10-24,"PHX @ GSW","Kevon Looney",2023-10-25 00:51:27,"mgm",0.3333,200,-0.009,-0.0068,-0.3375,0.3243,208
2023-10-24,"PHX @ GSW","Jusuf Nurkic",2023-10-25 00:51:27,"mgm",0.7333,-275,-0.0577,-0.1081,-5.4062,0.6757,-208
2023-10-25,"WAS @ IND","Myles Turner",2023-10-25 20:46:03,"mgm",0.6226,-165,-0.0655,-0.0867,-4.3366,0.5572,-126
2023-10-25,"DET @ MIA","Bam Adebayo",2023-10-25 20:46:03,"mgm",0.75,-300,-0.0946,-0.1892,-9.458,0.6554,-190
2023-10-25,"OKC @ CHI","Nikola Vucevic",2023-10-25 20:46:03,"mgm",0.2439,310,0.1477,0.0977,4.884,0.3916,155
2023-10-25,"POR @ LAC","Ivica Zubac",2023-10-25 20:46:03,"mgm",0.2353,325,0.0424,0.0277,1.385,0.2777,260
2023-10-25,"ATL @ CHA","Clint Capela",2023-10-25 20:46:03,"mgm",0.4878,105,-0.0269,-0.0262,-1.3111,0.4609,117
2023-10-25,"BOS @ NYK","Kristaps Porzingis",2023-10-25 20:46:03,"mgm",0.6226,-165,-0.0183,-0.0243,-1.2127,0.6043,-153
2023-10-25,"HOU @ ORL","Alperen Sengun",2023-10-25 20:46:03,"mgm",0.2941,240,0.0145,0.0103,0.5142,0.3086,224
2023-10-25,"CLE @ BKN","Evan Mobley",2023-10-25 20:46:03,"mgm",0.4444,125,-0.0769,-0.0692,-3.4603,0.3675,172
2023-10-25,"MIN @ TOR","Rudy Gobert",2023-10-25 20:46:03,"mgm",0.5652,-130,-0.0064,-0.0073,-0.3655,0.5589,-127
2023-10-25,"NOP @ MEM","Jonas Valanciunas",2023-10-25 20:46:03,"mgm",0.4,150,-0.0662,-0.0552,-2.7579,0.3338,200
2023-10-25,"SAC @ UTA","Domantas Sabonis",2023-10-25 20:46:03,"mgm",0.2632,280,0.1129,0.0766,3.8289,0.376,166
2023-10-25,"DAL @ SAS","Dereck Lively II",2023-10-25 20:46:03,"mgm",0.2941,240,-0.08,-0.0567,-2.8336,0.2141,367
2023-10-25,"ATL @ CHA","Mark Williams",2023-10-25 20:46:03,"mgm",0.5918,-145,-0.0528,-0.0647,-3.2327,0.5391,-117
2023-10-25,"BOS @ NYK","Mitchell Robinson",2023-10-25 20:46:03,"mgm",0.4444,125,-0.0488,-0.0439,-2.1952,0.3957,153
2023-10-25,"HOU @ ORL","Wendell Carter Jr.",2023-10-25 20:46:03,"mgm",0.7778,-350,-0.0864,-0.1944,-9.7215,0.6914,-224
2023-10-25,"CLE @ BKN","Nic Claxton",2023-10-25 20:46:03,"mgm",0.6226,-165,0.0098,0.013,0.65,0.6325,-172
2023-10-25,"MIN @ TOR","Jakob Poeltl",2023-10-25 20:46:03,"mgm",0.5,100,-0.0589,-0.0589,-2.9431,0.4411,127
2023-10-25,"NOP @ MEM","Jaren Jackson Jr.",2023-10-25 20:46:03,"mgm",0.6667,-200,-5e-04,-7e-04,-0.0357,0.6662,-200
2023-10-25,"SAC @ UTA","Walker Kessler",2023-10-25 20:46:03,"mgm",0.8,-400,-0.176,-0.44,-22.0013,0.624,-166
2023-10-25,"DAL @ SAS","Victor Wembanyama",2023-10-25 20:46:03,"mgm",0.7778,-350,0.0081,0.0183,0.9125,0.7859,-367
2023-10-25,"WAS @ IND","Daniel Gafford",2023-10-25 20:46:03,"mgm",0.4444,125,-0.0016,-0.0015,-0.0732,0.4428,126
2023-10-25,"DET @ MIA","Jalen Duren",2023-10-25 20:46:03,"mgm",0.3077,225,0.0369,0.0266,1.3321,0.3446,190
2023-10-25,"OKC @ CHI","Chet Holmgren",2023-10-25 20:46:03,"mgm",0.8333,-500,-0.2249,-0.6748,-33.742,0.6084,-155
2023-10-25,"POR @ LAC","Deandre Ayton",2023-10-25 20:46:03,"mgm",0.8462,-550,-0.1238,-0.4024,-20.1197,0.7223,-260
2023-10-25,"WAS @ IND","Myles Turner",2023-10-25 21:50:34,"mgm",0.6226,-165,-0.0655,-0.0867,-4.3366,0.5572,-126
2023-10-25,"DET @ MIA","Bam Adebayo",2023-10-25 21:50:34,"mgm",0.75,-300,-0.0946,-0.1892,-9.458,0.6554,-190
2023-10-25,"OKC @ CHI","Nikola Vucevic",2023-10-25 21:50:34,"mgm",0.2439,310,0.1477,0.0977,4.884,0.3916,155
2023-10-25,"POR @ LAC","Ivica Zubac",2023-10-25 21:50:34,"mgm",0.2353,325,0.0424,0.0277,1.385,0.2777,260
2023-10-25,"ATL @ CHA","Clint Capela",2023-10-25 21:50:34,"mgm",0.4878,105,-0.0269,-0.0262,-1.3111,0.4609,117
2023-10-25,"BOS @ NYK","Kristaps Porzingis",2023-10-25 21:50:34,"mgm",0.6226,-165,-0.0183,-0.0243,-1.2127,0.6043,-153
2023-10-25,"HOU @ ORL","Alperen Sengun",2023-10-25 21:50:34,"mgm",0.2941,240,0.0145,0.0103,0.5142,0.3086,224
2023-10-25,"CLE @ BKN","Evan Mobley",2023-10-25 21:50:34,"mgm",0.4444,125,-0.0769,-0.0692,-3.4603,0.3675,172
2023-10-25,"MIN @ TOR","Rudy Gobert",2023-10-25 21:50:34,"mgm",0.5652,-130,-0.0064,-0.0073,-0.3655,0.5589,-127
2023-10-25,"NOP @ MEM","Jonas Valanciunas",2023-10-25 21:50:34,"mgm",0.4,150,-0.0662,-0.0552,-2.7579,0.3338,200
2023-10-25,"SAC @ UTA","Domantas Sabonis",2023-10-25 21:50:34,"mgm",0.2632,280,0.1129,0.0766,3.8289,0.376,166
2023-10-25,"DAL @ SAS","Dereck Lively II",2023-10-25 21:50:34,"mgm",0.2941,240,-0.08,-0.0567,-2.8336,0.2141,367
2023-10-25,"ATL @ CHA","Mark Williams",2023-10-25 21:50:34,"mgm",0.5918,-145,-0.0528,-0.0647,-3.2327,0.5391,-117
2023-10-25,"BOS @ NYK","Mitchell Robinson",2023-10-25 21:50:34,"mgm",0.4444,125,-0.0488,-0.0439,-2.1952,0.3957,153
2023-10-25,"HOU @ ORL","Wendell Carter Jr.",2023-10-25 21:50:34,"mgm",0.7778,-350,-0.0864,-0.1944,-9.7215,0.6914,-224
2023-10-25,"CLE @ BKN","Nic Claxton",2023-10-25 21:50:34,"mgm",0.6226,-165,0.0098,0.013,0.65,0.6325,-172
2023-10-25,"MIN @ TOR","Jakob Poeltl",2023-10-25 21:50:34,"mgm",0.5,100,-0.0589,-0.0589,-2.9431,0.4411,127
2023-10-25,"NOP @ MEM","Jaren Jackson Jr.",2023-10-25 21:50:34,"mgm",0.6667,-200,-5e-04,-7e-04,-0.0357,0.6662,-200
2023-10-25,"SAC @ UTA","Walker Kessler",2023-10-25 21:50:34,"mgm",0.8,-400,-0.176,-0.44,-22.0013,0.624,-166
2023-10-25,"DAL @ SAS","Victor Wembanyama",2023-10-25 21:50:34,"mgm",0.7778,-350,0.0081,0.0183,0.9125,0.7859,-367
2023-10-25,"WAS @ IND","Daniel Gafford",2023-10-25 21:50:34,"mgm",0.4444,125,-0.0016,-0.0015,-0.0732,0.4428,126
2023-10-25,"DET @ MIA","Jalen Duren",2023-10-25 21:50:34,"mgm",0.3077,225,0.0369,0.0266,1.3321,0.3446,190
2023-10-25,"OKC @ CHI","Chet Holmgren",2023-10-25 21:50:34,"mgm",0.8333,-500,-0.2249,-0.6748,-33.742,0.6084,-155
2023-10-25,"POR @ LAC","Deandre Ayton",2023-10-25 21:50:34,"mgm",0.8462,-550,-0.1238,-0.4024,-20.1197,0.7223,-260
2023-10-25,"DET @ MIA","Bam Adebayo",2023-10-25 23:11:45,"mgm",0.75,-300,-0.0946,-0.1892,-9.458,0.6554,-190
2023-10-25,"OKC @ CHI","Nikola Vucevic",2023-10-25 23:11:45,"mgm",0.2439,310,0.1477,0.0977,4.884,0.3916,155
2023-10-25,"POR @ LAC","Ivica Zubac",2023-10-25 23:11:45,"mgm",0.2353,325,0.0424,0.0277,1.385,0.2777,260
2023-10-25,"BOS @ NYK","Kristaps Porzingis",2023-10-25 23:11:45,"mgm",0.6226,-165,-0.0183,-0.0243,-1.2127,0.6043,-153
2023-10-25,"CLE @ BKN","Evan Mobley",2023-10-25 23:11:45,"mgm",0.4444,125,-0.0769,-0.0692,-3.4603,0.3675,172
2023-10-25,"MIN @ TOR","Rudy Gobert",2023-10-25 23:11:45,"mgm",0.5652,-130,-0.0064,-0.0073,-0.3655,0.5589,-127
2023-10-25,"NOP @ MEM","Jonas Valanciunas",2023-10-25 23:11:45,"mgm",0.4,150,-0.0662,-0.0552,-2.7579,0.3338,200
2023-10-25,"SAC @ UTA","Domantas Sabonis",2023-10-25 23:11:45,"mgm",0.2632,280,0.1129,0.0766,3.8289,0.376,166
2023-10-25,"DAL @ SAS","Dereck Lively II",2023-10-25 23:11:45,"mgm",0.2941,240,-0.08,-0.0567,-2.8336,0.2141,367
2023-10-25,"BOS @ NYK","Mitchell Robinson",2023-10-25 23:11:45,"mgm",0.4444,125,-0.0488,-0.0439,-2.1952,0.3957,153
2023-10-25,"CLE @ BKN","Nic Claxton",2023-10-25 23:11:45,"mgm",0.6226,-165,0.0098,0.013,0.65,0.6325,-172
2023-10-25,"MIN @ TOR","Jakob Poeltl",2023-10-25 23:11:45,"mgm",0.5,100,-0.0589,-0.0589,-2.9431,0.4411,127
2023-10-25,"NOP @ MEM","Jaren Jackson Jr.",2023-10-25 23:11:45,"mgm",0.6667,-200,-5e-04,-7e-04,-0.0357,0.6662,-200
2023-10-25,"SAC @ UTA","Walker Kessler",2023-10-25 23:11:45,"mgm",0.8,-400,-0.176,-0.44,-22.0013,0.624,-166
2023-10-25,"DAL @ SAS","Victor Wembanyama",2023-10-25 23:11:45,"mgm",0.7778,-350,0.0081,0.0183,0.9125,0.7859,-367
2023-10-25,"DET @ MIA","Jalen Duren",2023-10-25 23:11:45,"mgm",0.3077,225,0.0369,0.0266,1.3321,0.3446,190
2023-10-25,"OKC @ CHI","Chet Holmgren",2023-10-25 23:11:45,"mgm",0.8333,-500,-0.2249,-0.6748,-33.742,0.6084,-155
2023-10-25,"POR @ LAC","Deandre Ayton",2023-10-25 23:11:45,"mgm",0.8462,-550,-0.1238,-0.4024,-20.1197,0.7223,-260
2023-10-25,"OKC @ CHI","Nikola Vucevic",2023-10-25 23:42:39,"mgm",0.2439,310,0.1477,0.0977,4.884,0.3916,155
2023-10-25,"POR @ LAC","Ivica Zubac",2023-10-25 23:42:39,"mgm",0.2353,325,0.0424,0.0277,1.385,0.2777,260
2023-10-25,"NOP @ MEM","Jonas Valanciunas",2023-10-25 23:42:39,"mgm",0.4,150,-0.0662,-0.0552,-2.7579,0.3338,200
2023-10-25,"SAC @ UTA","Domantas Sabonis",2023-10-25 23:42:39,"mgm",0.2632,280,0.1129,0.0766,3.8289,0.376,166
2023-10-25,"DAL @ SAS","Dereck Lively II",2023-10-25 23:42:39,"mgm",0.2941,240,-0.08,-0.0567,-2.8336,0.2141,367
2023-10-25,"NOP @ MEM","Jaren Jackson Jr.",2023-10-25 23:42:39,"mgm",0.6667,-200,-5e-04,-7e-04,-0.0357,0.6662,-200
2023-10-25,"SAC @ UTA","Walker Kessler",2023-10-25 23:42:39,"mgm",0.8,-400,-0.176,-0.44,-22.0013,0.624,-166
2023-10-25,"DAL @ SAS","Victor Wembanyama",2023-10-25 23:42:39,"mgm",0.7778,-350,0.0081,0.0183,0.9125,0.7859,-367
2023-10-25,"OKC @ CHI","Chet Holmgren",2023-10-25 23:42:39,"mgm",0.8333,-500,-0.2249,-0.6748,-33.742,0.6084,-155
2023-10-25,"POR @ LAC","Deandre Ayton",2023-10-25 23:42:39,"mgm",0.8462,-550,-0.1238,-0.4024,-20.1197,0.7223,-260
2023-10-25,"OKC @ CHI","Nikola Vucevic",2023-10-26 00:06:46,"mgm",0.2439,310,0.1477,0.0977,4.884,0.3916,155
2023-10-25,"POR @ LAC","Ivica Zubac",2023-10-26 00:06:46,"mgm",0.2353,325,0.0424,0.0277,1.385,0.2777,260
2023-10-25,"NOP @ MEM","Jonas Valanciunas",2023-10-26 00:06:46,"mgm",0.4,150,-0.0662,-0.0552,-2.7579,0.3338,200
2023-10-25,"SAC @ UTA","Domantas Sabonis",2023-10-26 00:06:46,"mgm",0.2632,280,0.1129,0.0766,3.8289,0.376,166
2023-10-25,"DAL @ SAS","Dereck Lively II",2023-10-26 00:06:46,"mgm",0.2941,240,-0.08,-0.0567,-2.8336,0.2141,367
2023-10-25,"NOP @ MEM","Jaren Jackson Jr.",2023-10-26 00:06:46,"mgm",0.6667,-200,-5e-04,-7e-04,-0.0357,0.6662,-200
2023-10-25,"SAC @ UTA","Walker Kessler",2023-10-26 00:06:46,"mgm",0.8,-400,-0.176,-0.44,-22.0013,0.624,-166
2023-10-25,"DAL @ SAS","Victor Wembanyama",2023-10-26 00:06:46,"mgm",0.7778,-350,0.0081,0.0183,0.9125,0.7859,-367
2023-10-25,"OKC @ CHI","Chet Holmgren",2023-10-26 00:06:46,"mgm",0.8333,-500,-0.2249,-0.6748,-33.742,0.6084,-155
2023-10-25,"POR @ LAC","Deandre Ayton",2023-10-26 00:06:46,"mgm",0.8462,-550,-0.1238,-0.4024,-20.1197,0.7223,-260
2023-10-25,"POR @ LAC","Ivica Zubac",2023-10-26 00:42:37,"mgm",0.2353,325,0.0424,0.0277,1.385,0.2777,260
2023-10-25,"SAC @ UTA","Domantas Sabonis",2023-10-26 00:42:37,"mgm",0.2632,280,0.1129,0.0766,3.8289,0.376,166
2023-10-25,"DAL @ SAS","Dereck Lively II",2023-10-26 00:42:37,"mgm",0.2941,240,-0.08,-0.0567,-2.8336,0.2141,367
2023-10-25,"SAC @ UTA","Walker Kessler",2023-10-26 00:42:37,"mgm",0.8,-400,-0.176,-0.44,-22.0013,0.624,-166
2023-10-25,"DAL @ SAS","Victor Wembanyama",2023-10-26 00:42:37,"mgm",0.7778,-350,0.0081,0.0183,0.9125,0.7859,-367
2023-10-25,"POR @ LAC","Deandre Ayton",2023-10-26 00:42:37,"mgm",0.8462,-550,-0.1238,-0.4024,-20.1197,0.7223,-260
2023-10-25,"POR @ LAC","Ivica Zubac",2023-10-26 01:12:05,"mgm",0.2353,325,0.0424,0.0277,1.385,0.2777,260
2023-10-25,"DAL @ SAS","Dereck Lively II",2023-10-26 01:12:05,"mgm",0.2941,240,-0.08,-0.0567,-2.8336,0.2141,367
2023-10-25,"DAL @ SAS","Victor Wembanyama",2023-10-26 01:12:05,"mgm",0.7778,-350,0.0081,0.0183,0.9125,0.7859,-367
2023-10-25,"POR @ LAC","Deandre Ayton",2023-10-26 01:12:05,"mgm",0.8462,-550,-0.1238,-0.4024,-20.1197,0.7223,-260
2023-10-25,"POR @ LAC","Ivica Zubac",2023-10-26 01:40:39,"mgm",0.2353,325,0.0424,0.0277,1.385,0.2777,260
2023-10-25,"POR @ LAC","Deandre Ayton",2023-10-26 01:40:39,"mgm",0.8462,-550,-0.1238,-0.4024,-20.1197,0.7223,-260
2023-10-25,"POR @ LAC","Ivica Zubac",2023-10-26 02:08:27,"mgm",0.2353,325,0.0424,0.0277,1.385,0.2777,260
2023-10-25,"POR @ LAC","Deandre Ayton",2023-10-26 02:08:27,"mgm",0.8462,-550,-0.1238,-0.4024,-20.1197,0.7223,-260
2023-10-26,"PHI @ MIL","Brook Lopez",2023-10-26 17:32:00,"mgm",0.6078,-155,-0.061,-0.0778,-3.8885,0.5468,-121
2023-10-26,"PHI @ MIL","Joel Embiid",2023-10-26 17:32:00,"mgm",0.4651,115,-0.012,-0.0112,-0.5591,0.4532,121
2023-10-26,"PHI @ MIL","Brook Lopez",2023-10-26 18:03:57,"mgm",0.6078,-155,-0.061,-0.0778,-3.8885,0.5468,-121
2023-10-26,"PHX @ LAL","Anthony Davis",2023-10-26 18:03:57,"mgm",0.4444,125,-0.0949,-0.0854,-4.2703,0.3495,186
2023-10-26,"PHI @ MIL","Joel Embiid",2023-10-26 18:03:57,"mgm",0.4651,115,-0.012,-0.0112,-0.5591,0.4532,121
2023-10-26,"PHX @ LAL","Jusuf Nurkic",2023-10-26 18:03:57,"mgm",0.6226,-165,0.0278,0.0368,1.8424,0.6505,-186
2023-10-26,"PHI @ MIL","Brook Lopez",2023-10-26 18:30:30,"mgm",0.6078,-155,-0.061,-0.0778,-3.8885,0.5468,-121
2023-10-26,"PHX @ LAL","Anthony Davis",2023-10-26 18:30:30,"mgm",0.4444,125,-0.0949,-0.0854,-4.2703,0.3495,186
2023-10-26,"PHI @ MIL","Joel Embiid",2023-10-26 18:30:30,"mgm",0.4651,115,-0.012,-0.0112,-0.5591,0.4532,121
2023-10-26,"PHX @ LAL","Jusuf Nurkic",2023-10-26 18:30:30,"mgm",0.6226,-165,0.0278,0.0368,1.8424,0.6505,-186
2023-10-26,"PHI @ MIL","Brook Lopez",2023-10-26 19:02:04,"mgm",0.6078,-155,-0.061,-0.0778,-3.8885,0.5468,-121
2023-10-26,"PHX @ LAL","Anthony Davis",2023-10-26 19:02:04,"mgm",0.4444,125,-0.0949,-0.0854,-4.2703,0.3495,186
2023-10-26,"PHI @ MIL","Joel Embiid",2023-10-26 19:02:04,"mgm",0.4651,115,-0.012,-0.0112,-0.5591,0.4532,121
2023-10-26,"PHX @ LAL","Jusuf Nurkic",2023-10-26 19:02:04,"mgm",0.6226,-165,0.0278,0.0368,1.8424,0.6505,-186
2023-10-26,"PHI @ MIL","Brook Lopez",2023-10-26 19:32:43,"mgm",0.6078,-155,-0.061,-0.0778,-3.8885,0.5468,-121
2023-10-26,"PHX @ LAL","Anthony Davis",2023-10-26 19:32:43,"mgm",0.4444,125,-0.0949,-0.0854,-4.2703,0.3495,186
2023-10-26,"PHI @ MIL","Joel Embiid",2023-10-26 19:32:43,"mgm",0.4651,115,-0.012,-0.0112,-0.5591,0.4532,121
2023-10-26,"PHX @ LAL","Jusuf Nurkic",2023-10-26 19:32:43,"mgm",0.6226,-165,0.0278,0.0368,1.8424,0.6505,-186
2023-10-26,"PHI @ MIL","Brook Lopez",2023-10-26 20:02:01,"mgm",0.6078,-155,-0.061,-0.0778,-3.8885,0.5468,-121
2023-10-26,"PHX @ LAL","Anthony Davis",2023-10-26 20:02:01,"mgm",0.4444,125,-0.0949,-0.0854,-4.2703,0.3495,186
2023-10-26,"PHI @ MIL","Joel Embiid",2023-10-26 20:02:01,"mgm",0.4651,115,-0.012,-0.0112,-0.5591,0.4532,121
2023-10-26,"PHX @ LAL","Jusuf Nurkic",2023-10-26 20:02:01,"mgm",0.6226,-165,0.0278,0.0368,1.8424,0.6505,-186
2023-10-26,"PHI @ MIL","Brook Lopez",2023-10-26 21:33:17,"mgm",0.6078,-155,-0.061,-0.0778,-3.8885,0.5468,-121
2023-10-26,"PHX @ LAL","Anthony Davis",2023-10-26 21:33:17,"mgm",0.4444,125,-0.0949,-0.0854,-4.2703,0.3495,186
2023-10-26,"PHI @ MIL","Joel Embiid",2023-10-26 21:33:17,"mgm",0.4651,115,-0.012,-0.0112,-0.5591,0.4532,121
2023-10-26,"PHX @ LAL","Jusuf Nurkic",2023-10-26 21:33:17,"mgm",0.6226,-165,0.0278,0.0368,1.8424,0.6505,-186
2023-10-26,"PHI @ MIL","Brook Lopez",2023-10-26 22:06:55,"mgm",0.6078,-155,-0.061,-0.0778,-3.8885,0.5468,-121
2023-10-26,"PHX @ LAL","Anthony Davis",2023-10-26 22:06:55,"mgm",0.4444,125,-0.0949,-0.0854,-4.2703,0.3495,186
2023-10-26,"PHI @ MIL","Joel Embiid",2023-10-26 22:06:55,"mgm",0.4651,115,-0.012,-0.0112,-0.5591,0.4532,121
2023-10-26,"PHX @ LAL","Jusuf Nurkic",2023-10-26 22:06:55,"mgm",0.6226,-165,0.0278,0.0368,1.8424,0.6505,-186
2023-10-26,"PHI @ MIL","Brook Lopez",2023-10-26 22:35:21,"mgm",0.6078,-155,-0.061,-0.0778,-3.8885,0.5468,-121
2023-10-26,"PHX @ LAL","Anthony Davis",2023-10-26 22:35:21,"mgm",0.4444,125,-0.0949,-0.0854,-4.2703,0.3495,186
2023-10-26,"PHI @ MIL","Joel Embiid",2023-10-26 22:35:21,"mgm",0.4651,115,-0.012,-0.0112,-0.5591,0.4532,121
2023-10-26,"PHX @ LAL","Jusuf Nurkic",2023-10-26 22:35:21,"mgm",0.6226,-165,0.0278,0.0368,1.8424,0.6505,-186
2023-10-26,"PHI @ MIL","Brook Lopez",2023-10-26 23:04:13,"mgm",0.6078,-155,-0.061,-0.0778,-3.8885,0.5468,-121
2023-10-26,"PHX @ LAL","Anthony Davis",2023-10-26 23:04:13,"mgm",0.4444,125,-0.0949,-0.0854,-4.2703,0.3495,186
2023-10-26,"PHI @ MIL","Joel Embiid",2023-10-26 23:04:13,"mgm",0.4651,115,-0.012,-0.0112,-0.5591,0.4532,121
2023-10-26,"PHX @ LAL","Jusuf Nurkic",2023-10-26 23:04:13,"mgm",0.6226,-165,0.0278,0.0368,1.8424,0.6505,-186
2023-10-26,"PHX @ LAL","Anthony Davis",2023-10-26 23:35:09,"mgm",0.4444,125,-0.0949,-0.0854,-4.2703,0.3495,186
2023-10-26,"PHX @ LAL","Jusuf Nurkic",2023-10-26 23:35:09,"mgm",0.6226,-165,0.0278,0.0368,1.8424,0.6505,-186
2023-10-26,"PHX @ LAL","Anthony Davis",2023-10-27 00:04:54,"mgm",0.4444,125,-0.0949,-0.0854,-4.2703,0.3495,186
