TEAM_ABBREVIATION,HOME_AWAY,MATCHUP,LINEUP_DESC,TO_PLAY_DESC,PLAYER_NAME,NAME_SHORT,STARTING_POSITION,CREATE_DTTM
MIL,is-visit,MILORL,is-expected,Toss Up To Play,Damian Lillard,D. Lillard,PG,2023-11-11 12:18:02.378501
MIL,is-visit,MILORL,is-expected,Very Likely To Play,Malik Beasley,Malik Beasley,SG,2023-11-11 12:18:02.378501
MIL,is-visit,MILORL,is-expected,Very Likely To Play,Khris Middleton,K. Middleton,SF,2023-11-11 12:18:02.378501
MIL,is-visit,MILORL,is-expected,Very Likely To Play,Giannis Antetokounmpo,G. Antetokounmpo,PF,2023-11-11 12:18:02.378501
MIL,is-visit,MILORL,is-expected,Very Likely To Play,Brook Lopez,Brook Lopez,C,2023-11-11 12:18:02.378501
MIL,is-visit,MILORL,,Toss Up To Play,Damian Lillard,D. Lillard,G,2023-11-11 12:18:02.378501
ORL,is-home,MILORL,is-expected,Very Likely To Play,Markelle Fultz,M. Fultz,PG,2023-11-11 12:18:02.378501
ORL,is-home,MILORL,is-expected,Very Likely To Play,Jalen Suggs,Jalen Suggs,SG,2023-11-11 12:18:02.378501
ORL,is-home,MILORL,is-expected,Very Likely To Play,Franz Wagner,Franz Wagner,SF,2023-11-11 12:18:02.378501
ORL,is-home,MILORL,is-expected,Very Likely To Play,Paolo Banchero,P. Banchero,PF,2023-11-11 12:18:02.378501
ORL,is-home,MILORL,is-expected,Very Likely To Play,Goga Bitadze,Goga Bitadze,C,2023-11-11 12:18:02.378501
ORL,is-home,MILORL,,Very Unlikely To Play,Wendell Carter Jr.,W. Carter,C,2023-11-11 12:18:02.378501
ORL,is-home,MILORL,,Very Unlikely To Play,Gary Harris,G. Harris,G,2023-11-11 12:18:02.378501
TOR,is-visit,TORBOS,is-expected,Very Likely To Play,Dennis Schroder,D. Schroder,PG,2023-11-11 12:18:02.378501
TOR,is-visit,TORBOS,is-expected,Very Likely To Play,O.G. Anunoby,O.G. Anunoby,SG,2023-11-11 12:18:02.378501
TOR,is-visit,TORBOS,is-expected,Very Likely To Play,Scottie Barnes,S. Barnes,SF,2023-11-11 12:18:02.378501
TOR,is-visit,TORBOS,is-expected,Very Likely To Play,Pascal Siakam,Pascal Siakam,PF,2023-11-11 12:18:02.378501
TOR,is-visit,TORBOS,is-expected,Very Likely To Play,Jakob Poeltl,Jakob Poeltl,C,2023-11-11 12:18:02.378501
TOR,is-visit,TORBOS,,Toss Up To Play,Precious Achiuwa,P. Achiuwa,C,2023-11-11 12:18:02.378501
TOR,is-visit,TORBOS,,Unlikely To Play,Gary Trent Jr.,Gary Trent,G,2023-11-11 12:18:02.378501
TOR,is-visit,TORBOS,,Very Unlikely To Play,Christian Koloko,C. Koloko,C,2023-11-11 12:18:02.378501
BOS,is-home,TORBOS,is-expected,Very Likely To Play,Jrue Holiday,Jrue Holiday,PG,2023-11-11 12:18:02.378501
BOS,is-home,TORBOS,is-expected,Very Likely To Play,Derrick White,Derrick White,SG,2023-11-11 12:18:02.378501
BOS,is-home,TORBOS,is-expected,Very Likely To Play,Jaylen Brown,Jaylen Brown,SF,2023-11-11 12:18:02.378501
BOS,is-home,TORBOS,is-expected,Very Likely To Play,Jayson Tatum,Jayson Tatum,PF,2023-11-11 12:18:02.378501
