PERSON_ID,FIRST_NAME,LAST_NAME,DISPLAY_FIRST_LAST,DISPLAY_LAST_COMMA_FIRST,DISPLAY_FI_LAST,PLAYER_SLUG,BIRTHDATE,SCHOOL,COUNTRY,LAST_AFFILIATION,HEIGHT,WEIGHT,SEASON_EXP,JERSEY,POSITION,ROSTERSTATUS,GAMES_PLAYED_CURRENT_SEASON_FLAG,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CODE,TEAM_CITY,PLAYERCODE,FROM_YEAR,TO_YEAR,DLEAGUE_FLAG,NBA_FLAG,GAMES_PLAYED_FLAG,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,GREATEST_75_FLAG
255,Grant,Hill,Grant Hill,"Hill, Grant",G. Hill,grant-hill,1972-10-05T00:00:00,Duke,USA,Duke/USA,6-8,225.0,18,33.0,Forward,Inactive,N,1610612765,Pistons,DET,pistons,Detroit,grant_hill,1994.0,2012.0,N,Y,Y,1994,1,3,N
436,Juwan,Howard,Juwan Howard,"Howard, Juwan",J. Howard,juwan-howard,1973-02-07T00:00:00,Michigan,USA,Michigan/USA,6-9,250.0,20,5.0,Forward,Inactive,N,1610612764,Wizards,WAS,wizards,Washington,juwan_howard,1994.0,2012.0,N,Y,Y,1994,1,5,N
467,Jason,Kidd,Jason Kidd,"Kidd, Jason",J. Kidd,jason-kidd,1973-03-23T00:00:00,California,USA,California/USA,6-4,210.0,19,5.0,Guard,Inactive,N,1610612751,Nets,NJN,nets,New Jersey,jason_kidd,1994.0,2012.0,N,Y,Y,1994,1,2,Y
703,Kurt,Thomas,Kurt Thomas,"Thomas, Kurt",K. Thomas,kurt-thomas,1972-10-04T00:00:00,TCU,USA,TCU/USA,6-9,240.0,18,,Forward,Inactive,N,0,,,,,kurt_thomas,1995.0,2012.0,N,Y,Y,1995,1,10,N
708,Kevin,Garnett,Kevin Garnett,"Garnett, Kevin",K. Garnett,kevin-garnett,1976-05-19T00:00:00,Farragut Academy HS (IL),USA,Farragut Academy HS (IL)/USA,6-11,240.0,22,21.0,Forward,Inactive,N,1610612750,Timberwolves,MIN,timberwolves,Minnesota,kevin_garnett,1995.0,2015.0,N,Y,Y,1995,1,5,Y
711,Jerry,Stackhouse,Jerry Stackhouse,"Stackhouse, Jerry",J. Stackhouse,jerry-stackhouse,1974-11-05T00:00:00,North Carolina,USA,North Carolina/USA,6-6,218.0,19,42.0,Forward,Inactive,N,1610612765,Pistons,DET,pistons,Detroit,jerry_stackhouse,1995.0,2012.0,N,Y,Y,1995,1,3,N
739,Rasheed,Wallace,Rasheed Wallace,"Wallace, Rasheed",R. Wallace,rasheed-wallace,1974-09-17T00:00:00,North Carolina,USA,North Carolina/USA,6-11,230.0,16,,Forward-Center,Inactive,N,0,,,,,rasheed_wallace,1995.0,2012.0,N,Y,Y,1995,1,4,N
948,Marcus,Camby,Marcus Camby,"Camby, Marcus",M. Camby,marcus-camby,1974-03-22T00:00:00,Massachusetts,USA,Massachusetts/USA,6-11,240.0,18,23.0,Center-Forward,Inactive,N,1610612743,Nuggets,DEN,nuggets,Denver,marcus_camby,1996.0,2012.0,N,Y,Y,1996,1,2,N
951,Ray,Allen,Ray Allen,"Allen, Ray",R. Allen,ray-allen,1975-07-20T00:00:00,Connecticut,USA,Connecticut/USA,6-5,205.0,18,34.0,Guard,Inactive,N,1610612749,Bucks,MIL,bucks,Milwaukee,ray_allen,1996.0,2013.0,N,Y,Y,1996,1,5,Y
959,Steve,Nash,Steve Nash,"Nash, Steve",S. Nash,steve-nash,1974-02-07T00:00:00,Santa Clara,Canada,Santa Clara/Canada,6-3,178.0,19,10.0,Guard,Inactive,N,1610612756,Suns,PHX,suns,Phoenix,steve_nash,1996.0,2013.0,N,Y,Y,1996,1,15,Y
965,Derek,Fisher,Derek Fisher,"Fisher, Derek",D. Fisher,derek-fisher,1974-08-09T00:00:00,Arkansas-Little Rock,USA,Arkansas-Little Rock/USA,6-1,210.0,18,6.0,Guard,Inactive,N,1610612747,Lakers,LAL,lakers,Los Angeles,derek_fisher,1996.0,2013.0,N,Y,Y,1996,1,24,N
977,Kobe,Bryant,Kobe Bryant,"Bryant, Kobe",K. Bryant,kobe-bryant,1978-08-23T00:00:00,Lower Merion HS (PA)/USA,USA,Lower Merion HS (PA)/USA,6-6,212.0,20,24.0,Forward-Guard,Inactive,N,1610612747,Lakers,LAL,lakers,Los Angeles,kobe_bryant,1996.0,2015.0,N,Y,Y,1996,1,13,Y
979,Jermaine,O'Neal,Jermaine O'Neal,"O'Neal, Jermaine",J. O'Neal,jermaine-oneal,1978-10-13T00:00:00,Eau Claire HS (SC),USA,Eau Claire HS (SC)/USA,6-11,255.0,18,7.0,Center-Forward,Inactive,N,1610612754,Pacers,IND,pacers,Indiana,jermaine_o'neal,1996.0,2013.0,N,Y,Y,1996,1,17,N
1495,Tim,Duncan,Tim Duncan,"Duncan, Tim",T. Duncan,tim-duncan,1976-04-25T00:00:00,Wake Forest,US Virgin Islands,Wake Forest/US Virgin Islands,6-11,250.0,20,21.0,Center-Forward,Inactive,N,1610612759,Spurs,SAS,spurs,San Antonio,tim_duncan,1997.0,2015.0,N,Y,Y,1997,1,1,Y
1497,Chauncey,Billups,Chauncey Billups,"Billups, Chauncey",C. Billups,chauncey-billups,1976-09-25T00:00:00,Colorado,USA,Colorado/USA,6-3,210.0,17,1.0,Guard,Inactive,N,1610612765,Pistons,DET,pistons,Detroit,chauncey_billups,1997.0,2013.0,N,Y,Y,1997,1,3,N
1503,Tracy,McGrady,Tracy McGrady,"McGrady, Tracy",T. McGrady,tracy-mcgrady,1979-05-24T00:00:00,Mount Zion Christian Academy (NC),USA,Mount Zion Christian Academy (NC)/USA,6-8,225.0,17,1.0,Guard-Forward,Inactive,N,1610612745,Rockets,HOU,rockets,Houston,tracy_mcgrady,1997.0,2012.0,N,Y,Y,1997,1,9,N
1536,Stephen,Jackson,Stephen Jackson,"Jackson, Stephen",S. Jackson,stephen-jackson,1978-04-05T00:00:00,Butler C.C. (KS),USA,Butler C.C. (KS)/USA,6-8,220.0,14,,Guard-Forward,Inactive,N,0,,,,,stephen_jackson,2000.0,2013.0,N,Y,Y,1997,2,42,N
1712,Antawn,Jamison,Antawn Jamison,"Jamison, Antawn",A. Jamison,antawn-jamison,1976-06-12T00:00:00,North Carolina,USA,North Carolina/USA,6-9,235.0,16,,Forward,Inactive,N,0,,,,,antawn_jamison,1998.0,2013.0,N,Y,Y,1998,1,4,N
1713,Vince,Carter,Vince Carter,"Carter, Vince",V. Carter,vince-carter,1977-01-26T00:00:00,North Carolina,USA,North Carolina/USA,6-6,220.0,23,15.0,Guard-Forward,Inactive,N,1610612737,Hawks,ATL,hawks,Atlanta,vince_carter,1998.0,2019.0,N,Y,Y,1998,1,5,N
1717,Dirk,Nowitzki,Dirk Nowitzki,"Nowitzki, Dirk",D. Nowitzki,dirk-nowitzki,1978-06-19T00:00:00,                                   ,Germany,DJK Wurzburg/Germany,7-0,245.0,22,41.0,Forward,Inactive,N,1610612742,Mavericks,DAL,mavericks,Dallas,dirk_nowitzki,1998.0,2018.0,N,Y,Y,1998,1,9,Y
1718,Paul,Pierce,Paul Pierce,"Pierce, Paul",P. Pierce,paul-pierce,1977-10-13T00:00:00,Kansas,USA,Kansas/USA,6-7,235.0,20,34.0,Forward,Inactive,N,1610612738,Celtics,BOS,celtics,Boston,paul_pierce,1998.0,2016.0,N,Y,Y,1998,1,10,Y
1733,Al,Harrington,Al Harrington,"Harrington, Al",A. Harrington,al-harrington,1980-02-17T00:00:00,St. Patrick HS (NJ),USA,St. Patrick HS (NJ)/USA,6-9,245.0,16,7.0,Forward,Inactive,N,1610612754,Pacers,IND,pacers,Indiana,al_harrington,1998.0,2013.0,N,Y,Y,1998,1,25,N
1737,Nazr,Mohammed,Nazr Mohammed,"Mohammed, Nazr",N. Mohammed,nazr-mohammed,1977-09-05T00:00:00,Kentucky,USA,Kentucky/USA,6-10,250.0,19,13.0,Center,Inactive,N,1610612766,Bobcats,CHA,hornets,Charlotte,nazr_mohammed,1998.0,2015.0,N,Y,Y,1998,1,29,N
1740,Rashard,Lewis,Rashard Lewis,"Lewis, Rashard",R. Lewis,rashard-lewis,1979-08-08T00:00:00,Elsik HS (TX),USA,Elsik HS (TX)/USA,6-10,235.0,16,9.0,Forward,Inactive,N,1610612760,SuperSonics,SEA,thunder,Seattle,rashard_lewis,1998.0,2013.0,N,Y,Y,1998,2,32,N
1853,Anthony,Carter,Anthony Carter,"Carter, Anthony",A. Carter,anthony-carter,1975-06-16T00:00:00,Hawaii,USA,Hawaii/USA,6-1,190.0,14,,Guard,Inactive,N,0,,,,,anthony_carter,1999.0,2011.0,N,Y,Y,Undrafted,Undrafted,Undrafted,N
1882,Elton,Brand,Elton Brand,"Brand, Elton",E. Brand,elton-brand,1979-03-11T00:00:00,Duke,USA,Duke/USA,6-9,254.0,18,42.0,Forward,Inactive,N,1610612746,Clippers,LAC,clippers,Los Angeles,elton_brand,1999.0,2015.0,N,Y,Y,1999,1,1,N
