TEAM_ID,SEASON_YEAR,TEAM_CITY,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CONFERENCE,TEAM_DIVISION,TEAM_CODE,TEAM_SLUG,W,L,PCT,CONF_RANK,DIV_RANK,MIN_YEAR,MAX_YEAR,TEAM_FULL_NAME
1610612737,2022-23,Atlanta,Hawks,ATL,East,Southeast,hawks,hawks,0,0,0.0,,0,1949,2022,Atlanta Hawks
1610612742,2022-23,Dallas,Mavericks,DAL,West,Southwest,mavericks,mavericks,0,0,0.0,,0,1980,2022,Dallas Mavericks
1610612756,2022-23,Phoenix,Suns,PHX,West,Pacific,suns,suns,0,0,0.0,,0,1968,2022,Phoenix Suns
1610612757,2022-23,Portland,Trail Blazers,POR,West,Northwest,blazers,blazers,0,0,0.0,,0,1970,2022,Portland Trail Blazers
1610612743,2022-23,Denver,Nuggets,DEN,West,Northwest,nuggets,nuggets,0,0,0.0,,0,1976,2022,Denver Nuggets
1610612755,2022-23,Philadelphia,76ers,PHI,East,Atlantic,sixers,sixers,0,0,0.0,,0,1949,2022,Philadelphia 76ers
1610612741,2022-23,Chicago,Bulls,CHI,East,Central,bulls,bulls,0,0,0.0,,0,1966,2022,Chicago Bulls
1610612740,2022-23,New Orleans,Pelicans,NOP,West,Southwest,pelicans,pelicans,0,0,0.0,,0,2002,2022,New Orleans Pelicans
1610612754,2022-23,Indiana,Pacers,IND,East,Central,pacers,pacers,0,0,0.0,,0,1976,2022,Indiana Pacers
1610612750,2022-23,Minnesota,Timberwolves,MIN,West,Northwest,timberwolves,timberwolves,0,0,0.0,,0,1989,2022,Minnesota Timberwolves
1610612744,2022-23,Golden State,Warriors,GSW,West,Pacific,warriors,warriors,0,0,0.0,,0,1946,2022,Golden State Warriors
1610612745,2022-23,Houston,Rockets,HOU,West,Southwest,rockets,rockets,0,0,0.0,,0,1967,2022,Houston Rockets
1610612751,2022-23,Brooklyn,Nets,BKN,East,Atlantic,nets,nets,0,0,0.0,,0,1976,2022,Brooklyn Nets
1610612747,2022-23,Los Angeles,Lakers,LAL,West,Pacific,lakers,lakers,0,0,0.0,,0,1948,2022,Los Angeles Lakers
1610612753,2022-23,Orlando,Magic,ORL,East,Southeast,magic,magic,0,0,0.0,,0,1989,2022,Orlando Magic
1610612752,2022-23,New York,Knicks,NYK,East,Atlantic,knicks,knicks,0,0,0.0,,0,1946,2022,New York Knicks
1610612746,2022-23,LA,Clippers,LAC,West,Pacific,clippers,clippers,0,0,0.0,,0,1970,2022,LA Clippers
1610612763,2022-23,Memphis,Grizzlies,MEM,West,Southwest,grizzlies,grizzlies,0,0,0.0,,0,1995,2022,Memphis Grizzlies
1610612762,2022-23,Utah,Jazz,UTA,West,Northwest,jazz,jazz,0,0,0.0,,0,1974,2022,Utah Jazz
1610612748,2022-23,Miami,Heat,MIA,East,Southeast,heat,heat,0,0,0.0,,0,1988,2022,Miami Heat
1610612760,2022-23,Oklahoma City,Thunder,OKC,West,Northwest,thunder,thunder,0,0,0.0,,0,1967,2022,Oklahoma City Thunder
1610612761,2022-23,Toronto,Raptors,TOR,East,Atlantic,raptors,raptors,0,0,0.0,,0,1995,2022,Toronto Raptors
1610612749,2022-23,Milwaukee,Bucks,MIL,East,Central,bucks,bucks,0,0,0.0,,0,1968,2022,Milwaukee Bucks
1610612765,2022-23,Detroit,Pistons,DET,East,Central,pistons,pistons,0,0,0.0,,0,1948,2022,Detroit Pistons
1610612759,2022-23,San Antonio,Spurs,SAS,West,Southwest,spurs,spurs,0,0,0.0,,0,1976,2022,San Antonio Spurs
1610612758,2022-23,Sacramento,Kings,SAC,West,Pacific,kings,kings,0,0,0.0,,0,1948,2022,Sacramento Kings
1610612764,2022-23,Washington,Wizards,WAS,East,Southeast,wizards,wizards,0,0,0.0,,0,1961,2022,Washington Wizards
1610612766,2022-23,Charlotte,Hornets,CHA,East,Southeast,hornets,hornets,0,0,0.0,,0,1988,2022,Charlotte Hornets
1610612739,2022-23,Cleveland,Cavaliers,CLE,East,Central,cavaliers,cavaliers,0,0,0.0,,0,1970,2022,Cleveland Cavaliers
1610612738,2022-23,Boston,Celtics,BOS,East,Atlantic,celtics,celtics,0,0,0.0,,0,1946,2022,Boston Celtics
