"","player_name","player_team","player_status"
"1","Michal Menet","ARI","Active"
"2","Marcus Henry","ARI","Active"
"3","Rodney Hudson","ARI","Active"
"4","Byron Murphy","ARI","Active"
"5","Antonio Hamilton","ARI","Active"
"6","Malcolm Butler","ARI","Inactive"
"7","Picasso Nelson","ARI","Active"
"8","Jace Whittaker","ARI","Active"
"9","Daryl Worley","ARI","Active"
"10","Darqueze Dennard","ARI","Inactive"
"11","Marco Wilson","ARI","Active"
"12","Rasul Douglas","ARI","Active"
"13","Luq Barcoo","ARI","Active"
"14","Robert Alford","ARI","Active"
"15","Tae Hayes","ARI","Active"
"16","Tay Gowan","ARI","Active"
"17","James Wiggins","ARI","Active"
"18","Jalen Thompson","ARI","Active"
"19","Charles Washington","ARI","Active"
"20","Shawn Williams","ARI","Active"
"21","Deionte Thompson","ARI","Active"
"22","Chris Banjo","ARI","Active"
"23","Victor Dimukeje","ARI","Active"
"24","Ron'Dell Carter","ARI","Active"
"25","Moubarak Djeri","ARI","Active"
"26","Zach Allen","ARI","Active"
"27","Jordan Phillips","ARI","Inactive"
"28","Margus Hunt","ARI","Active"
"29","J.J. Watt","ARI","Active"
"30","Ryan Bee","ARI","Active"
"31","Michael Dogbe","ARI","Active"
"32","Josh Mauro","ARI","Active"
"33","Corey Peters","ARI","Active"
"34","David Parry","ARI","Active"
"35","Leki Fotu","ARI","Active"
"36","Jeremiah Ledbetter","ARI","Active"
"37","Xavier Williams","ARI","Inactive"
"38","Rashard Lawrence","ARI","Active"
"39","Jack Crawford","ARI","Inactive"
"40","Darius Kilgo","ARI","Active"
"41","Austin Ramesh","ARI","Active"
"42","Kentrell Brice","ARI","Active"
"43","T.J. Ward","ARI","Active"
"44","Matt Prater","ARI","Active"
"45","Dennis Gardeck","ARI","Active"
"46","Devon Kennard","ARI","Active"
"47","Stephone Anthony","ARI","Active"
"48","Ezekiel Turner","ARI","Active"
"49","Kylie Fitts","ARI","Active"
"50","Jordan Hicks","ARI","Active"
"51","Donald Rutledge","ARI","Active"
"52","Tanner Vallejo","ARI","Active"
"53","Markus Golden","ARI","Active"
"54","Jamell Garcia-Williams","ARI","Inactive"
"55","Reggie Walker","ARI","Active"
"56","Chandler Jones","ARI","Active"
"57","Reggie Walker","ARI","Active"
"58","Zaven Collins","ARI","Active"
"59","Bryson Young","ARI","Active"
"60","Terrance Smith","ARI","Active"
"61","Evan Weaver","ARI","Active"
"62","Isaiah Simmons","ARI","Active"
"63","Drew Williams","ARI","Active"
"64","Aaron Brewer","ARI","Active"
"65","Justin Pugh","ARI","Active"
"66","Max Garcia","ARI","Active"
"67","Cam Murray","ARI","Active"
"68","Josh Jones","ARI","Active"
"69","Branden Bowen","ARI","Active"
"70","Deion Calhoun","ARI","Active"
"71","Austin Olsen","ARI","Active"
"72","Sean Harlow","ARI","Active"
"73","Brian Winters","ARI","Active"
"74","Koda Martin","ARI","Active"
"75","Kelvin Beachum","ARI","Active"
"76","Joshua Miles","ARI","Active"
"77","Justin Murray","ARI","Active"
"78","Marcus Gilbert","ARI","Active"
"79","D.J. Humphries","ARI","Active"
"80","Ryan Winslow","ARI","Active"
"81","Richie Leone","ARI","Active"
"82","Tyler Newsome","ARI","Active"
"83","Andy Lee","ARI","Active"
"84","Colt McCoy","ARI","Active"
"85","Cole McDonald","ARI","Active"
"86","Kyler Murray","ARI","Active"
"87","Chris Streveler","ARI","Active"
"88","Chase Edmonds","ARI","Active"
"89","Khalfani Muhammad","ARI","Active"
"90","Eno Benjamin","ARI","Active"
"91","James Conner","ARI","Active"
"92","Tavien Feaster","ARI","Active"
"93","Jonathan Ward","ARI","Active"
"94","Josh Shaw","ARI","Inactive"
"95","Budda Baker","ARI","Active"
"96","Ross Travis","ARI","Active"
"97","Darrell Daniels","ARI","Active"
"98","Justin Johnson","ARI","Active"
"99","Bernhard Seikovits","ARI","Active"
"100","Jerome Washington","ARI","Active"
"101","Maxx Williams","ARI","Active"
"102","Bruno Labelle","ARI","Active"
"103","Demetrius Harris","ARI","Active"
"104","A.J. Green","ARI","Active"
"105","Greg Dortch","ARI","Active"
"106","Antoine Wesley","ARI","Active"
"107","Isaac Whitney","ARI","Active"
"108","Andre Baccellia","ARI","Active"
"109","Rondale Moore","ARI","Active"
"110","Josh Doctson","ARI","Active"
"111","Jaron Brown","ARI","Active"
"112","Andy Isabella","ARI","Active"
"113","DeAndre Hopkins","ARI","Active"
"114","A.J. Richardson","ARI","Active"
"115","Aleva Hifo","ARI","Active"
"116","Christian Kirk","ARI","Active"
"117","Ryan Langford","ARI","Active"
"118","Drew Dalman","ATL","Active"
"119","Josh Andrews","ATL","Inactive"
"120","Cam Keizur","ATL","Active"
"121","Matt Hennessy","ATL","Active"
"122","Darren Hall","ATL","Active"
"123","Fabian Moreau","ATL","Active"
"124","Chris Williamson","ATL","Active"
"125","Taylor Reynolds","ATL","Active"
"126","Avery Williams","ATL","Active"
"127","Heath Harding","ATL","Active"
"128","A.J. Terrell","ATL","Active"
"129","Isaiah Oliver","ATL","Active"
"130","Dwayne Johnson","ATL","Active"
"131","JR Pace","ATL","Active"
"132","Delrick Abrams","ATL","Active"
"133","T.J. Green","ATL","Active"
