"season","season_type","game_date","game_id","matchup","team_abbrev","team_id","opp_team_abbrev","possession","won_tip","score_first","score_first_2Q","score_first_3Q","score_first_4Q","win_tip_prob_xtip","home_team","spread","score_first_prob_glmnet","score_first_prob_earth","model","score_first_prob_glmnet_2Q","score_first_prob_earth_2Q","score_first_prob_glmnet_3Q","score_first_prob_earth_3Q","score_first_prob_glmnet_4Q","score_first_prob_earth_4Q"
"2019-20","Pre Season",2019-10-04,"11900003","SAC vs. IND","SAC","1610612758","IND","SAC",TRUE,TRUE,TRUE,FALSE,FALSE,0.652952656214814,TRUE,-5,0.541052605833393,0.580417428553969,"all",0.467771832879051,0.446638699583255,0.481105476768386,0.46757248766797,0.545078370505392,0.554378628273225
"2019-20","Pre Season",2019-10-04,"11900003","SAC vs. IND","IND","1610612754","SAC","SAC",FALSE,FALSE,FALSE,TRUE,TRUE,0.347047343785186,FALSE,5,0.458947394166607,0.415317905280125,"all",0.532228167120949,0.557105085621246,0.518894523231614,0.550864257716267,0.454921629494608,0.445488855154302
"2019-20","Pre Season",2019-10-05,"11900006","LAL @ GSW","GSW","1610612744","LAL","LAL",FALSE,FALSE,TRUE,FALSE,FALSE,0.286186625600997,TRUE,4.5,0.443054071700287,0.396377560482465,"all",0.538836986928764,0.56959663820661,0.53009533554004,0.573637438307135,0.423665637274198,0.37187380018862
"2019-20","Pre Season",2019-10-05,"11900007","SAS vs. ORL","SAS","1610612759","ORL","SAS",TRUE,TRUE,FALSE,TRUE,FALSE,0.568392287857721,TRUE,-6.5,0.529051402470432,0.5586402208405,"all",0.487554745684969,0.477218050660819,0.495380605123509,0.491967645568084,0.522875550934455,0.52587899589371
"2019-20","Pre Season",2019-10-05,"11900006","LAL @ GSW","LAL","1610612747","GSW","LAL",TRUE,TRUE,FALSE,TRUE,TRUE,0.713813374399002,FALSE,-4.5,0.556945928299713,0.599409326391132,"all",0.461163013071236,0.42527922682599,0.469904664459961,0.449774002858338,0.576334362725801,0.628002117499316
"2019-20","Pre Season",2019-10-05,"11900007","SAS vs. ORL","ORL","1610612753","SAS","SAS",FALSE,FALSE,TRUE,FALSE,TRUE,0.431607712142279,FALSE,6.5,0.470948597529568,0.437030510649433,"all",0.512445254315031,0.5265469547582,0.504619394876491,0.510918171306827,0.477124449065545,0.473988567854968
"2019-20","Pre Season",2019-10-06,"11900010","CHA @ BOS","BOS","1610612738","CHA","BOS",TRUE,TRUE,FALSE,FALSE,FALSE,0.50415390322239,TRUE,-5.5,0.512735570810945,0.530103228155197,"all",0.499239330577296,0.496594331571514,0.507556342424484,0.510706270561514,0.501049881209445,0.49574970637157
"2019-20","Pre Season",2019-10-06,"11900010","CHA @ BOS","CHA","1610612766","BOS","BOS",FALSE,FALSE,TRUE,TRUE,TRUE,0.49584609677761,FALSE,5.5,0.487264429189055,0.465494283680234,"all",0.500760669422704,0.499612116307239,0.492443657575516,0.502640433645454,0.498950118790555,0.504116128264439
"2019-20","Pre Season",2019-10-07,"11900013","DET vs. ORL","DET","1610612765","ORL","DET",TRUE,TRUE,FALSE,FALSE,TRUE,0.78865541699019,TRUE,2,0.56576502171176,0.591174953282953,"all",0.45196582436902,0.398460019994853,0.447893169432653,0.429047910779737,0.585058107716141,0.580591575207976
"2019-20","Pre Season",2019-10-07,"11900014","NYK @ WAS","WAS","1610612764","NYK","WAS",TRUE,FALSE,FALSE,TRUE,FALSE,0.604939629481727,TRUE,2,0.520663419569967,0.524924691433366,"all",0.482490491360045,0.463836006227934,0.479380385781468,0.481603405062986,0.528562175039828,0.506998467767918
