game_id,Date,Sport,bet_type,period,away_Team,home_Team,away_1Q,away_2Q,away_3Q,away_4Q,home_1Q,home_2Q,home_3Q,home_4Q,away_score,home_score,away_line,home_line
CHA_SAS,20221019,nba,Spread,full,CHA,SAS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.333333333,0.333333333
CHI_MIA,20221019,nba,Spread,full,CHI,MIA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,-7.5
CLE_TOR,20221019,nba,Spread,full,CLE,TOR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,-3
DAL_PHX,20221019,nba,Spread,full,DAL,PHX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,-4
DEN_UTA,20221019,nba,Spread,full,DEN,UTA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.666666667,6.666666667
HOU_ATL,20221019,nba,Spread,full,HOU,ATL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.5,-10.5
NOP_BKN,20221019,nba,Spread,full,NOP,BKN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.833333333,-2.833333333
NYK_MEM,20221019,nba,Spread,full,NYK,MEM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.333333333,-4.333333333
OKC_MIN,20221019,nba,Spread,full,OKC,MIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,-11
ORL_DET,20221019,nba,Spread,full,ORL,DET,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,-3.5
POR_SAC,20221019,nba,Spread,full,POR,SAC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,-3
WAS_IND,20221019,nba,Spread,full,WAS,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.5,2.5
