game_id,Date,Sport,bet_type,period,away_Team,home_Team,away_1Q,away_2Q,away_3Q,away_4Q,home_1Q,home_2Q,home_3Q,home_4Q,away_score,home_score,away_line,home_line
CHA_SAS,20221019,nba,Total,full,CHA,SAS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,221.3333333,221.3333333
CHI_MIA,20221019,nba,Total,full,CHI,MIA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,216.5,216.5
CLE_TOR,20221019,nba,Total,full,CLE,TOR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,216.5,216.5
DAL_PHX,20221019,nba,Total,full,DAL,PHX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,218,218
DEN_UTA,20221019,nba,Total,full,DEN,UTA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,225.5,225.5
HOU_ATL,20221019,nba,Total,full,HOU,ATL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,235.1666667,235.1666667
NOP_BKN,20221019,nba,Total,full,NOP,BKN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,232.3333333,232.3333333
NYK_MEM,20221019,nba,Total,full,NYK,MEM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,226.5,226.5
OKC_MIN,20221019,nba,Total,full,OKC,MIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,226.5,226.5
ORL_DET,20221019,nba,Total,full,ORL,DET,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,214.6666667,214.6666667
POR_SAC,20221019,nba,Total,full,POR,SAC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,229.3333333,229.3333333
WAS_IND,20221019,nba,Total,full,WAS,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,229,229
