"game_id","Date","Sport","bet_type","period","away_Team","home_Team","away_1Q","away_2Q","away_3Q","away_4Q","home_1Q","home_2Q","home_3Q","home_4Q","away_score","home_score","away_line","home_line"
"BKN_DAL",20221107,"nba","Moneyline","full","BKN","DAL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,190,-228.323959505062
"BOS_MEM",20221107,"nba","Moneyline","full","BOS","MEM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-165.660434018925,138.666666666667
"CLE_LAC",20221107,"nba","Moneyline","full","CLE","LAC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-177.992709244678,149.666666666667
"DEN_SAS",20221107,"nba","Moneyline","full","DEN","SAS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-318.330625067707,258.333333333333
"HOU_ORL",20221107,"nba","Moneyline","full","HOU","ORL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,162.666666666667,-195
"LAL_UTA",20221107,"nba","Moneyline","full","LAL","UTA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,213.333333333333,-256.666666666667
"MIL_ATL",20221107,"nba","Moneyline","full","MIL","ATL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-218.331933361333,183.333333333333
"NOP_IND",20221107,"nba","Moneyline","full","NOP","IND",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-198.333333333333,166
"NYK_MIN",20221107,"nba","Moneyline","full","NYK","MIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,119.666666666667,-139.665733352
"OKC_DET",20221107,"nba","Moneyline","full","OKC","DET",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-129.666666666667,109.666666666667
"PHX_PHI",20221107,"nba","Moneyline","full","PHX","PHI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-117.663466922646,33.3333333333333
"POR_MIA",20221107,"nba","Moneyline","full","POR","MIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,171,-203.331933361333
"SAC_GSW",20221107,"nba","Moneyline","full","SAC","GSW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,260,-323.330625067707
"TOR_CHI",20221107,"nba","Moneyline","full","TOR","CHI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116,-135.332400018666
"WAS_CHA",20221107,"nba","Moneyline","full","WAS","CHA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106,-125.329433684302
