"game_id","Date","Sport","bet_type","period","away_Team","home_Team","away_1Q","away_2Q","away_3Q","away_4Q","home_1Q","home_2Q","home_3Q","home_4Q","away_score","home_score","away_line","home_line"
"BOS_ATL",20221116,"nba","Total","full","BOS","ATL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,234.5,234.5
"CHI_NOP",20221116,"nba","Total","full","CHI","NOP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,226.333333333333,226.333333333333
"CLE_MIL",20221116,"nba","Total","full","CLE","MIL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,218,218
"GSW_PHX",20221116,"nba","Total","full","GSW","PHX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,226.833333333333,226.833333333333
"HOU_DAL",20221116,"nba","Total","full","HOU","DAL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,218.5,218.5
"IND_CHA",20221116,"nba","Total","full","IND","CHA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,236.5,236.5
"MIA_TOR",20221116,"nba","Total","full","MIA","TOR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,216.166666666667,216.166666666667
"MIN_ORL",20221116,"nba","Total","full","MIN","ORL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,223.833333333333,223.833333333333
"NYK_DEN",20221116,"nba","Total","full","NYK","DEN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,226.5,226.5
"OKC_WAS",20221116,"nba","Total","full","OKC","WAS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,230.166666666667,230.166666666667
