PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,PLAYER_HEIGHT,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,COLLEGE,COUNTRY,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,GP,PTS,REB,AST,NET_RATING,OREB_PCT,DREB_PCT,USG_PCT,TS_PCT,AST_PCT,SEASON_YEAR
1630639,A.J. Lawson,1610612750,MIN,22.0,6-6,78,179,South Carolina,Canada,Undrafted,Undrafted,Undrafted,1,2,1,0,-100.0,0.0,0.333,0.167,1.0,0.0,2022-23
1631260,AJ Green,1610612749,MIL,23.0,6-5,77,190,Northern Iowa,USA,Undrafted,Undrafted,Undrafted,9,23,7,2,-23.9,0.02,0.13,0.14,0.751,0.067,2022-23
1631100,AJ Griffin,1610612737,ATL,19.0,6-6,78,220,Duke,USA,2022,1,16,23,229,47,22,-3.6,0.034,0.062,0.195,0.547,0.067,2022-23
203932,Aaron Gordon,1610612743,DEN,27.0,6-8,80,235,Arizona,USA,2014,1,4,23,384,147,49,7.3,0.087,0.146,0.197,0.677,0.096,2022-23
1628988,Aaron Holiday,1610612737,ATL,26.0,6-0,72,185,UCLA,USA,2018,1,23,24,113,37,34,-1.6,0.027,0.06,0.122,0.528,0.102,2022-23
1630174,Aaron Nesmith,1610612754,IND,23.0,6-5,77,215,Vanderbilt,USA,2020,1,14,23,182,72,26,-0.9,0.025,0.119,0.161,0.538,0.071,2022-23
1630598,Aaron Wiggins,1610612760,OKC,23.0,6-5,77,190,Maryland,USA,2021,2,55,19,111,65,31,4.4,0.046,0.133,0.126,0.579,0.111,2022-23
1629678,Admiral Schofield,1610612753,ORL,25.0,6-5,77,241,Tennessee,United Kingdom,2019,2,42,17,71,27,13,-11.7,0.057,0.078,0.134,0.572,0.096,2022-23
201143,Al Horford,1610612738,BOS,36.0,6-9,81,240,Florida,Dominican Republic,2007,1,3,20,204,125,55,8.5,0.035,0.164,0.116,0.678,0.113,2022-23
202692,Alec Burks,1610612765,DET,31.0,6-6,78,214,Colorado,USA,2011,1,12,16,216,46,30,0.8,0.012,0.128,0.246,0.585,0.142,2022-23
1630197,Aleksej Pokusevski,1610612760,OKC,20.0,7-0,84,210,None,Serbia,2020,1,17,23,221,120,44,-10.8,0.064,0.155,0.181,0.549,0.12,2022-23
1627936,Alex Caruso,1610612741,CHI,28.0,6-5,77,186,Texas A&M,USA,Undrafted,Undrafted,Undrafted,25,130,68,95,5.9,0.014,0.099,0.101,0.551,0.187,2022-23
203458,Alex Len,1610612758,SAC,29.0,7-2,86,250,Maryland,Ukraine,2013,1,5,8,11,9,2,-26.1,0.111,0.207,0.147,0.557,0.154,2022-23
1628993,Alize Johnson,1610612759,SAS,26.0,6-8,80,212,Missouri State,USA,2018,2,50,4,7,10,1,19.0,0.063,0.211,0.145,0.509,0.042,2022-23
1631214,Alondes Williams,1610612751,BKN,23.0,6-4,76,210,Wake Forest,USA,Undrafted,Undrafted,Undrafted,1,0,1,0,-53.0,0.0,0.25,0.143,0.0,0.0,2022-23
