"game_id","date","sport","bet_type","away","home","away_line","home_line"
"20141005_nba_Sacramento_Toronto",20141005,"nba","spread","Sacramento","Toronto",3.5,-3.5
"20141006_nba_Philadelphia_Boston",20141006,"nba","spread","Philadelphia","Boston",4.5,-4.5
"20141006_nba_New Orleans_Atlanta",20141006,"nba","spread","New Orleans","Atlanta",1.5,-1.5
"20141006_nba_Washington_Chicago",20141006,"nba","spread","Washington","Chicago",5.5,-5.5
"20141006_nba_Denver_L.A. Lakers",20141006,"nba","spread","Denver","L.A. Lakers",NA,NA
"20141007_nba_Minnesota_Indiana",20141007,"nba","spread","Minnesota","Indiana",4,-4
"20141007_nba_Orlando_Miami",20141007,"nba","spread","Orlando","Miami",6,-6
"20141007_nba_Chicago_Detroit",20141007,"nba","spread","Chicago","Detroit",3,-3
"20141007_nba_Houston_Dallas",20141007,"nba","spread","Houston","Dallas",3.5,-3.5
"20141007_nba_Portland_Utah",20141007,"nba","spread","Portland","Utah",-4,4
"20141007_nba_Toronto_Sacramento",20141007,"nba","spread","Toronto","Sacramento",2,-2
"20141007_nba_Golden State_L.A. Clippers",20141007,"nba","spread","Golden State","L.A. Clippers",4.5,-4.5
"20141008_nba_Washington_New Orleans",20141008,"nba","spread","Washington","New Orleans",NA,NA
"20141008_nba_Charlotte_Philadelphia",20141008,"nba","spread","Charlotte","Philadelphia",-3.5,3.5
"20141008_nba_New York_Boston",20141008,"nba","spread","New York","Boston",-1,1
"20141008_nba_Memphis_Milwaukee",20141008,"nba","spread","Memphis","Milwaukee",-4,4
"20141008_nba_Oklahoma City_Denver",20141008,"nba","spread","Oklahoma City","Denver",0,0
"20141009_nba_Milwaukee_Detroit",20141009,"nba","spread","Milwaukee","Detroit",4,-4
"20141009_nba_Memphis_Houston",20141009,"nba","spread","Memphis","Houston",3.5,-3.5
"20141009_nba_Utah_Portland",20141009,"nba","spread","Utah","Portland",5,-5
"20141009_nba_Golden State_L.A. Lakers",20141009,"nba","spread","Golden State","L.A. Lakers",-4,4
"20141010_nba_Washington_Charlotte",20141010,"nba","spread","Washington","Charlotte",-2.5,2.5
"20141010_nba_Orlando_Indiana",20141010,"nba","spread","Orlando","Indiana",5,-5
"20141010_nba_Boston_Toronto",20141010,"nba","spread","Boston","Toronto",NA,NA
"20141010_nba_Philadelphia_Minnesota",20141010,"nba","spread","Philadelphia","Minnesota",4.5,-4.5
"20141010_nba_Oklahoma City_Dallas",20141010,"nba","spread","Oklahoma City","Dallas",-2.5,2.5
"20141010_nba_Denver_Phoenix",20141010,"nba","spread","Denver","Phoenix",3,-3
"20141011_nba_Cleveland_Miami",20141011,"nba","spread","Cleveland","Miami",-5.5,5.5
"20141011_nba_New York_Boston",20141011,"nba","spread","New York","Boston",3,-3
"20141011_nba_Atlanta_Memphis",20141011,"nba","spread","Atlanta","Memphis",3.5,-3.5
"20141011_nba_Chicago_Milwaukee",20141011,"nba","spread","Chicago","Milwaukee",NA,NA
"20141011_nba_Brooklyn_Sacramento",20141011,"nba","spread","Brooklyn","Sacramento",1,-1
"20141012_nba_Detroit_Washington",20141012,"nba","spread","Detroit","Washington",3,-3
"20141012_nba_Indiana_Dallas",20141012,"nba","spread","Indiana","Dallas",2.5,-2.5
"20141012_nba_L.A. Clippers_Portland",20141012,"nba","spread","L.A. Clippers","Portland",NA,NA
"20141012_nba_Golden State_L.A. Lakers",20141012,"nba","spread","Golden State","L.A. Lakers",-3.5,3.5
"20141013_nba_Orlando_Charlotte",20141013,"nba","spread","Orlando","Charlotte",4.5,-4.5
"20141013_nba_Toronto_New York",20141013,"nba","spread","Toronto","New York",3,-3
"20141013_nba_Phoenix_Houston",20141013,"nba","spread","Phoenix","Houston",3.5,-3.5
"20141013_nba_Denver_Chicago",20141013,"nba","spread","Denver","Chicago",4,-4
"20141013_nba_L.A. Clippers_Utah",20141013,"nba","spread","L.A. Clippers","Utah",-3,3
"20141014_nba_Milwaukee_Cleveland",20141014,"nba","spread","Milwaukee","Cleveland",5.5,-5.5
"20141014_nba_New York_Philadelphia",20141014,"nba","spread","New York","Philadelphia",-3,3
"20141014_nba_Atlanta_Miami",20141014,"nba","spread","Atlanta","Miami",3,-3
"20141014_nba_Memphis_Oklahoma City",20141014,"nba","spread","Memphis","Oklahoma City",1,-1
"20141014_nba_Houston_New Orleans",20141014,"nba","spread","Houston","New Orleans",4,-4
"20141015_nba_Sacramento_Brooklyn",20141015,"nba","spread","Sacramento","Brooklyn",NA,NA
"20141015_nba_Detroit_Charlotte",20141015,"nba","spread","Detroit","Charlotte",4,-4
"20141015_nba_Indiana_Cleveland",20141015,"nba","spread","Indiana","Cleveland",5,-5
"20141015_nba_Toronto_Boston",20141015,"nba","spread","Toronto","Boston",-2.5,2.5
"20141016_nba_Boston_Philadelphia",20141016,"nba","spread","Boston","Philadelphia",1.5,-1.5
"20141016_nba_Denver_Golden State",20141016,"nba","spread","Denver","Golden State",3,-3
"20141016_nba_San Antonio_Phoenix",20141016,"nba","spread","San Antonio","Phoenix",5,-5
"20141016_nba_Utah_L.A. Lakers",20141016,"nba","spread","Utah","L.A. Lakers",2,-2
"20141017_nba_Charlotte_Washington",20141017,"nba","spread","Charlotte","Washington",4.5,-4.5
"20141017_nba_Detroit_Orlando",20141017,"nba","spread","Detroit","Orlando",1.5,-1.5
"20141017_nba_Dallas_Cleveland",20141017,"nba","spread","Dallas","Cleveland",2.5,-2.5
"20141017_nba_Milwaukee_Minnesota",20141017,"nba","spread","Milwaukee","Minnesota",3.5,-3.5
"20141017_nba_Toronto_Oklahoma City",20141017,"nba","spread","Toronto","Oklahoma City",-2.5,2.5
"20141017_nba_Golden State_Miami",20141017,"nba","spread","Golden State","Miami",-2.5,2.5
"20141017_nba_Utah_L.A. Clippers",20141017,"nba","spread","Utah","L.A. Clippers",5,-5
"20141018_nba_Dallas_Indiana",20141018,"nba","spread","Dallas","Indiana",6.5,-6.5
"20141018_nba_Detroit_Atlanta",20141018,"nba","spread","Detroit","Atlanta",2.5,-2.5
"20141018_nba_Orlando_Philadelphia",20141018,"nba","spread","Orlando","Philadelphia",-1.5,1.5
"20141018_nba_Miami_San Antonio",20141018,"nba","spread","Miami","San Antonio",NA,NA
"20141018_nba_Denver_L.A. Clippers",20141018,"nba","spread","Denver","L.A. Clippers",1.5,-1.5
"20141019_nba_Boston_Brooklyn",20141019,"nba","spread","Boston","Brooklyn",NA,NA
"20141019_nba_Minnesota_Oklahoma City",20141019,"nba","spread","Minnesota","Oklahoma City",3.5,-3.5
"20141019_nba_Golden State_Houston",20141019,"nba","spread","Golden State","Houston",3.5,-3.5
"20141019_nba_Charlotte_Chicago",20141019,"nba","spread","Charlotte","Chicago",5.5,-5.5
"20141019_nba_Utah_L.A. Lakers",20141019,"nba","spread","Utah","L.A. Lakers",-5,5
"20141020_nba_Chicago_Cleveland",20141020,"nba","spread","Chicago","Cleveland",5,-5
"20141020_nba_New Orleans_Washington",20141020,"nba","spread","New Orleans","Washington",-4,4
"20141020_nba_Charlotte_Atlanta",20141020,"nba","spread","Charlotte","Atlanta",5.5,-5.5
"20141020_nba_Milwaukee_New York",20141020,"nba","spread","Milwaukee","New York",3.5,-3.5
"20141020_nba_Philadelphia_Brooklyn",20141020,"nba","spread","Philadelphia","Brooklyn",3.5,-3.5
"20141020_nba_Sacramento_San Antonio",20141020,"nba","spread","Sacramento","San Antonio",3.5,-3.5
"20141020_nba_Memphis_Dallas",20141020,"nba","spread","Memphis","Dallas",3,-3
"20141021_nba_Indiana_Minnesota",20141021,"nba","spread","Indiana","Minnesota",3,-3
"20141021_nba_Houston_Miami",20141021,"nba","spread","Houston","Miami",-2.5,2.5
"20141021_nba_Utah_Oklahoma City",20141021,"nba","spread","Utah","Oklahoma City",3,-3
"20141021_nba_Portland_Denver",20141021,"nba","spread","Portland","Denver",-4,4
"20141021_nba_Phoenix_L.A. Lakers",20141021,"nba","spread","Phoenix","L.A. Lakers",-5.5,5.5
"20141021_nba_L.A. Clippers_Golden State",20141021,"nba","spread","L.A. Clippers","Golden State",5.5,-5.5
"20141023_nba_Indiana_Charlotte",20141023,"nba","spread","Indiana","Charlotte",4.5,-4.5
"20141023_nba_Philadelphia_Detroit",20141023,"nba","spread","Philadelphia","Detroit",6,-6
"20141023_nba_Dallas_New Orleans",20141023,"nba","spread","Dallas","New Orleans",5,-5
"20141024_nba_Dallas_Orlando",20141024,"nba","spread","Dallas","Orlando",-5,5
"20141024_nba_New York_Toronto",20141024,"nba","spread","New York","Toronto",5,-5
"20141024_nba_San Antonio_Houston",20141024,"nba","spread","San Antonio","Houston",3.5,-3.5
"20141024_nba_Miami_Memphis",20141024,"nba","spread","Miami","Memphis",5.5,-5.5
"20141024_nba_Phoenix_Utah",20141024,"nba","spread","Phoenix","Utah",-2,2
"20141024_nba_Sacramento_L.A. Lakers",20141024,"nba","spread","Sacramento","L.A. Lakers",-5.5,5.5
"20141024_nba_Portland_L.A. Clippers",20141024,"nba","spread","Portland","L.A. Clippers",4.5,-4.5
"20141028_nba_Dallas_San Antonio",20141028,"nba","spread","Dallas","San Antonio",3.5,-3.5
"20141028_nba_Orlando_New Orleans",20141028,"nba","spread","Orlando","New Orleans",9,-9
"20141028_nba_Houston_L.A. Lakers",20141028,"nba","spread","Houston","L.A. Lakers",-7,7
"20141029_nba_Philadelphia_Indiana",20141029,"nba","spread","Philadelphia","Indiana",7.5,-7.5
"20141029_nba_Milwaukee_Charlotte",20141029,"nba","spread","Milwaukee","Charlotte",8,-8
"20141029_nba_Washington_Miami",20141029,"nba","spread","Washington","Miami",5,-5
"20141029_nba_Brooklyn_Boston",20141029,"nba","spread","Brooklyn","Boston",0,0
"20141029_nba_Atlanta_Toronto",20141029,"nba","spread","Atlanta","Toronto",4.5,-4.5
"20141029_nba_Chicago_New York",20141029,"nba","spread","Chicago","New York",-4.5,4.5
"20141029_nba_Minnesota_Memphis",20141029,"nba","spread","Minnesota","Memphis",7.5,-7.5
"20141029_nba_Detroit_Denver",20141029,"nba","spread","Detroit","Denver",6.5,-6.5
"20141029_nba_Houston_Utah",20141029,"nba","spread","Houston","Utah",-3,3
"20141029_nba_L.A. Lakers_Phoenix",20141029,"nba","spread","L.A. Lakers","Phoenix",12,-12
"20141029_nba_Golden State_Sacramento",20141029,"nba","spread","Golden State","Sacramento",-4.5,4.5
"20141029_nba_Oklahoma City_Portland",20141029,"nba","spread","Oklahoma City","Portland",9,-9
"20141030_nba_Washington_Orlando",20141030,"nba","spread","Washington","Orlando",-4.5,4.5
"20141030_nba_New York_Cleveland",20141030,"nba","spread","New York","Cleveland",13,-13
"20141030_nba_Detroit_Minnesota",20141030,"nba","spread","Detroit","Minnesota",5.5,-5.5
"20141030_nba_Utah_Dallas",20141030,"nba","spread","Utah","Dallas",10.5,-10.5
"20141030_nba_Oklahoma City_L.A. Clippers",20141030,"nba","spread","Oklahoma City","L.A. Clippers",13,-13
"20141031_nba_Memphis_Indiana",20141031,"nba","spread","Memphis","Indiana",-6.5,6.5
"20141031_nba_Cleveland_Chicago",20141031,"nba","spread","Cleveland","Chicago",4,-4
"20141031_nba_Philadelphia_Milwaukee",20141031,"nba","spread","Philadelphia","Milwaukee",8.5,-8.5
"20141031_nba_Portland_Sacramento",20141031,"nba","spread","Portland","Sacramento",-4.5,4.5
"20141031_nba_San Antonio_Phoenix",20141031,"nba","spread","San Antonio","Phoenix",0,0
"20141031_nba_L.A. Clippers_L.A. Lakers",20141031,"nba","spread","L.A. Clippers","L.A. Lakers",-11.5,11.5
"20141101_nba_Miami_Philadelphia",20141101,"nba","spread","Miami","Philadelphia",-9,9
"20141101_nba_Memphis_Charlotte",20141101,"nba","spread","Memphis","Charlotte",3,-3
"20141101_nba_Dallas_New Orleans",20141101,"nba","spread","Dallas","New Orleans",NA,NA
"20141101_nba_Milwaukee_Washington",20141101,"nba","spread","Milwaukee","Washington",9,-9
"20141101_nba_Brooklyn_Detroit",20141101,"nba","spread","Brooklyn","Detroit",3,-3
"20141101_nba_Indiana_Atlanta",20141101,"nba","spread","Indiana","Atlanta",11,-11
"20141101_nba_Chicago_Minnesota",20141101,"nba","spread","Chicago","Minnesota",-2,2
"20141101_nba_Boston_Houston",20141101,"nba","spread","Boston","Houston",7.5,-7.5
"20141101_nba_Denver_Oklahoma City",20141101,"nba","spread","Denver","Oklahoma City",-4.5,4.5
"20141101_nba_Phoenix_Utah",20141101,"nba","spread","Phoenix","Utah",-2,2
"20141101_nba_L.A. Lakers_Golden State",20141101,"nba","spread","L.A. Lakers","Golden State",14,-14
"20141102_nba_Sacramento_L.A. Clippers",20141102,"nba","spread","Sacramento","L.A. Clippers",9,-9
"20141102_nba_Toronto_Miami",20141102,"nba","spread","Toronto","Miami",2,-2
"20141102_nba_Charlotte_New York",20141102,"nba","spread","Charlotte","New York",3.5,-3.5
"20141102_nba_Golden State_Portland",20141102,"nba","spread","Golden State","Portland",3.5,-3.5
"20141103_nba_Houston_Philadelphia",20141103,"nba","spread","Houston","Philadelphia",-11,11
"20141103_nba_Oklahoma City_Brooklyn",20141103,"nba","spread","Oklahoma City","Brooklyn",6.5,-6.5
"20141103_nba_New Orleans_Memphis",20141103,"nba","spread","New Orleans","Memphis",4,-4
"20141103_nba_Boston_Dallas",20141103,"nba","spread","Boston","Dallas",9,-9
"20141103_nba_Sacramento_Denver",20141103,"nba","spread","Sacramento","Denver",6.5,-6.5
"20141103_nba_Utah_L.A. Clippers",20141103,"nba","spread","Utah","L.A. Clippers",10,-10
"20141104_nba_Houston_Miami",20141104,"nba","spread","Houston","Miami",2.5,-2.5
"20141104_nba_Washington_New York",20141104,"nba","spread","Washington","New York",-2,2
"20141104_nba_Oklahoma City_Toronto",20141104,"nba","spread","Oklahoma City","Toronto",11.5,-11.5
