"game_id","date","sport","bet_type","away","home","away_line","home_line"
"20141005_nba_Sacramento_Toronto",20141005,"nba","total","Sacramento","Toronto",194,194
"20141006_nba_Philadelphia_Boston",20141006,"nba","total","Philadelphia","Boston",203,203
"20141006_nba_New Orleans_Atlanta",20141006,"nba","total","New Orleans","Atlanta",199.5,199.5
"20141006_nba_Washington_Chicago",20141006,"nba","total","Washington","Chicago",190.5,190.5
"20141006_nba_Denver_L.A. Lakers",20141006,"nba","total","Denver","L.A. Lakers",205.5,205.5
"20141007_nba_Minnesota_Indiana",20141007,"nba","total","Minnesota","Indiana",191,191
"20141007_nba_Orlando_Miami",20141007,"nba","total","Orlando","Miami",193.5,193.5
"20141007_nba_Chicago_Detroit",20141007,"nba","total","Chicago","Detroit",189,189
"20141007_nba_Houston_Dallas",20141007,"nba","total","Houston","Dallas",206,206
"20141007_nba_Portland_Utah",20141007,"nba","total","Portland","Utah",196,196
"20141007_nba_Toronto_Sacramento",20141007,"nba","total","Toronto","Sacramento",193,193
"20141007_nba_Golden State_L.A. Clippers",20141007,"nba","total","Golden State","L.A. Clippers",203.5,203.5
"20141008_nba_Washington_New Orleans",20141008,"nba","total","Washington","New Orleans",195,195
"20141008_nba_Charlotte_Philadelphia",20141008,"nba","total","Charlotte","Philadelphia",195.5,195.5
"20141008_nba_New York_Boston",20141008,"nba","total","New York","Boston",193,193
"20141008_nba_Memphis_Milwaukee",20141008,"nba","total","Memphis","Milwaukee",189.5,189.5
"20141008_nba_Oklahoma City_Denver",20141008,"nba","total","Oklahoma City","Denver",199.5,199.5
"20141009_nba_Milwaukee_Detroit",20141009,"nba","total","Milwaukee","Detroit",196,196
"20141009_nba_Memphis_Houston",20141009,"nba","total","Memphis","Houston",196,196
"20141009_nba_Utah_Portland",20141009,"nba","total","Utah","Portland",192.5,192.5
"20141009_nba_Golden State_L.A. Lakers",20141009,"nba","total","Golden State","L.A. Lakers",207,207
"20141010_nba_Washington_Charlotte",20141010,"nba","total","Washington","Charlotte",191,191
"20141010_nba_Orlando_Indiana",20141010,"nba","total","Orlando","Indiana",192,192
"20141010_nba_Boston_Toronto",20141010,"nba","total","Boston","Toronto",197,197
"20141010_nba_Philadelphia_Minnesota",20141010,"nba","total","Philadelphia","Minnesota",207,207
"20141010_nba_Oklahoma City_Dallas",20141010,"nba","total","Oklahoma City","Dallas",209.5,209.5
"20141010_nba_Denver_Phoenix",20141010,"nba","total","Denver","Phoenix",213,213
"20141011_nba_Cleveland_Miami",20141011,"nba","total","Cleveland","Miami",201,201
"20141011_nba_New York_Boston",20141011,"nba","total","New York","Boston",191,191
"20141011_nba_Atlanta_Memphis",20141011,"nba","total","Atlanta","Memphis",194,194
"20141011_nba_Chicago_Milwaukee",20141011,"nba","total","Chicago","Milwaukee",190.5,190.5
"20141011_nba_Brooklyn_Sacramento",20141011,"nba","total","Brooklyn","Sacramento",197.5,197.5
"20141012_nba_Detroit_Washington",20141012,"nba","total","Detroit","Washington",194,194
"20141012_nba_Indiana_Dallas",20141012,"nba","total","Indiana","Dallas",198,198
"20141012_nba_L.A. Clippers_Portland",20141012,"nba","total","L.A. Clippers","Portland",208,208
"20141012_nba_Golden State_L.A. Lakers",20141012,"nba","total","Golden State","L.A. Lakers",208,208
"20141013_nba_Orlando_Charlotte",20141013,"nba","total","Orlando","Charlotte",192.5,192.5
"20141013_nba_Toronto_New York",20141013,"nba","total","Toronto","New York",197,197
"20141013_nba_Phoenix_Houston",20141013,"nba","total","Phoenix","Houston",212,212
"20141013_nba_Denver_Chicago",20141013,"nba","total","Denver","Chicago",192.5,192.5
"20141013_nba_L.A. Clippers_Utah",20141013,"nba","total","L.A. Clippers","Utah",205.5,205.5
"20141014_nba_Milwaukee_Cleveland",20141014,"nba","total","Milwaukee","Cleveland",194.5,194.5
"20141014_nba_New York_Philadelphia",20141014,"nba","total","New York","Philadelphia",197,197
"20141014_nba_Atlanta_Miami",20141014,"nba","total","Atlanta","Miami",198,198
"20141014_nba_Memphis_Oklahoma City",20141014,"nba","total","Memphis","Oklahoma City",191,191
"20141014_nba_Houston_New Orleans",20141014,"nba","total","Houston","New Orleans",203.5,203.5
"20141015_nba_Sacramento_Brooklyn",20141015,"nba","total","Sacramento","Brooklyn",NA,NA
"20141015_nba_Detroit_Charlotte",20141015,"nba","total","Detroit","Charlotte",193.5,193.5
"20141015_nba_Indiana_Cleveland",20141015,"nba","total","Indiana","Cleveland",196,196
"20141015_nba_Toronto_Boston",20141015,"nba","total","Toronto","Boston",202.5,202.5
"20141016_nba_Boston_Philadelphia",20141016,"nba","total","Boston","Philadelphia",201,201
"20141016_nba_Denver_Golden State",20141016,"nba","total","Denver","Golden State",205,205
"20141016_nba_San Antonio_Phoenix",20141016,"nba","total","San Antonio","Phoenix",203.5,203.5
"20141016_nba_Utah_L.A. Lakers",20141016,"nba","total","Utah","L.A. Lakers",202.5,202.5
"20141017_nba_Charlotte_Washington",20141017,"nba","total","Charlotte","Washington",188.5,188.5
"20141017_nba_Detroit_Orlando",20141017,"nba","total","Detroit","Orlando",194.5,194.5
"20141017_nba_Dallas_Cleveland",20141017,"nba","total","Dallas","Cleveland",207.5,207.5
"20141017_nba_Milwaukee_Minnesota",20141017,"nba","total","Milwaukee","Minnesota",196,196
