GAME_DATE_EST,GAME_SEQUENCE,GAME_ID,GAME_STATUS_ID,GAME_STATUS_TEXT,GAMECODE,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,LIVE_PERIOD,LIVE_PC_TIME,NATL_TV_BROADCASTER_ABBREVIATION,HOME_TV_BROADCASTER_ABBREVIATION,AWAY_TV_BROADCASTER_ABBREVIATION,LIVE_PERIOD_TIME_BCAST,ARENA_NAME,WH_STATUS,WNBA_COMMISSIONER_FLAG
2022-10-19T00:00:00,1,0022200003,1,7:00 pm ET,20221019/ORLDET,1610612765,1610612753,2022,0,     ,,BSDET,BSFL,Q0       - ,Little Caesars Arena,0,0
2022-10-19T00:00:00,2,0022200004,1,7:00 pm ET,20221019/WASIND,1610612754,1610612764,2022,0,     ,,BSIN,NBCSWA,Q0       - ,Gainbridge Fieldhouse,0,0
2022-10-19T00:00:00,3,0022200005,1,7:30 pm ET,20221019/HOUATL,1610612737,1610612745,2022,0,     ,,BSSE-ATL,ATTSN-SW,Q0       - ,State Farm Arena,0,0
2022-10-19T00:00:00,4,0022200006,1,7:30 pm ET,20221019/NOPBKN,1610612751,1610612740,2022,0,     ,,YES,BSNO,Q0       - ,Barclays Center,0,0
2022-10-19T00:00:00,5,0022200007,1,7:30 pm ET,20221019/CHIMIA,1610612748,1610612741,2022,0,     ,,BSSUN,NBCSCH,Q0       - ,FTX Arena,0,0
2022-10-19T00:00:00,6,0022200008,1,7:30 pm ET,20221019/CLETOR,1610612761,1610612739,2022,0,     ,,TSN,BSOH,Q0       - ,Scotiabank Arena,0,0
2022-10-19T00:00:00,7,0022200009,1,7:30 pm ET,20221019/NYKMEM,1610612763,1610612752,2022,0,     ,ESPN,BSSE-MEM,,Q0       - ESPN,FedExForum,0,0
2022-10-19T00:00:00,8,0022200010,1,8:00 pm ET,20221019/OKCMIN,1610612750,1610612760,2022,0,     ,,BSN,BSOK,Q0       - ,Target Center,0,0
2022-10-19T00:00:00,9,0022200011,1,8:00 pm ET,20221019/CHASAS,1610612759,1610612766,2022,0,     ,,BSSW-SA,BSSE-CHA,Q0       - ,AT&T Center,0,0
2022-10-19T00:00:00,10,0022200012,1,9:00 pm ET,20221019/DENUTA,1610612762,1610612743,2022,0,     ,,ATTSN-RM,ALT,Q0       - ,Vivint Arena,0,0
2022-10-19T00:00:00,11,0022200013,1,10:00 pm ET,20221019/DALPHX,1610612756,1610612742,2022,0,     ,ESPN,,BSSW-DAL,Q0       - ESPN,Footprint Center,0,0
2022-10-19T00:00:00,12,0022200014,1,10:00 pm ET,20221019/PORSAC,1610612758,1610612757,2022,0,     ,,NBCSCA,ROOT-SP+,Q0       - ,Golden 1 Center,0,0
