"game_date","game","player","team","fpts_line","fpts_prob","br_line","br_prob","br_edge","br_kelly","br_units","bs_line","bs_prob","bs_edge","bs_kelly","bs_units","csr_line","csr_prob","csr_edge","csr_kelly","csr_units","dk_line","dk_prob","dk_edge","dk_kelly","dk_units","fd_line","fd_prob","fd_edge","fd_kelly","fd_units","mgm_line","mgm_prob","mgm_edge","mgm_kelly","mgm_units","pb_line","pb_prob","pb_edge","pb_kelly","pb_units","run_timestamp_utc"
2022-12-12,"ATL @ MEM","Clint Capela","ATL",815,0.1093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,800,0.1111,-0.0018,-0.001,-0.1001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-12 23:54:05
2022-12-12,"ATL @ MEM","Trent Forrest","ATL",835,0.107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1500,0.0625,0.0445,0.0237,2.3725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-12 23:54:05
2022-12-12,"ATL @ MEM","De'Andre Hunter","ATL",876,0.1025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1300,0.0714,0.031,0.0167,1.6712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-12 23:54:05
2022-12-12,NA,"Aaron Holiday","ATL",982,0.0924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-12 23:54:05
2022-12-12,"ATL @ MEM","AJ Griffin","ATL",1207,0.0765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,850,0.1053,-0.0288,-0.0161,-1.6074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-12 23:54:05
2022-12-12,"BKN @ WAS","Kevin Durant","BKN",862,0.1039,600,0.1429,-0.0389,-0.0227,-2.2703,600,0.1429,-0.0389,-0.0227,-2.2703,575,0.1481,-0.0442,-0.0259,-2.5949,NA,NA,NA,NA,NA,600,0.1429,-0.0389,-0.0227,-2.2703,450,0.1818,-0.0779,-0.0476,-4.7593,600,0.1429,-0.0389,-0.0227,-2.2703,2022-12-12 23:54:05
2022-12-12,"BKN @ WAS","Nic Claxton","BKN",868,0.1033,650,0.1333,-0.03,-0.0173,-1.7323,650,0.1333,-0.03,-0.0173,-1.7323,700,0.125,-0.0217,-0.0124,-1.2396,NA,NA,NA,NA,NA,600,0.1429,-0.0396,-0.0231,-2.3071,650,0.1333,-0.03,-0.0173,-1.7323,650,0.1333,-0.03,-0.0173,-1.7323,2022-12-12 23:54:05
2022-12-12,"BKN @ WAS","Ben Simmons","BKN",934,0.0967,900,0.1,-0.0033,-0.0018,-0.1835,900,0.1,-0.0033,-0.0018,-0.1835,850,0.1053,-0.0086,-0.0048,-0.4787,NA,NA,NA,NA,NA,900,0.1,-0.0033,-0.0018,-0.1835,1000,0.0909,0.0058,0.0032,0.3183,900,0.1,-0.0033,-0.0018,-0.1835,2022-12-12 23:54:05
2022-12-12,"BKN @ WAS","Kyrie Irving","BKN",1078,0.0849,800,0.1111,-0.0262,-0.0148,-1.4762,800,0.1111,-0.0262,-0.0148,-1.4762,700,0.125,-0.0401,-0.0229,-2.2933,NA,NA,NA,NA,NA,850,0.1053,-0.0204,-0.0114,-1.1397,750,0.1176,-0.0328,-0.0186,-1.8575,800,0.1111,-0.0262,-0.0148,-1.4762,2022-12-12 23:54:05
2022-12-12,"BKN @ WAS","Joe Harris","BKN",1262,0.0734,1500,0.0625,0.0109,0.0058,0.5828,1500,0.0625,0.0109,0.0058,0.5828,950,0.0952,-0.0218,-0.0121,-1.2053,NA,NA,NA,NA,NA,1600,0.0588,0.0146,0.0078,0.7759,1600,0.0588,0.0146,0.0078,0.7759,1400,0.0667,0.0068,0.0036,0.3622,2022-12-12 23:54:05
2022-12-12,"BOS @ LAC","Jaylen Brown","BOS",592,0.1446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,400,0.2,-0.0554,-0.0347,-3.465,380,0.2083,-0.0638,-0.0403,-4.0278,400,0.2,-0.0554,-0.0347,-3.465,400,0.2,-0.0554,-0.0347,-3.465,NA,NA,NA,NA,NA,2022-12-12 23:54:05
2022-12-12,"BOS @ LAC","Jayson Tatum","BOS",690,0.1266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,425,0.1905,-0.0639,-0.0395,-3.9461,500,0.1667,-0.0401,-0.024,-2.4048,450,0.1818,-0.0552,-0.0338,-3.3753,500,0.1667,-0.0401,-0.024,-2.4048,NA,NA,NA,NA,NA,2022-12-12 23:54:05
