"game_date","game","quarter","team","quarter_team","ftts_line","ftts_prob","br_line","br_prob","br_edge","br_kelly","br_units","bs_line","bs_prob","bs_edge","bs_kelly","bs_units","csr_line","csr_prob","csr_edge","csr_kelly","csr_units","dk_line","dk_prob","dk_edge","dk_kelly","dk_units","fd_line","fd_prob","fd_edge","fd_kelly","fd_units","mgm_line","mgm_prob","mgm_edge","mgm_kelly","mgm_units","pb_line","pb_prob","pb_edge","pb_kelly","pb_units","run_timestamp_utc"
2022-12-12,"ATL @ MEM","1Q","ATL","1Q_ATL",105,0.4877,165,0.3774,0.1104,0.0886,4.4311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,190,0.3448,0.1429,0.109,5.4524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-12 23:54:05
2022-12-12,"BKN @ WAS","1Q","BKN","1Q_BKN",116,0.4622,115,0.4651,-0.0029,-0.0027,-0.1346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130,0.4348,0.0275,0.0243,1.2143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-12 23:54:05
2022-12-12,"BOS @ LAC","1Q","BOS","1Q_BOS",-108,0.5201,-175,0.6364,-0.1163,-0.1599,-7.9927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-180,0.6429,-0.1228,-0.1719,-8.5926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-12 23:54:05
2022-12-12,"CLE @ SAS","1Q","CLE","1Q_CLE",-130,0.5662,-182,0.6454,-0.0792,-0.1117,-5.5859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-195,0.661,-0.0949,-0.1399,-6.9959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-12 23:54:05
2022-12-12,"OKC @ DAL","1Q","DAL","1Q_DAL",-132,0.569,-175,0.6364,-0.0674,-0.0927,-4.6346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-190,0.6552,-0.0862,-0.125,-6.251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-12 23:54:05
2022-12-12,"MIA @ IND","1Q","IND","1Q_IND",138,0.4205,130,0.4348,-0.0143,-0.0127,-0.6327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,145,0.4082,0.0123,0.0104,0.5202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-12 23:54:05
2022-12-12,"BOS @ LAC","1Q","LAC","1Q_LAC",108,0.4799,130,0.4348,0.0451,0.0399,1.9953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135,0.4255,0.0544,0.0473,2.3658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-12 23:54:05
2022-12-12,"ATL @ MEM","1Q","MEM","1Q_MEM",-105,0.5123,-220,0.6875,-0.1752,-0.2803,-14.0174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-260,0.7222,-0.2099,-0.3779,-18.8946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-12 23:54:05
2022-12-12,"MIA @ IND","1Q","MIA","1Q_MIA",-138,0.5795,-175,0.6364,-0.0568,-0.0782,-3.9078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-200,0.6667,-0.0871,-0.1307,-6.5358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-12 23:54:05
2022-12-12,"MIN @ POR","1Q","MIN","1Q_MIN",110,0.4766,-157,0.6109,-0.1343,-0.1726,-8.628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-170,0.6296,-0.153,-0.2066,-10.329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-12 23:54:05
