"season","season_type","game_date","game_id","matchup","opening_jump","center_court","period","period_clock","home_team_jumper","home_team_person_id","home_team_abbrev","away_team_jumper","away_team_person_id","away_team_abbrev","possession","score_first","score_first_2Q","score_first_3Q","score_first_4Q","home_won_tip","home_score_first","home_score_first_2Q","home_score_first_3Q","home_score_first_4Q","location","win_tip_prob_xtip","final_score_first_prob_all","final_score_first_prob_all_2Q","final_score_first_prob_all_3Q","final_score_first_prob_all_4Q"
"2019-20","Pre Season",2019-10-04,"11900003","SAC vs. IND",TRUE,TRUE,1,720,"Marvin Bagley III","1628963","SAC","Myles Turner","1626167","IND","SAC","SAC","SAC","IND","IND",TRUE,TRUE,TRUE,FALSE,FALSE,"Home",0.652952656214814,0.561933246044633,0.456351026121327,0.470006289077819,0.54976492587113
"2019-20","Pre Season",2019-10-05,"11900006","LAL @ GSW",TRUE,TRUE,1,720,"Omari Spellman","1629016","GSW","JaVale McGee","201580","LAL","LAL","LAL","GSW","LAL","LAL",FALSE,FALSE,TRUE,FALSE,FALSE,"Home",0.286186625600997,0.420601837652978,0.555640400771133,0.545481137148968,0.397794398355746
"2019-20","Pre Season",2019-10-05,"11900007","SAS vs. ORL",TRUE,TRUE,1,720,"Jakob Poeltl","1627751","SAS","Nikola Vucevic","202696","ORL","SAS","SAS","ORL","SAS","ORL",TRUE,TRUE,FALSE,TRUE,FALSE,"Home",0.568392287857721,0.545025592723345,0.481480010748086,0.49296282512607,0.52441199899373
"2019-20","Pre Season",2019-10-06,"11900010","CHA @ BOS",TRUE,TRUE,1,720,"Robert Williams III","1629057","BOS","Cody Zeller","203469","CHA","BOS","BOS","CHA","CHA","CHA",TRUE,TRUE,FALSE,FALSE,FALSE,"Home",0.50415390322239,0.522569702949269,0.498863062589053,0.505756217177249,0.498433230028374
"2019-20","Pre Season",2019-10-07,"11900013","DET vs. ORL",TRUE,TRUE,1,720,"Andre Drummond","203083","DET","Nikola Vucevic","202696","ORL","DET","DET","ORL","ORL","DET",TRUE,TRUE,FALSE,FALSE,TRUE,"Home",0.78865541699019,0.579711205944599,0.432013539425733,0.433459866056222,0.582862727530026
"2019-20","Pre Season",2019-10-07,"11900014","NYK @ WAS",TRUE,TRUE,1,720,"Thomas Bryant","1628418","WAS","Mitchell Robinson","1629011","NYK","WAS","NYK","NYK","WAS","NYK",TRUE,FALSE,FALSE,TRUE,FALSE,"Home",0.604939629481727,0.523952952505115,0.472272324822433,0.474869424730609,0.51781487170753
"2019-20","Pre Season",2019-10-07,"11900015","ATL vs. NOP",TRUE,TRUE,1,720,"Damian Jones","1627745","ATL","Derrick Favors","202324","NOP","ATL","ATL","NOP","NOP","ATL",TRUE,TRUE,FALSE,FALSE,TRUE,"Home",0.327805578738418,0.443182050721619,0.545387466374529,0.538492053676715,0.421610804976885
"2019-20","Pre Season",2019-10-07,"11900016","CHI vs. MIL",TRUE,TRUE,1,720,"Cristiano Felicio","1626245","CHI","Robin Lopez","201577","MIL","MIL","CHI","CHI","CHI","MIL",FALSE,TRUE,TRUE,TRUE,FALSE,"Home",0.202151746742057,0.399616623952229,0.569683939364375,0.565790099627945,0.375559303846986
"2019-20","Pre Season",2019-10-08,"11900021","OKC vs. DAL",TRUE,TRUE,1,720,"Steven Adams","203500","OKC","Maxi Kleber","1628467","DAL","OKC","OKC","DAL","DAL","OKC",TRUE,TRUE,FALSE,FALSE,TRUE,"Home",0.785270390017682,0.566592429920458,0.432060150272304,0.43036332766608,0.575506555832237
"2019-20","Pre Season",2019-10-08,"11900022","PHX vs. MIN",TRUE,TRUE,1,720,"Deandre Ayton","1629028","PHX","Karl-Anthony Towns","1626157","MIN","MIN","MIN","MIN","MIN","PHX",FALSE,FALSE,FALSE,FALSE,TRUE,"Home",0.301631840009495,0.427261789857878,0.551905223841838,0.543796815501102,0.402604189942965
"2019-20","Pre Season",2019-10-08,"11900023","DEN @ POR",TRUE,TRUE,1,720,"Hassan Whiteside","202355","POR","Mason Plumlee","203486","DEN","POR","DEN","POR","DEN","POR",TRUE,FALSE,TRUE,FALSE,TRUE,"Home",0.589938230180358,0.546859325106936,0.476030320122196,0.483818789368041,0.528304271211312
"2019-20","Pre Season",2019-10-09,"11900024","DET vs. DAL",TRUE,TRUE,1,720,"Andre Drummond","203083","DET","Kristaps Porzingis","204001","DAL","DET","DAL","DAL","DAL","DET",TRUE,FALSE,FALSE,FALSE,TRUE,"Home",0.704288494348614,0.547470645833142,0.442676564468103,0.452953770586935,0.55165886081424
"2019-20","Pre Season",2019-10-09,"11900026","ATL vs. ORL",TRUE,TRUE,1,720,"Alex Len","203458","ATL","Nikola Vucevic","202696","ORL","ATL","ATL","ORL","ORL","ATL",TRUE,TRUE,FALSE,FALSE,TRUE,"Home",0.462337290011301,0.477991276230193,0.510898332761186,0.506932026066579,0.463868756587266
"2019-20","Pre Season",2019-10-09,"11900027","CHA vs. MIA",TRUE,TRUE,1,720,"Cody Zeller","203469","CHA","Bam Adebayo","1628389","MIA","MIA","CHA","CHA","MIA","CHA",FALSE,TRUE,TRUE,FALSE,TRUE,"Home",0.36071092282485,0.476690382171934,0.540207863206392,0.533355558950359,0.444461225294017
"2019-20","Pre Season",2019-10-10,"11900030","HOU vs. TOR",TRUE,TRUE,1,720,"Clint Capela","203991","HOU","Serge Ibaka","201586","TOR","TOR","TOR","HOU","HOU","TOR",FALSE,FALSE,TRUE,TRUE,FALSE,"Home",0.579603771333371,0.543724834842304,0.478698697885331,0.485946829436145,0.525511914980792
