"season","season_type","game_date","game_id","matchup","opening_jump","center_court","period","period_clock","home_team_jumper","home_team_person_id","home_team_abbrev","away_team_jumper","away_team_person_id","away_team_abbrev","possession","score_first","score_first_2Q","score_first_3Q","score_first_4Q","home_won_tip","home_score_first","home_score_first_2Q","home_score_first_3Q","home_score_first_4Q","location","final_win_prob_all"
"2013-14","Pre Season",2013-10-05,"11300002","CHI @ IND",TRUE,TRUE,1,720,"Roy Hibbert","201579","IND","Nazr Mohammed","1737","CHI","IND","CHI","IND","IND","CHI",TRUE,FALSE,TRUE,TRUE,FALSE,"Home",0.454403191935161
"2013-14","Pre Season",2013-10-05,"11300003","HOU vs. NOP",TRUE,TRUE,1,720,"Dwight Howard","2730","HOU","Anthony Davis","203076","NOP","NOP","NOP","NOP","HOU","NOP",FALSE,FALSE,FALSE,TRUE,FALSE,"Home",0.609592738006183
"2013-14","Pre Season",2013-10-05,"11300004","GSW @ LAL",TRUE,TRUE,1,720,"Chris Kaman","2549","LAL","Andrew Bogut","101106","GSW","GSW","LAL","LAL","GSW","GSW",FALSE,TRUE,TRUE,FALSE,FALSE,"Home",0.465847953219122
"2013-14","Pre Season",2013-10-06,"11300006","LAL vs. DEN",TRUE,TRUE,1,720,"Pau Gasol","2200","LAL","JaVale McGee","201580","DEN","LAL","DEN","DEN","LAL","DEN",TRUE,FALSE,FALSE,TRUE,FALSE,"Home",0.503115032375384
"2013-14","Pre Season",2013-10-07,"11300007","CHI vs. MEM",TRUE,TRUE,1,720,"Nazr Mohammed","1737","CHI","Kosta Koufos","201585","MEM","MEM","MEM","CHI","CHI","MEM",FALSE,FALSE,TRUE,TRUE,FALSE,"Home",0.321005574633972
"2013-14","Pre Season",2013-10-07,"11300010","LAC @ POR",TRUE,TRUE,1,720,"Robin Lopez","201577","POR","DeAndre Jordan","201599","LAC","POR","LAC","LAC","POR","LAC",TRUE,FALSE,FALSE,TRUE,FALSE,"Home",0.268447690994143
"2013-14","Pre Season",2013-10-07,"11300011","BOS vs. TOR",TRUE,TRUE,1,720,"Kris Humphries","2743","BOS","Jonas Valanciunas","202685","TOR","TOR","TOR","TOR","TOR","TOR",FALSE,FALSE,FALSE,FALSE,FALSE,"Home",0.44827620341216
"2013-14","Pre Season",2013-10-07,"11300012","MIA vs. ATL",TRUE,TRUE,1,720,"Chris Bosh","2547","MIA","Al Horford","201143","ATL","MIA","MIA","MIA","MIA","MIA",TRUE,TRUE,TRUE,TRUE,TRUE,"Home",0.563466294330296
"2013-14","Pre Season",2013-10-07,"11300013","DAL vs. NOP",TRUE,TRUE,1,720,"Samuel Dalembert","2223","DAL","Anthony Davis","203076","NOP","DAL","DAL","DAL","NOP","NOP",TRUE,TRUE,TRUE,FALSE,FALSE,"Home",0.564617524896759
"2013-14","Pre Season",2013-10-07,"11300014","GSW vs. SAC",TRUE,TRUE,1,720,"Andrew Bogut","101106","GSW","Jason Thompson","201574","SAC","SAC","SAC","GSW","GSW","GSW",FALSE,FALSE,TRUE,TRUE,TRUE,"Home",0.705880446867963
"2013-14","Pre Season",2013-10-08,"11300015","BKN @ WAS",TRUE,TRUE,1,720,"Jan Vesely","202686","WAS","Brook Lopez","201572","BKN","BKN","BKN","WAS","WAS","WAS",FALSE,FALSE,TRUE,TRUE,TRUE,"Home",0.44738449131424
"2013-14","Pre Season",2013-10-08,"11300016","CLE vs. MIL",TRUE,TRUE,1,720,"Tristan Thompson","202684","CLE","Larry Sanders","202336","MIL","MIL","MIL","CLE","CLE","MIL",FALSE,FALSE,TRUE,TRUE,FALSE,"Home",0.499058954677797
"2013-14","Pre Season",2013-10-08,"11300017","UTA vs. GSW",TRUE,TRUE,1,720,"Enes Kanter","202683","UTA","Andrew Bogut","101106","GSW","GSW","UTA","GSW","GSW","UTA",FALSE,TRUE,FALSE,FALSE,TRUE,"Home",0.473383276779402
"2013-14","Pre Season",2013-10-08,"11300018","LAL vs. DEN",TRUE,TRUE,1,720,"Pau Gasol","2200","LAL","JaVale McGee","201580","DEN","DEN","LAL","LAL","LAL","LAL",FALSE,TRUE,TRUE,TRUE,TRUE,"Home",0.527815664803794
"2013-14","Pre Season",2013-10-08,"11300019","ATL @ CHA",TRUE,TRUE,1,720,"Cody Zeller","203469","CHA","Elton Brand","1882","ATL","CHA","CHA","ATL","ATL","CHA",TRUE,TRUE,FALSE,FALSE,TRUE,"Home",0.510583623426157
"2013-14","Pre Season",2013-10-08,"11300021","OKC @ PHI",TRUE,TRUE,1,720,"Spencer Hawes","201150","PHI","Steven Adams","203500","OKC","OKC","PHI","PHI","OKC","PHI",FALSE,TRUE,TRUE,FALSE,TRUE,"Home",0.519840995749667
"2013-14","Pre Season",2013-10-09,"11300022","MIN @ TOR",TRUE,TRUE,1,720,"Jonas Valanciunas","202685","TOR","Nikola Pekovic","201593","MIN","TOR","TOR","MIN","TOR","TOR",TRUE,TRUE,FALSE,TRUE,TRUE,"Home",0.403342579903818
"2013-14","Pre Season",2013-10-09,"11300023","ORL vs. NOP",TRUE,TRUE,1,720,"Nikola Vucevic","202696","ORL","Anthony Davis","203076","NOP","ORL","ORL","NOP","NOP","ORL",TRUE,TRUE,FALSE,FALSE,TRUE,"Home",0.469269940056958
"2013-14","Pre Season",2013-10-09,"11300024","DAL @ MEM",TRUE,TRUE,1,720,"Ed Davis","202334","MEM","Samuel Dalembert","2223","DAL","DAL","DAL","MEM","MEM","DAL",FALSE,FALSE,TRUE,TRUE,FALSE,"Home",0.470292601633617
"2013-14","Pre Season",2013-10-09,"11300025","POR vs. PHX",TRUE,TRUE,1,720,"Robin Lopez","201577","POR","Marcin Gortat","101162","PHX","PHX","PHX","POR","POR","PHX",FALSE,FALSE,TRUE,TRUE,FALSE,"Home",0.465131404868852
"2013-14","Pre Season",2013-10-09,"11300026","NYK @ BOS",TRUE,TRUE,1,720,"Jared Sullinger","203096","BOS","Tyson Chandler","2199","NYK","NYK","NYK","NYK","BOS","NYK",FALSE,FALSE,FALSE,TRUE,FALSE,"Home",0.380072328774216
