"season","season_type","game_date","game_id","matchup","opening_jump","center_court","period","period_clock","home_team_jumper","home_team_person_id","home_team_abbrev","away_team_jumper","away_team_person_id","away_team_abbrev","possession","score_first","score_first_2Q","score_first_3Q","score_first_4Q","home_won_tip","home_score_first","home_score_first_2Q","home_score_first_3Q","home_score_first_4Q","location","win_tip_prob","win_tip_prob_opp","win_tip_prob_xtip","win_tip_prob_xtip_opp"
"2016-17","Pre Season",2016-10-01,"11600001","GSW @ TOR",TRUE,TRUE,1,720,"Jonas Valanciunas","202685","TOR","Zaza Pachulia","2585","GSW","GSW","GSW","TOR","TOR","TOR",FALSE,FALSE,TRUE,TRUE,TRUE,"Home",0.556533750352273,0.443466249647727,0.571412295705861,0.428587704294139
"2016-17","Pre Season",2016-10-01,"11600002","DAL @ NOP",TRUE,TRUE,1,720,"Anthony Davis","203076","NOP","Dwight Powell","203939","DAL","NOP","NOP","NOP","DAL","NOP",TRUE,TRUE,TRUE,FALSE,TRUE,"Home",0.5164314187883,0.4835685812117,0.563790426379338,0.436209573620662
"2016-17","Pre Season",2016-10-03,"11600004","DEN @ TOR",TRUE,TRUE,1,720,"Jonas Valanciunas","202685","TOR","Jusuf Nurkic","203994","DEN","TOR","DEN","TOR","DEN","TOR",TRUE,FALSE,TRUE,FALSE,TRUE,"Home",0.472371998954523,0.527628001045477,0.465258953860772,0.534741046139228
"2016-17","Pre Season",2016-10-03,"11600005","CHI vs. MIL",TRUE,TRUE,1,720,"Robin Lopez","201577","CHI","Miles Plumlee","203101","MIL","CHI","CHI","CHI","MIL","MIL",TRUE,TRUE,TRUE,FALSE,FALSE,"Home",0.521219470085209,0.478780529914791,0.5253601794018,0.4746398205982
"2016-17","Pre Season",2016-10-03,"11600006","MEM vs. ORL",TRUE,TRUE,1,720,"Marc Gasol","201188","MEM","Bismack Biyombo","202687","ORL","ORL","ORL","MEM","MEM","ORL",FALSE,FALSE,TRUE,TRUE,FALSE,"Home",0.554921532066658,0.445078467933343,0.536680431987982,0.463319568012018
"2016-17","Pre Season",2016-10-03,"11600007","PHX vs. SAS",TRUE,TRUE,1,720,"Tyson Chandler","2199","PHX","Dewayne Dedmon","203473","SAS","SAS","SAS","PHX","PHX","SAS",FALSE,FALSE,TRUE,TRUE,FALSE,"Home",0.48414820306558,0.51585179693442,0.494460457584633,0.505539542415367
"2016-17","Pre Season",2016-10-03,"11600008","UTA @ POR",TRUE,TRUE,1,720,"Mason Plumlee","203486","POR","Rudy Gobert","203497","UTA","POR","POR","POR","POR","POR",TRUE,TRUE,TRUE,TRUE,TRUE,"Home",0.443778710785634,0.556221289214366,0.444398791515269,0.555601208484731
"2016-17","Pre Season",2016-10-03,"11600009","CHA @ DAL",TRUE,TRUE,1,720,"Dwight Powell","203939","DAL","Roy Hibbert","201579","CHA","DAL","CHA","DAL","DAL","DAL",TRUE,FALSE,TRUE,TRUE,TRUE,"Home",0.416612347142792,0.583387652857209,0.359196902640385,0.640803097359615
"2016-17","Pre Season",2016-10-04,"11600011","BOS @ PHI",TRUE,TRUE,1,720,"Joel Embiid","203954","PHI","Amir Johnson","101161","BOS","BOS","BOS","PHI","BOS","PHI",FALSE,FALSE,TRUE,FALSE,TRUE,"Home",0.579855241809603,0.420144758190397,0.594263903292014,0.405736096707986
"2016-17","Pre Season",2016-10-04,"11600012","MIA @ WAS",TRUE,TRUE,1,720,"Marcin Gortat","101162","WAS","Hassan Whiteside","202355","MIA","MIA","MIA","WAS","MIA","MIA",FALSE,FALSE,TRUE,FALSE,FALSE,"Home",0.51756748108262,0.482432518917381,0.545272891652817,0.454727108347183
"2016-17","Pre Season",2016-10-04,"11600013","IND @ NOP",TRUE,TRUE,1,720,"Anthony Davis","203076","NOP","Kevin Seraphin","202338","IND","NOP","NOP","IND","IND","IND",TRUE,TRUE,FALSE,FALSE,FALSE,"Home",0.599992914618544,0.400007085381456,0.669747635054762,0.330252364945238
"2016-17","Pre Season",2016-10-04,"11600014","HOU vs. NYK",TRUE,TRUE,1,720,"Clint Capela","203991","HOU","Kristaps Porzingis","204001","NYK","HOU","NYK","NYK","HOU","HOU",TRUE,FALSE,FALSE,TRUE,TRUE,"Home",0.541666334609988,0.458333665390012,0.676993621554371,0.323006378445629
"2016-17","Pre Season",2016-10-04,"11600015","LAL vs. SAC",TRUE,TRUE,1,720,"Timofey Mozgov","202389","LAL","Kosta Koufos","201585","SAC","SAC","SAC","LAL","SAC","LAL",FALSE,FALSE,TRUE,FALSE,TRUE,"Home",0.379571319577704,0.620428680422296,0.363453157232277,0.636546842767723
"2016-17","Pre Season",2016-10-04,"11600016","LAC @ GSW",TRUE,TRUE,1,720,"Zaza Pachulia","2585","GSW","DeAndre Jordan","201599","LAC","LAC","GSW","GSW","GSW","LAC",FALSE,TRUE,TRUE,TRUE,FALSE,"Home",0.283064330664391,0.716935669335609,0.250814674120623,0.749185325879377
