"game","play","note"
"MIA @ IND","Aaron Nesmith : +1300 FD ",NA
"MIA @ IND","Caleb Martin : +1500 BR/BS/FD ",NA
"BKN @ WAS","Joe Harris : +1600 FD/MGM ",NA
"ATL @ MEM","Brandon Clarke : +1300 FD ","Clint Capela: Toss Up To Play"
"ATL @ MEM","De'Andre Hunter : +1300 FD ","Clint Capela: Toss Up To Play"
"ATL @ MEM","Trent Forrest : +1500 FD ","Clint Capela: Toss Up To Play"
"OKC @ DAL","Aleksej Pokusevski : +1300 BR/BS/CSR/FD ",NA
"OKC @ DAL","Dorian Finney-Smith : +1500 BR/BS/CSR/FD ",NA
"OKC @ DAL","Dwight Powell : +1100 BR/BS/DK/FD/PB ",NA
"CLE @ SAS","No Plays",NA
"MIN @ POR","Jaden McDaniels : +1500 BR/BS/FD ",NA
"MIN @ POR","Josh Hart : +1400 PB ",NA
"BOS @ LAC","Marcus Morris Sr. : +1000 FD ","Ivica Zubac: Toss Up To Play"
