GAME_ID,SBR_GAME_ID
11800001,
11800001,
11800002,20180928_nba_Charlotte_Boston
11800002,20180928_nba_Boston_Charlotte
11800003,20180929_nba_Toronto_Portland
11800003,20180929_nba_Portland_Toronto
11800004,
11800004,
11800005,20180929_nba_Golden State_Minnesota
11800005,20180929_nba_Minnesota_Golden State
11800006,
11800006,
11800007,20180930_nba_San Antonio_Miami
11800007,20180930_nba_Miami_San Antonio
11800008,20180930_nba_Charlotte_Boston
11800008,20180930_nba_Boston_Charlotte
11800009,20180930_nba_Chicago_New Orleans
11800009,20180930_nba_New Orleans_Chicago
11800010,20180930_nba_L.A. Lakers_Denver
11800010,20180930_nba_Denver_L.A. Lakers
11800011,
11800011,
11800012,20181001_nba_Philadelphia_Orlando
11800012,20181001_nba_Orlando_Philadelphia
11800013,20181001_nba_Washington_New York
11800013,20181001_nba_New York_Washington
11800014,20181001_nba_Atlanta_New Orleans
11800014,20181001_nba_New Orleans_Atlanta
11800015,20181001_nba_Phoenix_Sacramento
11800015,20181001_nba_Sacramento_Phoenix
11800016,20181002_nba_Charlotte_Miami
11800016,20181002_nba_Miami_Charlotte
11800017,20181002_nba_Cleveland_Boston
11800017,20181002_nba_Boston_Cleveland
11800018,20181002_nba_Houston_Memphis
11800018,20181002_nba_Memphis_Houston
11800019,20181002_nba_Toronto_Utah
11800019,20181002_nba_Utah_Toronto
11800020,20181002_nba_L.A. Lakers_Denver
11800020,20181002_nba_Denver_L.A. Lakers
11800021,20181003_nba_Brooklyn_New York
11800021,20181003_nba_New York_Brooklyn
11800022,20181003_nba_Milwaukee_Chicago
11800022,20181003_nba_Chicago_Milwaukee
11800023,20181003_nba_Detroit_Oklahoma City
11800023,20181003_nba_Oklahoma City_Detroit
11800024,
11800024,
11800025,20181003_nba_Minnesota_L.A. Clippers
11800025,20181003_nba_L.A. Clippers_Minnesota
11800026,20181004_nba_Houston_Indiana
11800026,20181004_nba_Indiana_Houston
11800027,20181004_nba_L.A. Lakers_Sacramento
11800027,20181004_nba_Sacramento_L.A. Lakers
11800028,20181005_nba_Dallas_Philadelphia
11800028,20181005_nba_Philadelphia_Dallas
11800029,
11800029,
11800030,
11800030,
11800031,20181005_nba_Miami_Washington
11800031,20181005_nba_Washington_Miami
11800032,20181005_nba_New Orleans_New York
11800032,20181005_nba_New York_New Orleans
11800033,20181005_nba_Atlanta_Memphis
11800033,20181005_nba_Memphis_Atlanta
11800034,20181005_nba_Oklahoma City_Minnesota
11800034,20181005_nba_Minnesota_Oklahoma City
11800035,20181005_nba_San Antonio_Detroit
11800035,20181005_nba_Detroit_San Antonio
11800036,
11800036,
11800037,
11800037,
11800038,20181005_nba_Phoenix_Portland
11800038,20181005_nba_Portland_Phoenix
11800039,20181005_nba_Golden State_Sacramento
11800039,20181005_nba_Sacramento_Golden State
11800040,20181006_nba_Cleveland_Boston
11800040,20181006_nba_Boston_Cleveland
11800041,20181006_nba_Indiana_Memphis
11800041,20181006_nba_Memphis_Indiana
11800042,20181006_nba_L.A. Clippers_L.A. Lakers
11800042,20181006_nba_L.A. Lakers_L.A. Clippers
11800043,20181007_nba_Oklahoma City_Atlanta
11800043,20181007_nba_Atlanta_Oklahoma City
11800044,20181007_nba_San Antonio_Houston
11800044,20181007_nba_Houston_San Antonio
