GAME_ID,TEAM1_ID,TEAM2_ID,TEAM1_SCORE,TEAM2_SCORE,WINNER,TEAM1_FGM,TEAM1_FGA,TEAM1_FG_PCT,TEAM1_FG3M,TEAM1_FG3A,TEAM1_FG3_PCT,TEAM1_FTM,TEAM1_FTA,TEAM1_FT_PCT,TEAM1_OREB,TEAM1_DREB,TEAM1_REB,TEAM1_AST,TEAM1_STL,TEAM1_BLK,TEAM1_TO,TEAM1_PF,TEAM1_PTS,TEAM1_PLUS_MINUS,TEAM2_FGM,TEAM2_FGA,TEAM2_FG_PCT,TEAM2_FG3M,TEAM2_FG3A,TEAM2_FG3_PCT,TEAM2_FTM,TEAM2_FTA,TEAM2_FT_PCT,TEAM2_OREB,TEAM2_DREB,TEAM2_REB,TEAM2_AST,TEAM2_STL,TEAM2_BLK,TEAM2_TO,TEAM2_PF,TEAM2_PTS,TEAM2_PLUS_MINUS
21600885,1610612737,1610612738,114.0,98.0,1,46.0,95.0,5.431,6.0,25.0,1.819,16.0,20.0,5.556,13.0,42.0,55.0,22.0,10.0,10.0,14.0,19.0,114.0,80.0,34.0,87.0,6.1739999999999995,10.0,34.0,3.3200000000000003,20.0,25.0,5.166,9.0,31.0,40.0,21.0,9.0,7.0,18.0,20.0,98.0,-80.0
21900278,1610612741,1610612757,103.0,107.0,2,36.0,94.0,4.096,14.0,38.0,2.8600000000000003,17.0,25.0,4.95,11.0,36.0,47.0,24.0,8.0,2.0,11.0,22.0,103.0,-20.0,38.0,84.0,3.5300000000000002,10.0,30.0,1.706,21.0,28.0,5.135,8.0,41.0,49.0,20.0,6.0,11.0,13.0,21.0,107.0,20.0
11200117,1610612756,1610612743,88.0,72.0,1,36.0,87.0,3.7390000000000003,9.0,23.0,2.9160000000000004,7.0,15.0,3.0,8.0,33.0,41.0,23.0,9.0,10.0,15.0,18.0,88.0,0.0,31.0,85.0,3.6189999999999998,2.0,11.0,0.5,8.0,12.0,3.334,15.0,39.0,54.0,19.0,9.0,6.0,26.0,18.0,72.0,0.0
21400829,1610612738,1610612747,111.0,118.0,2,42.0,98.0,4.165,8.0,33.0,1.029,19.0,27.0,3.7379999999999995,13.0,35.0,48.0,27.0,9.0,5.0,16.0,31.0,111.0,-35.0,43.0,84.0,4.66,7.0,18.0,2.1,25.0,38.0,7.084,6.0,40.0,46.0,22.0,8.0,4.0,17.0,27.0,118.0,35.0
41900313,1610612747,1610612743,106.0,114.0,2,,83.0,5.294,6.0,26.0,2.483,14.0,22.0,2.9,4.0,21.0,25.0,27.0,11.0,3.0,16.0,26.0,106.0,-40.0,,73.0,4.148,11.0,29.0,2.733,23.0,29.0,5.154,9.0,35.0,44.0,26.0,8.0,2.0,18.0,21.0,114.0,40.0
22100624,1610612739,1610612762,111.0,91.0,1,43.0,81.0,4.742,11.0,30.0,3.468,14.0,17.0,4.833,7.0,43.0,50.0,28.0,6.0,3.0,13.0,17.0,111.0,100.0,34.0,85.0,3.287,16.0,47.0,2.9829999999999997,7.0,11.0,2.667,4.0,28.0,32.0,11.0,7.0,2.0,7.0,16.0,91.0,-100.0
22000156,1610612754,1610612758,122.0,127.0,2,47.0,97.0,4.3229999999999995,13.0,39.0,2.432,15.0,18.0,5.75,10.0,27.0,37.0,26.0,14.0,3.0,12.0,21.0,122.0,-25.0,47.0,84.0,5.672000000000001,15.0,32.0,3.3779999999999997,18.0,23.0,3.464,7.0,37.0,44.0,29.0,6.0,9.0,18.0,17.0,127.0,25.0
21500183,1610612752,1610612760,93.0,90.0,1,33.0,72.0,4.288,12.0,20.0,5.334,15.0,23.0,3.0,6.0,30.0,36.0,23.0,10.0,5.0,20.0,20.0,93.0,15.0,35.0,92.0,3.745,3.0,29.0,0.533,17.0,23.0,3.133,21.0,28.0,49.0,12.0,9.0,4.0,14.0,19.0,90.0,-15.0
21700891,1610612747,1610612758,113.0,108.0,1,41.0,91.0,4.431,17.0,38.0,2.433,14.0,20.0,4.667,12.0,32.0,44.0,26.0,5.0,6.0,10.0,18.0,113.0,25.0,42.0,94.0,4.968,13.0,25.0,4.404,11.0,17.0,3.2119999999999997,17.0,31.0,48.0,28.0,5.0,5.0,11.0,21.0,108.0,-25.0
22000630,1610612766,1610612747,105.0,116.0,2,,83.0,5.5600000000000005,11.0,29.0,2.858,12.0,20.0,5.05,8.0,35.0,43.0,26.0,8.0,8.0,19.0,19.0,105.0,-55.0,,91.0,4.908,13.0,39.0,2.2960000000000003,15.0,20.0,4.083,11.0,37.0,48.0,23.0,7.0,6.0,12.0,19.0,116.0,55.0
