"player","team_abbrev","starts","shots","percentage"
"Aaron Gordon","DEN",27,8,0.296296296296296
"Aaron Holiday","ATL",3,0,0
"Aaron Nesmith","IND",12,3,0.25
"Aaron Wiggins","OKC",8,0,0
"AJ Griffin","ATL",6,0,0
"Al Horford","BOS",23,7,0.304347826086957
"Aleksej Pokusevski","OKC",21,7,0.333333333333333
"Alex Caruso","CHI",9,0,0
"Alex Leder","MRA",1,0,0
"Alon Sapir","MRA",1,0,0
"Alperen Sengun","HOU",23,9,0.391304347826087
"Amir Coffey","LAC",6,0,0
"Andrew Nembhard","IND",13,0,0
"Andrew Wiggins","GSW",26,7,0.269230769230769
"Anfernee Simons","POR",28,6,0.214285714285714
"Anthony Davis","LAL",26,8,0.307692307692308
"Anthony Edwards","MIN",31,6,0.193548387096774
"Anthony Gill","WAS",5,1,0.2
"Anthony Lamb","GSW",1,0,0
"Anthony Morse","MRA",2,0,0
"Antonius Cleveland","ADL",2,1,0.5
"Austin Reaves","LAL",13,1,0.0769230769230769
"Austin Rivers","MIN",2,0,0
"Ayo Dosunmu","CHI",25,2,0.08
"Bam Adebayo","MIA",28,13,0.464285714285714
"Ben Simmons","BKN",17,5,0.294117647058824
"Bennedict Mathurin","IND",1,0,0
"Bismack Biyombo","PHX",2,0,0
"Blake Griffin","BOS",6,1,0.166666666666667
"Bobby Portis","MIL",11,4,0.363636363636364
"Bojan Bogdanovic","DET",30,4,0.133333333333333
"Bol Bol","ORL",23,1,0.0434782608695652
"Bones Hyland","DEN",1,1,1
"Bradley Beal","WAS",20,9,0.45
"Brandon Clarke","MEM",3,0,0
"Brandon Ingram","NOP",15,5,0.333333333333333
"Brandon Williams","POR",1,0,0
"Brook Lopez","MIL",29,5,0.172413793103448
"Bruce Brown","DEN",17,3,0.176470588235294
"Bruno Fernando","HOU",4,0,0
"Buddy Hield","IND",31,6,0.193548387096774
"Cade Cunningham","DET",16,4,0.25
"Caleb Houstan","ORL",1,0,0
"Caleb Martin","MIA",28,2,0.0714285714285714
"Cam Reddish","NYK",9,0,0
"Cameron Johnson","PHX",10,2,0.2
"Cameron Payne","PHX",14,6,0.428571428571429
"Caris LeVert","CLE",19,1,0.0526315789473684
"Cedi Osman","CLE",1,0,0
"Chris Duarte","IND",9,2,0.222222222222222
"Chris Paul","PHX",16,2,0.125
"Christian Koloko","TOR",16,1,0.0625
"Christian Wood","DAL",1,0,0
"Chuma Okeke","ORL",8,1,0.125
"CJ McCollum","NOP",24,5,0.208333333333333
"Clint Capela","ATL",28,3,0.107142857142857
"Coby White","CHI",1,0,0
"Cole Anthony","ORL",7,1,0.142857142857143
"Collin Sexton","UTA",11,1,0.0909090909090909
"Corey Kispert","WAS",12,1,0.0833333333333333
"Cory Joseph","DET",2,0,0
"Craig Randall II","ADL",2,0,0
"D'Angelo Russell","MIN",30,6,0.2
"Dalano Banton","TOR",2,1,0.5
"Dalen Terry","CHI",1,0,0
"Damian Jones","LAL",3,0,0
"Damian Lillard","POR",17,3,0.176470588235294
"Damion Lee","PHX",1,0,0
"Daniel Gafford","WAS",1,0,0
"Daniel Johnson","ADL",1,1,1
"Danuel House Jr.","PHI",2,1,0.5
"Dario Saric","PHX",3,0,0
"Darius Bazley","OKC",1,1,1
"Darius Garland","CLE",24,7,0.291666666666667
"David Roddy","MEM",1,0,0
"Davion Mitchell","SAC",3,1,0.333333333333333
"Davon Reed","DEN",1,0,0
"Day'Ron Sharpe","BKN",1,0,0
"De'Aaron Fox","SAC",26,5,0.192307692307692
"De'Andre Hunter","ATL",26,7,0.269230769230769
"De'Anthony Melton","PHI",19,2,0.105263157894737
"Dean Wade","CLE",10,1,0.1
"Deandre Ayton","PHX",28,5,0.178571428571429
"DeAndre Jordan","DEN",5,1,0.2
"Dejounte Murray","ATL",28,4,0.142857142857143
"DeMar DeRozan","CHI",29,4,0.137931034482759
"Deni Avdija","WAS",24,3,0.125
"Dennis Schroder","LAL",9,0,0
"Dennis Smith Jr.","CHA",11,3,0.272727272727273
"Derrick Jones Jr.","CHI",1,0,0
"Derrick White","BOS",24,2,0.0833333333333333
"Desmond Bane","MEM",16,2,0.125
"Devin Booker","PHX",29,3,0.103448275862069
"Devin Vassell","SAS",21,4,0.19047619047619
"Devonte' Graham","NOP",2,0,0
"Dewayne Dedmon","MIA",1,0,0
"Dillon Brooks","MEM",27,9,0.333333333333333
"Domantas Sabonis","SAC",29,5,0.172413793103448
"Donovan Mitchell","CLE",26,10,0.384615384615385
"Donte DiVincenzo","GSW",1,0,0
"Dorian Finney-Smith","DAL",29,4,0.137931034482759
"Draymond Green","GSW",27,4,0.148148148148148
"Drew Eubanks","POR",4,0,0
"Dru Smith","MIA",1,0,0
"Duane Washington Jr.","PHX",1,0,0
"Duncan Robinson","MIA",1,0,0
"Dwight Powell","DAL",20,4,0.2
"Dyson Daniels","NOP",5,1,0.2
"Edmond Sumner","BKN",9,0,0
"Eric Gordon","HOU",24,7,0.291666666666667
"Evan Fournier","NYK",10,2,0.2
"Evan Mobley","CLE",28,3,0.107142857142857
"Franz Wagner","ORL",31,6,0.193548387096774
"Fred VanVleet","TOR",25,6,0.24
"Gabe Vincent","MIA",2,0,0
"Gary Harris","ORL",3,0,0
"Gary Trent Jr.","TOR",21,5,0.238095238095238
"Giannis Antetokounmpo","MIL",24,7,0.291666666666667
"Gordon Hayward","CHA",13,5,0.384615384615385
"Gorgui Dieng","SAS",1,1,1
"Grant Williams","BOS",14,1,0.0714285714285714
"Grayson Allen","MIL",24,4,0.166666666666667
"Harrison Barnes","SAC",29,6,0.206896551724138
"Haywood Highsmith","MIA",4,0,0
"Herbert Jones","NOP",20,7,0.35
"Isaac Okoro","CLE",6,1,0.166666666666667
"Isaiah Hartenstein","NYK",7,1,0.142857142857143
"Isaiah Jackson","IND",3,1,0.333333333333333
"Isaiah Livers","DET",7,0,0
"Isaiah Stewart","DET",26,7,0.269230769230769
"Ish Wainright","PHX",1,0,0
"Ivica Zubac","LAC",31,4,0.129032258064516
"Ja Morant","MEM",26,7,0.269230769230769
"Jabari Smith Jr.","HOU",26,8,0.307692307692308
