"game_id","Date","Sport","bet_type","period","away_Team","home_Team","away_1Q","away_2Q","away_3Q","away_4Q","home_1Q","home_2Q","home_3Q","home_4Q","away_score","home_score","away_line","home_line"
"BOS_MIA",20221021,"nba","Moneyline","full","BOS","MIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-127.996100350968,108.666666666667
"CHI_WAS",20221021,"nba","Moneyline","full","CHI","WAS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107.666666666667,-126.996100350968
"DEN_GSW",20221021,"nba","Moneyline","full","DEN","GSW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,182.666666666667,-218.333333333333
"DET_NYK",20221021,"nba","Moneyline","full","DET","NYK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,235,-283.317294473467
"MEM_HOU",20221021,"nba","Moneyline","full","MEM","HOU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-278.317294473467,228.333333333333
"NOP_CHA",20221021,"nba","Moneyline","full","NOP","CHA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-269.983961140134,221.666666666667
"ORL_ATL",20221021,"nba","Moneyline","full","ORL","ATL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,310,-390
"PHX_POR",20221021,"nba","Moneyline","full","PHX","POR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-209.998600027999,176.666666666667
"SAS_IND",20221021,"nba","Moneyline","full","SAS","IND",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.666666666667,-119.330133589313
"TOR_BKN",20221021,"nba","Moneyline","full","TOR","BKN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121,-140.999066685333
"UTA_MIN",20221021,"nba","Moneyline","full","UTA","MIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,265,-326.66395840104
