"game_id","Date","Sport","bet_type","period","away_Team","home_Team","away_1Q","away_2Q","away_3Q","away_4Q","home_1Q","home_2Q","home_3Q","home_4Q","away_score","home_score","away_line","home_line"
"BKN_WAS",20221104,"nba","Spread","full","BKN","WAS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,-3
"CHA_MEM",20221104,"nba","Spread","full","CHA","MEM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.5,-11.5
"CHI_BOS",20221104,"nba","Spread","full","CHI","BOS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,-7.5
"CLE_DET",20221104,"nba","Spread","full","CLE","DET",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4,4
"GSW_NOP",20221104,"nba","Spread","full","GSW","NOP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.6666666666667,-10.6666666666667
"LAC_SAS",20221104,"nba","Spread","full","LAC","SAS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.5,3.5
"MIA_IND",20221104,"nba","Spread","full","MIA","IND",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,3
"MIL_MIN",20221104,"nba","Spread","full","MIL","MIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,2
"NYK_PHI",20221104,"nba","Spread","full","NYK","PHI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.33333333333333,-1.33333333333333
"POR_PHX",20221104,"nba","Spread","full","POR","PHX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.1666666666667,-12.1666666666667
"TOR_DAL",20221104,"nba","Spread","full","TOR","DAL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.16666666666667,-4.16666666666667
"UTA_LAL",20221104,"nba","Spread","full","UTA","LAL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.83333333333333,-3.83333333333333
